File Path	chrom://990-75db15j/XVault/Ultimate_3000/1256/20230531_CMO_stabTest _FP08_FP09.seq/857.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	XVault
Injection	FP08_2_s1
Injection Number	29
Position	BD7
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Injection Date	02.06.2023
Injection Time	07:51:59
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.785500
Signal Max.	61.316750
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	-0.020625
0.016667	1	-0.021625
0.033333	1	-0.022875
0.050000	1	-0.023625
0.066667	1	-0.023875
0.083333	1	-0.024125
0.100000	1	-0.025125
0.116667	1	-0.026750
0.133333	1	-0.028500
0.150000	1	-0.029625
0.166667	1	-0.030500
0.183333	1	-0.032125
0.200000	1	-0.034000
0.216667	1	-0.034375
0.233333	1	-0.035625
0.250000	1	-0.036750
0.266667	1	-0.037750
0.283333	1	-0.040000
0.300000	1	-0.044125
0.316667	1	-0.049250
0.333333	1	-0.053500
0.350000	1	-0.054250
0.366667	1	-0.052625
0.383333	1	-0.049500
0.400000	1	-0.047375
0.416667	1	-0.045375
0.433333	1	-0.043625
0.450000	1	-0.041875
0.466667	1	-0.040750
0.483333	1	-0.041250
0.500000	1	-0.043125
0.516667	1	-0.046000
0.533333	1	-0.048625
0.550000	1	-0.051000
0.566667	1	-0.052625
0.583333	1	-0.054750
0.600000	1	-0.056875
0.616667	1	-0.058250
0.633333	1	-0.058750
0.650000	1	-0.058500
0.666667	1	-0.058125
0.683333	1	-0.057875
0.700000	1	-0.057500
0.716667	1	-0.058000
0.733333	1	-0.057375
0.750000	1	-0.057000
0.766667	1	-0.056875
0.783333	1	-0.056000
0.800000	1	-0.055250
0.816667	1	-0.054750
0.833333	1	-0.053875
0.850000	1	-0.052750
0.866667	1	-0.051000
0.883333	1	-0.050000
0.900000	1	-0.049500
0.916667	1	-0.048625
0.933333	1	-0.048250
0.950000	1	-0.047500
0.966667	1	-0.047250
0.983333	1	-0.046125
1.000000	1	-0.045750
1.016667	1	-0.044500
1.033333	1	-0.044125
1.050000	1	-0.043125
1.066667	1	-0.042000
1.083333	1	-0.041375
1.100000	1	-0.041250
1.116667	1	-0.040750
1.133333	1	-0.040250
1.150000	1	-0.039375
1.166667	1	-0.039125
1.183333	1	-0.038500
1.200000	1	-0.038375
1.216667	1	-0.037500
1.233333	1	-0.037000
1.250000	1	-0.036250
1.266667	1	-0.036625
1.283333	1	-0.036500
1.300000	1	-0.036250
1.316667	1	-0.036375
1.333333	1	-0.036125
1.350000	1	-0.035875
1.366667	1	-0.035250
1.383333	1	-0.034875
1.400000	1	-0.034500
1.416667	1	-0.033875
1.433333	1	-0.033250
1.450000	1	-0.033625
1.466667	1	-0.033500
1.483333	1	-0.032625
1.500000	1	-0.032625
1.516667	1	-0.032125
1.533333	1	-0.031875
1.550000	1	-0.032000
1.566667	1	-0.032250
1.583333	1	-0.032250
1.600000	1	-0.031500
1.616667	1	-0.031375
1.633333	1	-0.031250
1.650000	1	-0.030500
1.666667	1	-0.030875
1.683333	1	-0.030125
1.700000	1	-0.029750
1.716667	1	-0.030375
1.733333	1	-0.030750
1.750000	1	-0.030875
1.766667	1	-0.030750
1.783333	1	-0.031250
1.800000	1	-0.031375
1.816667	1	-0.032125
1.833333	1	-0.032125
1.850000	1	-0.032125
1.866667	1	-0.032375
1.883333	1	-0.032750
1.900000	1	-0.033125
1.916667	1	-0.034000
1.933333	1	-0.034125
1.950000	1	-0.035375
1.966667	1	-0.035875
1.983333	1	-0.036500
2.000000	1	-0.037125
2.016667	1	-0.037625
2.033333	1	-0.038500
2.050000	1	-0.039250
2.066667	1	-0.038875
2.083333	1	-0.039375
2.100000	1	-0.039750
2.116667	1	-0.040000
2.133333	1	-0.040875
2.150000	1	-0.041125
2.166667	1	-0.041000
2.183333	1	-0.041875
2.200000	1	-0.041875
2.216667	1	-0.042250
2.233333	1	-0.042000
2.250000	1	-0.041750
2.266667	1	-0.042125
2.283333	1	-0.042250
2.300000	1	-0.042000
2.316667	1	-0.042125
2.333333	1	-0.041625
2.350000	1	-0.041125
2.366667	1	-0.040875
2.383333	1	-0.040500
2.400000	1	-0.040750
2.416667	1	-0.041000
2.433333	1	-0.040625
2.450000	1	-0.039875
2.466667	1	-0.039500
2.483333	1	-0.039000
2.500000	1	-0.038625
2.516667	1	-0.038375
2.533333	1	-0.038375
2.550000	1	-0.038250
2.566667	1	-0.038000
2.583333	1	-0.037625
2.600000	1	-0.036750
2.616667	1	-0.036375
2.633333	1	-0.035625
2.650000	1	-0.035250
2.666667	1	-0.034750
2.683333	1	-0.034250
2.700000	1	-0.033125
2.716667	1	-0.032250
2.733333	1	-0.031750
2.750000	1	-0.031625
2.766667	1	-0.030500
2.783333	1	-0.029375
2.800000	1	-0.028375
2.816667	1	-0.027750
2.833333	1	-0.027000
2.850000	1	-0.025500
2.866667	1	-0.024875
2.883333	1	-0.024500
2.900000	1	-0.023625
2.916667	1	-0.022375
2.933333	1	-0.021125
2.950000	1	-0.020000
2.966667	1	-0.019250
2.983333	1	-0.018375
3.000000	1	-0.016875
3.016667	1	-0.016125
3.033333	1	-0.016500
3.050000	1	-0.015875
3.066667	1	-0.015250
3.083333	1	-0.014750
3.100000	1	-0.015000
3.116667	1	-0.014125
3.133333	1	-0.013875
3.150000	1	-0.012875
3.166667	1	-0.012500
3.183333	1	-0.013000
3.200000	1	-0.012625
3.216667	1	-0.012125
3.233333	1	-0.012000
3.250000	1	-0.012125
3.266667	1	-0.012000
3.283333	1	-0.012000
3.300000	1	-0.012375
3.316667	1	-0.012000
3.333333	1	-0.011875
3.350000	1	-0.011750
3.366667	1	-0.011375
3.383333	1	-0.011250
3.400000	1	-0.011375
3.416667	1	-0.010875
3.433333	1	-0.010625
3.450000	1	-0.010375
3.466667	1	-0.010625
3.483333	1	-0.010625
3.500000	1	-0.010625
3.516667	1	-0.010625
3.533333	1	-0.010500
3.550000	1	-0.010625
3.566667	1	-0.010875
3.583333	1	-0.011750
3.600000	1	-0.011625
3.616667	1	-0.012750
3.633333	1	-0.012875
3.650000	1	-0.013375
3.666667	1	-0.014000
3.683333	1	-0.014500
3.700000	1	-0.015375
3.716667	1	-0.015500
3.733333	1	-0.016125
3.750000	1	-0.017000
3.766667	1	-0.018125
3.783333	1	-0.018625
3.800000	1	-0.019250
3.816667	1	-0.020125
3.833333	1	-0.020500
3.850000	1	-0.021125
3.866667	1	-0.021875
3.883333	1	-0.022000
3.900000	1	-0.022875
3.916667	1	-0.023500
3.933333	1	-0.024375
3.950000	1	-0.025375
3.966667	1	-0.026125
3.983333	1	-0.026875
4.000000	1	-0.027125
4.016667	1	-0.027500
4.033333	1	-0.028375
4.050000	1	-0.028875
4.066667	1	-0.029250
4.083333	1	-0.030000
4.100000	1	-0.030250
4.116667	1	-0.030375
4.133333	1	-0.031000
4.150000	1	-0.031000
4.166667	1	-0.030875
4.183333	1	-0.031625
4.200000	1	-0.032250
4.216667	1	-0.033250
4.233333	1	-0.033500
4.250000	1	-0.033875
4.266667	1	-0.034750
4.283333	1	-0.035375
4.300000	1	-0.035625
4.316667	1	-0.037000
4.333333	1	-0.037625
4.350000	1	-0.038375
4.366667	1	-0.038250
4.383333	1	-0.038500
4.400000	1	-0.038625
4.416667	1	-0.038750
4.433333	1	-0.038625
4.450000	1	-0.038750
4.466667	1	-0.038750
4.483333	1	-0.038875
4.500000	1	-0.038000
4.516667	1	-0.037375
4.533333	1	-0.036875
4.550000	1	-0.036250
4.566667	1	-0.035500
4.583333	1	-0.034375
4.600000	1	-0.033000
4.616667	1	-0.032000
4.633333	1	-0.030375
4.650000	1	-0.028875
4.666667	1	-0.026500
4.683333	1	-0.025375
4.700000	1	-0.023375
4.716667	1	-0.020875
4.733333	1	-0.018750
4.750000	1	-0.016625
4.766667	1	-0.014125
4.783333	1	-0.011500
4.800000	1	-0.008875
4.816667	1	-0.006500
