File Path	chrom://marshall/Chromeleon7/HPLC_Ultimate_3000/Users/markusar/20230610_CMO_FP11_FP12.seq/913.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	Chromeleon7
Injection	FP12_2_S3
Injection Number	28
Position	BC3
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Injection Date	11.06.2023
Injection Time	13:09:59
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.417750
Signal Max.	48.787000
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	-0.023625
0.016667	1	-0.024375
0.033333	1	-0.024375
0.050000	1	-0.025250
0.066667	1	-0.026125
0.083333	1	-0.026750
0.100000	1	-0.027500
0.116667	1	-0.028125
0.133333	1	-0.028500
0.150000	1	-0.029000
0.166667	1	-0.029500
0.183333	1	-0.029875
0.200000	1	-0.030250
0.216667	1	-0.030125
0.233333	1	-0.030625
0.250000	1	-0.030875
0.266667	1	-0.030875
0.283333	1	-0.031375
0.300000	1	-0.031750
0.316667	1	-0.033125
0.333333	1	-0.035875
0.350000	1	-0.039625
0.366667	1	-0.042750
0.383333	1	-0.043625
0.400000	1	-0.041375
0.416667	1	-0.038000
0.433333	1	-0.034375
0.450000	1	-0.031375
0.466667	1	-0.028250
0.483333	1	-0.026375
0.500000	1	-0.024500
0.516667	1	-0.023125
0.533333	1	-0.022125
0.550000	1	-0.022375
0.566667	1	-0.024625
0.583333	1	-0.026750
0.600000	1	-0.028250
0.616667	1	-0.029875
0.633333	1	-0.031125
0.650000	1	-0.032500
0.666667	1	-0.033500
0.683333	1	-0.033625
0.700000	1	-0.034375
0.716667	1	-0.035000
0.733333	1	-0.035500
0.750000	1	-0.036125
0.766667	1	-0.036000
0.783333	1	-0.035625
0.800000	1	-0.036125
0.816667	1	-0.036750
0.833333	1	-0.036875
0.850000	1	-0.037250
0.866667	1	-0.037125
0.883333	1	-0.037625
0.900000	1	-0.037375
0.916667	1	-0.037875
0.933333	1	-0.037375
0.950000	1	-0.036875
0.966667	1	-0.037250
0.983333	1	-0.037500
1.000000	1	-0.037250
1.016667	1	-0.037875
1.033333	1	-0.038375
1.050000	1	-0.038750
1.066667	1	-0.038125
1.083333	1	-0.038750
1.100000	1	-0.039250
1.116667	1	-0.039375
1.133333	1	-0.039750
1.150000	1	-0.040250
1.166667	1	-0.040875
1.183333	1	-0.041625
1.200000	1	-0.041500
1.216667	1	-0.042000
1.233333	1	-0.042500
1.250000	1	-0.042750
1.266667	1	-0.043250
1.283333	1	-0.042875
1.300000	1	-0.043250
1.316667	1	-0.043750
1.333333	1	-0.043625
1.350000	1	-0.043875
1.366667	1	-0.043875
1.383333	1	-0.044250
1.400000	1	-0.044250
1.416667	1	-0.044625
1.433333	1	-0.044375
1.450000	1	-0.044500
1.466667	1	-0.044750
1.483333	1	-0.044750
1.500000	1	-0.045000
1.516667	1	-0.045625
1.533333	1	-0.045750
1.550000	1	-0.046500
1.566667	1	-0.046750
1.583333	1	-0.047625
1.600000	1	-0.047750
1.616667	1	-0.047375
1.633333	1	-0.047875
1.650000	1	-0.048250
1.666667	1	-0.047625
1.683333	1	-0.048375
1.700000	1	-0.048000
1.716667	1	-0.048250
1.733333	1	-0.048875
1.750000	1	-0.049250
1.766667	1	-0.049000
1.783333	1	-0.049625
1.800000	1	-0.049000
1.816667	1	-0.049250
1.833333	1	-0.048875
1.850000	1	-0.048625
1.866667	1	-0.048375
1.883333	1	-0.048250
1.900000	1	-0.048000
1.916667	1	-0.048125
1.933333	1	-0.047250
1.950000	1	-0.047625
1.966667	1	-0.047125
1.983333	1	-0.046500
2.000000	1	-0.045875
2.016667	1	-0.045125
2.033333	1	-0.044250
2.050000	1	-0.043250
2.066667	1	-0.042500
2.083333	1	-0.041500
2.100000	1	-0.041375
