File Path	chrom://marshall/Chromeleon7/HPLC_Ultimate_3000/Users/markusar/20230616_CMO_FP13_14_15.seq/462.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	Chromeleon7
Injection	FP14_2.2_s6
Injection Number	19
Position	BD12
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Injection Date	17.06.2023
Injection Time	04:46:12
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.342375
Signal Max.	40.727125
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	-0.013625
0.016667	1	-0.015250
0.033333	1	-0.017000
0.050000	1	-0.018250
0.066667	1	-0.019625
0.083333	1	-0.020500
0.100000	1	-0.021625
0.116667	1	-0.022125
0.133333	1	-0.023625
0.150000	1	-0.024250
0.166667	1	-0.025375
0.183333	1	-0.025875
0.200000	1	-0.027125
0.216667	1	-0.028250
0.233333	1	-0.028875
0.250000	1	-0.029625
0.266667	1	-0.030500
0.283333	1	-0.031375
0.300000	1	-0.032125
0.316667	1	-0.032375
0.333333	1	-0.032750
0.350000	1	-0.033000
0.366667	1	-0.033250
0.383333	1	-0.033625
0.400000	1	-0.033875
0.416667	1	-0.034625
0.433333	1	-0.036875
0.450000	1	-0.039125
0.466667	1	-0.041250
0.483333	1	-0.042750
0.500000	1	-0.042000
0.516667	1	-0.039750
0.533333	1	-0.036375
0.550000	1	-0.032750
0.566667	1	-0.030250
0.583333	1	-0.028125
0.600000	1	-0.026000
0.616667	1	-0.024125
0.633333	1	-0.023125
0.650000	1	-0.023625
0.666667	1	-0.023375
0.683333	1	-0.024500
0.700000	1	-0.026500
0.716667	1	-0.028250
0.733333	1	-0.029750
0.750000	1	-0.030750
0.766667	1	-0.031500
0.783333	1	-0.032875
0.800000	1	-0.033750
0.816667	1	-0.034125
0.833333	1	-0.034500
0.850000	1	-0.034750
0.866667	1	-0.035375
0.883333	1	-0.035375
0.900000	1	-0.035000
0.916667	1	-0.034875
0.933333	1	-0.034125
0.950000	1	-0.034500
0.966667	1	-0.033875
0.983333	1	-0.033125
1.000000	1	-0.032625
1.016667	1	-0.031750
1.033333	1	-0.031000
1.050000	1	-0.031000
1.066667	1	-0.030125
1.083333	1	-0.028750
1.100000	1	-0.028500
1.116667	1	-0.028250
1.133333	1	-0.027625
1.150000	1	-0.026625
1.166667	1	-0.026375
1.183333	1	-0.025875
1.200000	1	-0.025750
1.216667	1	-0.024875
1.233333	1	-0.024250
1.250000	1	-0.023750
1.266667	1	-0.023500
1.283333	1	-0.022250
1.300000	1	-0.021250
1.316667	1	-0.020625
1.333333	1	-0.019750
1.350000	1	-0.018750
1.366667	1	-0.018500
1.383333	1	-0.017875
1.400000	1	-0.017000
1.416667	1	-0.015875
1.433333	1	-0.016000
1.450000	1	-0.015375
1.466667	1	-0.015125
1.483333	1	-0.014250
1.500000	1	-0.013500
1.516667	1	-0.013125
1.533333	1	-0.013625
1.550000	1	-0.013125
1.566667	1	-0.012750
1.583333	1	-0.012125
1.600000	1	-0.011875
1.616667	1	-0.011375
1.633333	1	-0.010875
1.650000	1	-0.009875
1.666667	1	-0.009125
1.683333	1	-0.009250
1.700000	1	-0.009000
1.716667	1	-0.008250
1.733333	1	-0.007500
1.750000	1	-0.006875
1.766667	1	-0.006875
1.783333	1	-0.006625
1.800000	1	-0.006250
1.816667	1	-0.005250
1.833333	1	-0.004500
1.850000	1	-0.004000
1.866667	1	-0.004000
1.883333	1	-0.003125
1.900000	1	-0.002875
1.916667	1	-0.002625
1.933333	1	-0.001875
1.950000	1	-0.000750
1.966667	1	0.000125
1.983333	1	0.000000
2.000000	1	0.000750
2.016667	1	0.001000
2.033333	1	0.001125
2.050000	1	0.002250
2.066667	1	0.002375
2.083333	1	0.002500
2.100000	1	0.002875
2.116667	1	0.003750
2.133333	1	0.004125
2.150000	1	0.004750
2.166667	1	0.004875
2.183333	1	0.004625
2.200000	1	0.004625
2.216667	1	0.004875
2.233333	1	0.005000
2.250000	1	0.005000
2.266667	1	0.004750
2.283333	1	0.004625
2.300000	1	0.004750
2.316667	1	0.004875
2.333333	1	0.004625
2.350000	1	0.004375
2.366667	1	0.004250
2.383333	1	0.004000
2.400000	1	0.003375
2.416667	1	0.002875
2.433333	1	0.001375
2.450000	1	0.000875
2.466667	1	0.000625
2.483333	1	-0.000250
2.500000	1	-0.001500
2.516667	1	-0.002250
2.533333	1	-0.003250
2.550000	1	-0.004375
2.566667	1	-0.005750
2.583333	1	-0.007125
2.600000	1	-0.008750
2.616667	1	-0.009750
2.633333	1	-0.010250
2.650000	1	-0.011125
2.666667	1	-0.012250
2.683333	1	-0.013000
2.700000	1	-0.013750
2.716667	1	-0.015250
2.733333	1	-0.016625
2.750000	1	-0.017875
2.766667	1	-0.018750
2.783333	1	-0.019125
2.800000	1	-0.019500
2.816667	1	-0.020625
2.833333	1	-0.021125
2.850000	1	-0.022125
2.866667	1	-0.022750
2.883333	1	-0.022875
2.900000	1	-0.022875
2.916667	1	-0.023250
2.933333	1	-0.023625
2.950000	1	-0.024000
2.966667	1	-0.024375
2.983333	1	-0.024750
3.000000	1	-0.025000
3.016667	1	-0.025125
3.033333	1	-0.025125
3.050000	1	-0.025125
3.066667	1	-0.025625
3.083333	1	-0.025750
3.100000	1	-0.025250
3.116667	1	-0.024375
3.133333	1	-0.023375
3.150000	1	-0.022875
3.166667	1	-0.022500
3.183333	1	-0.022250
3.200000	1	-0.022000
3.216667	1	-0.021875
3.233333	1	-0.021750
3.250000	1	-0.021000
3.266667	1	-0.020250
3.283333	1	-0.019625
3.300000	1	-0.018875
3.316667	1	-0.018125
3.333333	1	-0.017125
3.350000	1	-0.015875
3.366667	1	-0.015000
3.383333	1	-0.014750
3.400000	1	-0.013250
3.416667	1	-0.012375
3.433333	1	-0.011625
3.450000	1	-0.010125
3.466667	1	-0.008625
3.483333	1	-0.008000
3.500000	1	-0.006750
3.516667	1	-0.005750
3.533333	1	-0.004875
3.550000	1	-0.003625
3.566667	1	-0.002875
3.583333	1	-0.002000
3.600000	1	-0.001625
3.616667	1	-0.000125
3.633333	1	0.000375
3.650000	1	0.001875
3.666667	1	0.002000
3.683333	1	0.003250
3.700000	1	0.004125
3.716667	1	0.005000
3.733333	1	0.005625
3.750000	1	0.006125
3.766667	1	0.006750
3.783333	1	0.007750
3.800000	1	0.008500
3.816667	1	0.009000
3.833333	1	0.010125
3.850000	1	0.010125
3.866667	1	0.010750
3.883333	1	0.011750
3.900000	1	0.011875
3.916667	1	0.012250
3.933333	1	0.011875
3.950000	1	0.012250
3.966667	1	0.012500
3.983333	1	0.012250
4.000000	1	0.012250
4.016667	1	0.011625
4.033333	1	0.011250
4.050000	1	0.011250
4.066667	1	0.011250
4.083333	1	0.010875
4.100000	1	0.010625
4.116667	1	0.010000
4.133333	1	0.009375
4.150000	1	0.008750
4.166667	1	0.008000
4.183333	1	0.007875
4.200000	1	0.007250
4.216667	1	0.006375
4.233333	1	0.005250
4.250000	1	0.004875
4.266667	1	0.003875
4.283333	1	0.003125
4.300000	1	0.002500
4.316667	1	0.001625
4.333333	1	0.000625
4.350000	1	-0.000500
4.366667	1	-0.001000
4.383333	1	-0.002375
4.400000	1	-0.003250
4.416667	1	-0.003875
4.433333	1	-0.005125
4.450000	1	-0.005625
4.466667	1	-0.006625
4.483333	1	-0.007500
4.500000	1	-0.008250
4.516667	1	-0.008500
4.533333	1	-0.009500
4.550000	1	-0.009750
4.566667	1	-0.010750
4.583333	1	-0.011000
4.600000	1	-0.012125
4.616667	1	-0.012375
4.633333	1	-0.012500
4.650000	1	-0.012500
4.666667	1	-0.013500
4.683333	1	-0.013625
4.700000	1	-0.014000
4.716667	1	-0.014750
4.733333	1	-0.014500
4.750000	1	-0.014375
4.766667	1	-0.014125
4.783333	1	-0.013750
4.800000	1	-0.013375
4.816667	1	-0.013500
4.833333	1	-0.013250
4.850000	1	-0.013000
4.866667	1	-0.012625
4.883333	1	-0.012125
4.900000	1	-0.011500
4.916667	1	-0.010750
4.933333	1	-0.009625
4.950000	1	-0.008625
4.966667	1	-0.007750
4.983333	1	-0.006750
5.000000	1	-0.005250
5.016667	1	-0.004125
5.033333	1	-0.002375
5.050000	1	-0.000125
5.066667	1	0.001250
5.083333	1	0.002750
5.100000	1	0.004500
5.116667	1	0.006125
5.133333	1	0.008250
5.150000	1	0.009750
5.166667	1	0.012250
5.183333	1	0.014875
5.200000	1	0.017125
5.216667	1	0.019750
5.233333	1	0.022625
5.250000	1	0.025625
5.266667	1	0.027500
5.283333	1	0.030375
5.300000	1	0.032750
5.316667	1	0.035125
5.333333	1	0.038000
5.350000	1	0.040875
5.366667	1	0.043250
5.383333	1	0.045375
5.400000	1	0.048750
5.416667	1	0.051500
5.433333	1	0.053875
5.450000	1	0.056375
5.466667	1	0.058750
5.483333	1	0.060875
5.500000	1	0.063375
5.516667	1	0.064875
5.533333	1	0.066875
5.550000	1	0.068500
5.566667	1	0.070375
5.583333	1	0.072125
5.600000	1	0.073375
5.616667	1	0.074875
5.633333	1	0.075250
5.650000	1	0.076000
5.666667	1	0.076750
5.683333	1	0.077875
5.700000	1	0.077750
5.716667	1	0.077750
5.733333	1	0.077875
5.750000	1	0.078250
5.766667	1	0.078125
5.783333	1	0.077500
5.800000	1	0.076875
5.816667	1	0.076000
5.833333	1	0.075000
5.850000	1	0.074125
5.866667	1	0.073000
5.883333	1	0.072250
5.900000	1	0.071625
5.916667	1	0.070750
5.933333	1	0.069000
5.950000	1	0.067375
5.966667	1	0.066000
5.983333	1	0.064625
6.000000	1	0.063000
6.016667	1	0.061500
6.033333	1	0.059500
6.050000	1	0.058000
6.066667	1	0.056375
6.083333	1	0.054500
6.100000	1	0.053000
6.116667	1	0.050750
6.133333	1	0.048625
6.150000	1	0.047125
6.166667	1	0.045500
6.183333	1	0.043750
6.200000	1	0.042250
6.216667	1	0.041000
6.233333	1	0.039875
6.250000	1	0.038625
6.266667	1	0.037125
6.283333	1	0.035500
