File Path	chrom://marshall/Chromeleon7/HPLC_Ultimate_3000/Users/markusar/20221226.seq/573.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	Chromeleon7
Injection	ca2.3
Injection Number	32
Position	RD8
Comment	
Processing Method	
Instrument Method	std_method
Type	Unknown
Status	Finished
Injection Date	27.12.2022
Injection Time	13:20:42
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.195875
Signal Max.	99.826375
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	0.117125
0.016667	1	0.116750
0.033333	1	0.117250
0.050000	1	0.117500
0.066667	1	0.117500
0.083333	1	0.117125
0.100000	1	0.116250
0.116667	1	0.115875
0.133333	1	0.115375
0.150000	1	0.114625
0.166667	1	0.113875
0.183333	1	0.112750
0.200000	1	0.112000
0.216667	1	0.111250
0.233333	1	0.109875
0.250000	1	0.108125
0.266667	1	0.106375
0.283333	1	0.103375
0.300000	1	0.099875
0.316667	1	0.095000
0.333333	1	0.092500
0.350000	1	0.092750
0.366667	1	0.095750
0.383333	1	0.098250
0.400000	1	0.098625
0.416667	1	0.098875
0.433333	1	0.098625
0.450000	1	0.098000
0.466667	1	0.096250
0.483333	1	0.092875
0.500000	1	0.087625
0.516667	1	0.081875
0.533333	1	0.077375
0.550000	1	0.074250
0.566667	1	0.071625
0.583333	1	0.069750
0.600000	1	0.067125
0.616667	1	0.065250
0.633333	1	0.063000
0.650000	1	0.061125
0.666667	1	0.059125
0.683333	1	0.056375
0.700000	1	0.055000
0.716667	1	0.053625
0.733333	1	0.051125
0.750000	1	0.049000
0.766667	1	0.046875
0.783333	1	0.045125
0.800000	1	0.043000
0.816667	1	0.041500
0.833333	1	0.039625
0.850000	1	0.037875
0.866667	1	0.036125
0.883333	1	0.034375
0.900000	1	0.032125
0.916667	1	0.030250
0.933333	1	0.028250
0.950000	1	0.026500
0.966667	1	0.025000
0.983333	1	0.022875
1.000000	1	0.021250
1.016667	1	0.019250
1.033333	1	0.017500
1.050000	1	0.015500
1.066667	1	0.013875
1.083333	1	0.012250
1.100000	1	0.010125
1.116667	1	0.008500
1.133333	1	0.006750
1.150000	1	0.005375
1.166667	1	0.003625
1.183333	1	0.001500
1.200000	1	-0.000125
1.216667	1	-0.001625
1.233333	1	-0.003250
1.250000	1	-0.004875
1.266667	1	-0.006125
1.283333	1	-0.007750
1.300000	1	-0.009250
1.316667	1	-0.010875
1.333333	1	-0.012000
1.350000	1	-0.012500
1.366667	1	-0.014000
1.383333	1	-0.015250
1.400000	1	-0.016625
1.416667	1	-0.017875
1.433333	1	-0.018750
1.450000	1	-0.019875
1.466667	1	-0.021000
1.483333	1	-0.022125
1.500000	1	-0.022500
1.516667	1	-0.023500
1.533333	1	-0.024625
1.550000	1	-0.025500
1.566667	1	-0.026250
1.583333	1	-0.027750
1.600000	1	-0.029250
1.616667	1	-0.030750
1.633333	1	-0.031375
1.650000	1	-0.032875
1.666667	1	-0.034125
1.683333	1	-0.035000
1.700000	1	-0.035375
1.716667	1	-0.037000
1.733333	1	-0.038625
1.750000	1	-0.040625
1.766667	1	-0.041625
1.783333	1	-0.042875
1.800000	1	-0.044000
1.816667	1	-0.045875
1.833333	1	-0.047625
1.850000	1	-0.048500
1.866667	1	-0.050250
1.883333	1	-0.052375
