File Path	chrom://marshall/Chromeleon7/HPLC_Ultimate_3000/Users/markusar/20221226.seq/465.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	Chromeleon7
Injection	ca2.4
Injection Number	33
Position	RE1
Comment	
Processing Method	
Instrument Method	std_method
Type	Unknown
Status	Finished
Injection Date	27.12.2022
Injection Time	14:01:40
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.156750
Signal Max.	96.323625
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	0.168750
0.016667	1	0.169375
0.033333	1	0.170750
0.050000	1	0.171750
0.066667	1	0.172625
0.083333	1	0.173125
0.100000	1	0.173375
0.116667	1	0.174250
0.133333	1	0.173750
0.150000	1	0.173250
0.166667	1	0.172500
0.183333	1	0.172375
0.200000	1	0.172875
0.216667	1	0.172750
0.233333	1	0.172750
0.250000	1	0.172250
0.266667	1	0.170875
0.283333	1	0.168000
0.300000	1	0.164125
0.316667	1	0.160375
0.333333	1	0.158250
0.350000	1	0.159625
0.366667	1	0.162375
0.383333	1	0.164625
0.400000	1	0.165250
0.416667	1	0.166250
0.433333	1	0.166625
0.450000	1	0.165375
0.466667	1	0.163000
0.483333	1	0.159625
0.500000	1	0.155250
0.516667	1	0.150875
0.533333	1	0.146750
0.550000	1	0.143750
0.566667	1	0.141375
0.583333	1	0.139000
0.600000	1	0.136750
0.616667	1	0.134500
0.633333	1	0.132000
0.650000	1	0.129875
0.666667	1	0.128250
0.683333	1	0.126000
0.700000	1	0.123625
0.716667	1	0.121750
0.733333	1	0.120000
0.750000	1	0.118625
0.766667	1	0.117250
0.783333	1	0.115000
0.800000	1	0.112875
0.816667	1	0.111125
0.833333	1	0.109000
0.850000	1	0.107375
0.866667	1	0.106000
0.883333	1	0.104625
0.900000	1	0.102625
0.916667	1	0.101250
0.933333	1	0.098875
0.950000	1	0.097250
0.966667	1	0.095500
0.983333	1	0.093750
1.000000	1	0.091875
1.016667	1	0.089375
1.033333	1	0.087625
1.050000	1	0.085125
1.066667	1	0.083625
1.083333	1	0.081750
1.100000	1	0.079875
1.116667	1	0.077750
1.133333	1	0.075875
1.150000	1	0.073250
1.166667	1	0.071250
1.183333	1	0.069125
1.200000	1	0.066500
1.216667	1	0.063500
1.233333	1	0.060875
1.250000	1	0.058250
1.266667	1	0.055750
1.283333	1	0.053125
1.300000	1	0.050250
1.316667	1	0.048500
1.333333	1	0.045625
1.350000	1	0.043250
1.366667	1	0.040125
1.383333	1	0.037125
1.400000	1	0.034125
1.416667	1	0.031250
1.433333	1	0.028375
1.450000	1	0.025500
1.466667	1	0.022125
1.483333	1	0.018500
1.500000	1	0.016000
1.516667	1	0.013125
1.533333	1	0.010750
1.550000	1	0.008125
1.566667	1	0.005375
1.583333	1	0.003125
1.600000	1	0.000875
1.616667	1	-0.001375
1.633333	1	-0.004125
1.650000	1	-0.007375
1.666667	1	-0.009250
