File Path	chrom://marshall/Chromeleon7/HPLC_Ultimate_3000/Users/markusar/20230107.seq/829.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	Chromeleon7
Injection	er1.3
Injection Number	4
Position	RA4
Comment	
Processing Method	
Instrument Method	std_method
Type	Unknown
Status	Finished
Injection Date	07.01.2023
Injection Time	17:56:57
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.135625
Signal Max.	111.847125
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	0.126500
0.016667	1	0.127500
0.033333	1	0.128875
0.050000	1	0.130375
0.066667	1	0.131750
0.083333	1	0.133125
0.100000	1	0.134000
0.116667	1	0.136125
0.133333	1	0.136625
0.150000	1	0.138000
0.166667	1	0.138500
0.183333	1	0.139000
0.200000	1	0.139750
0.216667	1	0.140500
0.233333	1	0.141250
0.250000	1	0.141750
0.266667	1	0.142000
0.283333	1	0.141625
0.300000	1	0.141500
0.316667	1	0.142000
0.333333	1	0.142375
0.350000	1	0.142000
0.366667	1	0.141625
0.383333	1	0.141375
0.400000	1	0.141000
0.416667	1	0.140250
0.433333	1	0.139125
0.450000	1	0.138375
0.466667	1	0.137000
0.483333	1	0.136500
0.500000	1	0.134875
0.516667	1	0.133125
0.533333	1	0.131875
0.550000	1	0.130750
0.566667	1	0.130250
0.583333	1	0.129125
0.600000	1	0.127875
0.616667	1	0.127375
0.633333	1	0.126500
0.650000	1	0.125875
0.666667	1	0.125250
0.683333	1	0.124375
0.700000	1	0.122750
0.716667	1	0.121250
0.733333	1	0.119875
0.750000	1	0.117125
0.766667	1	0.115000
0.783333	1	0.112500
0.800000	1	0.109500
0.816667	1	0.106625
0.833333	1	0.104250
0.850000	1	0.101125
0.866667	1	0.098750
0.883333	1	0.096125
0.900000	1	0.093750
0.916667	1	0.091000
0.933333	1	0.088125
0.950000	1	0.086000
0.966667	1	0.083500
0.983333	1	0.080875
1.000000	1	0.078750
1.016667	1	0.076125
1.033333	1	0.073375
1.050000	1	0.070375
1.066667	1	0.069000
1.083333	1	0.066750
1.100000	1	0.064375
1.116667	1	0.062500
1.133333	1	0.060125
1.150000	1	0.058125
1.166667	1	0.055375
1.183333	1	0.052875
1.200000	1	0.050750
1.216667	1	0.048500
1.233333	1	0.046375
1.250000	1	0.044000
1.266667	1	0.041125
1.283333	1	0.038750
1.300000	1	0.036625
1.316667	1	0.034250
1.333333	1	0.031875
1.350000	1	0.029250
1.366667	1	0.026250
1.383333	1	0.023375
1.400000	1	0.021375
1.416667	1	0.019125
1.433333	1	0.016500
1.450000	1	0.013500
1.466667	1	0.010750
1.483333	1	0.008750
1.500000	1	0.006625
1.516667	1	0.003625
1.533333	1	0.000750
1.550000	1	-0.002000
1.566667	1	-0.004375
1.583333	1	-0.007375
1.600000	1	-0.010000
1.616667	1	-0.013750
1.633333	1	-0.016000
1.650000	1	-0.018250
1.666667	1	-0.020750
1.683333	1	-0.023250
1.700000	1	-0.026000
1.716667	1	-0.028625
1.733333	1	-0.031250
1.750000	1	-0.034000
1.766667	1	-0.036750
1.783333	1	-0.040000
1.800000	1	-0.043250
1.816667	1	-0.046125
1.833333	1	-0.049250
1.850000	1	-0.051750
1.866667	1	-0.054875
1.883333	1	-0.057250
1.900000	1	-0.059625
1.916667	1	-0.062125
1.933333	1	-0.065125
1.950000	1	-0.067125
1.966667	1	-0.069500
1.983333	1	-0.071875
2.000000	1	-0.074375
2.016667	1	-0.077125
2.033333	1	-0.079250
2.050000	1	-0.081250
2.066667	1	-0.083000
2.083333	1	-0.085250
2.100000	1	-0.086750
2.116667	1	-0.088750
2.133333	1	-0.090500
2.150000	1	-0.092500
2.166667	1	-0.094000
2.183333	1	-0.096000
2.200000	1	-0.097375
2.216667	1	-0.099000
2.233333	1	-0.099875
2.250000	1	-0.100750
2.266667	1	-0.101625
2.283333	1	-0.103125
2.300000	1	-0.104875
2.316667	1	-0.105875
2.333333	1	-0.107000
2.350000	1	-0.108000
2.366667	1	-0.108875
2.383333	1	-0.109875
2.400000	1	-0.110750
2.416667	1	-0.111000
2.433333	1	-0.111375
2.450000	1	-0.111875
2.466667	1	-0.112250
2.483333	1	-0.112750
2.500000	1	-0.112875
2.516667	1	-0.112625
2.533333	1	-0.113375
2.550000	1	-0.113625
2.566667	1	-0.113875
2.583333	1	-0.113375
2.600000	1	-0.113250
2.616667	1	-0.113375
2.633333	1	-0.113125
2.650000	1	-0.112875
2.666667	1	-0.113250
2.683333	1	-0.113000
2.700000	1	-0.112375
2.716667	1	-0.112875
2.733333	1	-0.112375
2.750000	1	-0.112500
2.766667	1	-0.111125
2.783333	1	-0.111125
2.800000	1	-0.110875
2.816667	1	-0.110375
2.833333	1	-0.109875
2.850000	1	-0.109000
2.866667	1	-0.108500
2.883333	1	-0.108000
2.900000	1	-0.107375
2.916667	1	-0.107500
2.933333	1	-0.106750
2.950000	1	-0.106250
2.966667	1	-0.105500
2.983333	1	-0.104750
3.000000	1	-0.103875
3.016667	1	-0.102625
