File Path	chrom://marshall/Chromeleon7/HPLC_Ultimate_3000/Users/markusar/20230107.seq/866.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	Chromeleon7
Injection	er2.4
Injection Number	9
Position	RB1
Comment	
Processing Method	
Instrument Method	std_method
Type	Unknown
Status	Finished
Injection Date	07.01.2023
Injection Time	21:21:49
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.101250
Signal Max.	110.885875
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	0.141500
0.016667	1	0.143000
0.033333	1	0.145375
0.050000	1	0.147375
0.066667	1	0.149250
0.083333	1	0.151500
0.100000	1	0.153000
0.116667	1	0.154875
0.133333	1	0.156625
0.150000	1	0.158250
0.166667	1	0.159000
0.183333	1	0.160375
0.200000	1	0.161125
0.216667	1	0.161875
0.233333	1	0.162000
0.250000	1	0.163250
0.266667	1	0.163750
0.283333	1	0.164500
0.300000	1	0.165125
0.316667	1	0.165375
0.333333	1	0.165250
0.350000	1	0.164750
0.366667	1	0.165125
0.383333	1	0.165000
0.400000	1	0.164625
0.416667	1	0.164250
0.433333	1	0.163500
0.450000	1	0.163250
0.466667	1	0.161625
0.483333	1	0.160250
0.500000	1	0.158500
0.516667	1	0.157375
0.533333	1	0.155250
0.550000	1	0.153125
0.566667	1	0.151500
0.583333	1	0.150250
0.600000	1	0.149000
0.616667	1	0.148000
0.633333	1	0.147250
0.650000	1	0.146500
0.666667	1	0.145250
0.683333	1	0.143750
0.700000	1	0.141375
0.716667	1	0.139375
0.733333	1	0.137000
0.750000	1	0.135000
0.766667	1	0.132125
0.783333	1	0.128375
0.800000	1	0.125250
0.816667	1	0.121875
0.833333	1	0.118250
0.850000	1	0.114750
0.866667	1	0.111625
0.883333	1	0.108500
0.900000	1	0.104750
0.916667	1	0.101625
0.933333	1	0.098875
0.950000	1	0.095875
0.966667	1	0.092500
0.983333	1	0.089500
1.000000	1	0.087000
1.016667	1	0.084625
1.033333	1	0.081000
1.050000	1	0.078125
1.066667	1	0.075375
1.083333	1	0.072500
1.100000	1	0.069375
1.116667	1	0.066875
1.133333	1	0.064000
1.150000	1	0.061000
1.166667	1	0.058250
1.183333	1	0.055875
1.200000	1	0.053500
1.216667	1	0.050500
1.233333	1	0.048250
1.250000	1	0.045875
1.266667	1	0.043000
1.283333	1	0.040375
1.300000	1	0.037750
1.316667	1	0.034625
1.333333	1	0.032250
1.350000	1	0.030000
1.366667	1	0.027375
1.383333	1	0.025125
1.400000	1	0.023375
1.416667	1	0.020625
1.433333	1	0.018000
1.450000	1	0.014875
1.466667	1	0.012375
1.483333	1	0.010375
1.500000	1	0.007750
1.516667	1	0.005750
1.533333	1	0.003375
1.550000	1	0.000250
1.566667	1	-0.001875
1.583333	1	-0.004750
1.600000	1	-0.007500
1.616667	1	-0.009875
1.633333	1	-0.012000
1.650000	1	-0.014125
1.666667	1	-0.016000
1.683333	1	-0.018625
1.700000	1	-0.020875
1.716667	1	-0.023375
1.733333	1	-0.026000
1.750000	1	-0.027875
1.766667	1	-0.030125
1.783333	1	-0.032750
1.800000	1	-0.035000
1.816667	1	-0.037500
1.833333	1	-0.040000
1.850000	1	-0.041625
1.866667	1	-0.044375
1.883333	1	-0.047000
1.900000	1	-0.049500
