File Path	chrom://marshall/Chromeleon7/HPLC_Ultimate_3000/Users/markusar/20230113.seq/657.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	Chromeleon7
Injection	er4.2
Injection Number	8
Position	GA8
Comment	
Processing Method	
Instrument Method	std_method
Type	Unknown
Status	Finished
Injection Date	13.01.2023
Injection Time	20:22:06
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.083375
Signal Max.	120.901875
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	0.079625
0.016667	1	0.082500
0.033333	1	0.085875
0.050000	1	0.088875
0.066667	1	0.093250
0.083333	1	0.096500
0.100000	1	0.099000
0.116667	1	0.101375
0.133333	1	0.104625
0.150000	1	0.107625
0.166667	1	0.110125
0.183333	1	0.112500
0.200000	1	0.114750
0.216667	1	0.117000
0.233333	1	0.119000
0.250000	1	0.121000
0.266667	1	0.123000
0.283333	1	0.125000
0.300000	1	0.126500
0.316667	1	0.127750
0.333333	1	0.129000
0.350000	1	0.130375
0.366667	1	0.131500
0.383333	1	0.132500
0.400000	1	0.133250
0.416667	1	0.134125
0.433333	1	0.135000
0.450000	1	0.135625
0.466667	1	0.136125
0.483333	1	0.136375
0.500000	1	0.136500
0.516667	1	0.135125
0.533333	1	0.135500
0.550000	1	0.134750
0.566667	1	0.134125
0.583333	1	0.133125
0.600000	1	0.132250
0.616667	1	0.131125
0.633333	1	0.129750
0.650000	1	0.128875
0.666667	1	0.127375
0.683333	1	0.126000
0.700000	1	0.124500
0.716667	1	0.123250
0.733333	1	0.122625
0.750000	1	0.121625
0.766667	1	0.120500
0.783333	1	0.119125
0.800000	1	0.118375
0.816667	1	0.117750
0.833333	1	0.117625
0.850000	1	0.116625
0.866667	1	0.115375
0.883333	1	0.114000
0.900000	1	0.111875
0.916667	1	0.109750
0.933333	1	0.107750
0.950000	1	0.105875
0.966667	1	0.103750
0.983333	1	0.101250
1.000000	1	0.098750
1.016667	1	0.096625
1.033333	1	0.093625
1.050000	1	0.091625
1.066667	1	0.089625
1.083333	1	0.088125
1.100000	1	0.086875
1.116667	1	0.085500
1.133333	1	0.083500
1.150000	1	0.081625
1.166667	1	0.080500
1.183333	1	0.078750
1.200000	1	0.077750
1.216667	1	0.076125
1.233333	1	0.074125
1.250000	1	0.072625
1.266667	1	0.071500
1.283333	1	0.069750
1.300000	1	0.068000
1.316667	1	0.066250
1.333333	1	0.065125
1.350000	1	0.063625
1.366667	1	0.061875
1.383333	1	0.060125
1.400000	1	0.059125
1.416667	1	0.057875
1.433333	1	0.056875
1.450000	1	0.055750
1.466667	1	0.054000
1.483333	1	0.052875
1.500000	1	0.052000
