File Path	chrom://marshall/Chromeleon7/HPLC_Ultimate_3000/Users/markusar/20221226.seq/547.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	Chromeleon7
Injection	fp2.1
Injection Number	10
Position	RB2
Comment	
Processing Method	
Instrument Method	std_method
Type	Unknown
Status	Finished
Injection Date	26.12.2022
Injection Time	22:19:17
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.064500
Signal Max.	96.551125
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	0.107750
0.016667	1	0.108125
0.033333	1	0.108625
0.050000	1	0.108000
0.066667	1	0.108500
0.083333	1	0.108125
0.100000	1	0.108125
0.116667	1	0.107625
0.133333	1	0.107500
0.150000	1	0.107000
0.166667	1	0.106375
0.183333	1	0.105750
0.200000	1	0.105500
0.216667	1	0.105500
0.233333	1	0.104250
0.250000	1	0.102875
0.266667	1	0.100750
0.283333	1	0.097625
0.300000	1	0.092750
0.316667	1	0.089375
0.333333	1	0.088625
0.350000	1	0.091875
0.366667	1	0.095750
0.383333	1	0.098500
0.400000	1	0.099875
0.416667	1	0.100500
0.433333	1	0.100250
0.450000	1	0.099750
0.466667	1	0.097000
0.483333	1	0.092500
0.500000	1	0.087250
0.516667	1	0.082875
0.533333	1	0.079125
0.550000	1	0.076500
0.566667	1	0.074625
0.583333	1	0.072750
0.600000	1	0.071000
0.616667	1	0.069500
0.633333	1	0.068375
0.650000	1	0.066500
0.666667	1	0.064375
0.683333	1	0.063250
0.700000	1	0.062500
0.716667	1	0.061125
0.733333	1	0.060000
0.750000	1	0.058500
0.766667	1	0.057500
0.783333	1	0.056500
0.800000	1	0.055750
0.816667	1	0.054875
0.833333	1	0.053875
0.850000	1	0.053000
0.866667	1	0.051750
0.883333	1	0.050500
0.900000	1	0.049875
0.916667	1	0.049000
