File Path	chrom://marshall/Chromeleon7/HPLC_Ultimate_3000/Users/markusar/20230107.seq/409.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	Chromeleon7
Injection	ri1.1
Injection Number	10
Position	RB2
Comment	
Processing Method	
Instrument Method	std_method
Type	Unknown
Status	Finished
Injection Date	07.01.2023
Injection Time	22:02:48
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.086375
Signal Max.	110.741500
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	0.124625
0.016667	1	0.126000
0.033333	1	0.128375
0.050000	1	0.130375
0.066667	1	0.131750
0.083333	1	0.134000
0.100000	1	0.135125
0.116667	1	0.136375
0.133333	1	0.137875
0.150000	1	0.138125
0.166667	1	0.139375
0.183333	1	0.140375
0.200000	1	0.141625
0.216667	1	0.142750
0.233333	1	0.143500
0.250000	1	0.143000
0.266667	1	0.143625
0.283333	1	0.143875
0.300000	1	0.144500
0.316667	1	0.144625
0.333333	1	0.144750
0.350000	1	0.145125
0.366667	1	0.145375
0.383333	1	0.145500
0.400000	1	0.145250
0.416667	1	0.144500
0.433333	1	0.144000
0.450000	1	0.143125
0.466667	1	0.141750
0.483333	1	0.140750
0.500000	1	0.139000
0.516667	1	0.137375
0.533333	1	0.136375
0.550000	1	0.135250
0.566667	1	0.134000
0.583333	1	0.132375
0.600000	1	0.131125
0.616667	1	0.130750
0.633333	1	0.130000
0.650000	1	0.129250
0.666667	1	0.128250
0.683333	1	0.127250
0.700000	1	0.125250
0.716667	1	0.122875
0.733333	1	0.121000
0.750000	1	0.118375
0.766667	1	0.115750
0.783333	1	0.112750
0.800000	1	0.109625
0.816667	1	0.106625
0.833333	1	0.103875
0.850000	1	0.101375
0.866667	1	0.098375
0.883333	1	0.095750
0.900000	1	0.093500
0.916667	1	0.090250
0.933333	1	0.087625
0.950000	1	0.085500
0.966667	1	0.083125
0.983333	1	0.081375
1.000000	1	0.079125
1.016667	1	0.076625
1.033333	1	0.074500
1.050000	1	0.072375
1.066667	1	0.070750
1.083333	1	0.069375
1.100000	1	0.067375
1.116667	1	0.065625
1.133333	1	0.063625
1.150000	1	0.062375
1.166667	1	0.061000
1.183333	1	0.058875
1.200000	1	0.057250
1.216667	1	0.055750
1.233333	1	0.053625
1.250000	1	0.052125
1.266667	1	0.050375
1.283333	1	0.048375
1.300000	1	0.046375
1.316667	1	0.044750
1.333333	1	0.043250
1.350000	1	0.041250
1.366667	1	0.039000
1.383333	1	0.037000
1.400000	1	0.034875
1.416667	1	0.032625
1.433333	1	0.030500
1.450000	1	0.029375
1.466667	1	0.027250
1.483333	1	0.025250
1.500000	1	0.023000
1.516667	1	0.021125
1.533333	1	0.019250
1.550000	1	0.017125
1.566667	1	0.015000
1.583333	1	0.012750
1.600000	1	0.010625
1.616667	1	0.007875
1.633333	1	0.004875
1.650000	1	0.003000
1.666667	1	0.000625
1.683333	1	-0.001375
1.700000	1	-0.003625
1.716667	1	-0.005375
1.733333	1	-0.007375
1.750000	1	-0.009750
1.766667	1	-0.012000
1.783333	1	-0.014875
1.800000	1	-0.016375
1.816667	1	-0.018875
1.833333	1	-0.020750
1.850000	1	-0.022875
1.866667	1	-0.025375
1.883333	1	-0.027500
1.900000	1	-0.029250
1.916667	1	-0.031000
1.933333	1	-0.032500
1.950000	1	-0.034875
1.966667	1	-0.037125
1.983333	1	-0.039000
2.000000	1	-0.041500
2.016667	1	-0.043875
2.033333	1	-0.046125
2.050000	1	-0.047750
2.066667	1	-0.049625
2.083333	1	-0.051375
2.100000	1	-0.052625
2.116667	1	-0.054750
2.133333	1	-0.056750
2.150000	1	-0.058625
2.166667	1	-0.060750
2.183333	1	-0.062000
2.200000	1	-0.064000
2.216667	1	-0.065500
2.233333	1	-0.066750
2.250000	1	-0.068625
2.266667	1	-0.070375
2.283333	1	-0.071500
2.300000	1	-0.073000
2.316667	1	-0.074375
2.333333	1	-0.075250
2.350000	1	-0.076000
2.366667	1	-0.077375
2.383333	1	-0.078625
2.400000	1	-0.079500
2.416667	1	-0.080500
2.433333	1	-0.081375
2.450000	1	-0.082500
2.466667	1	-0.083375
2.483333	1	-0.084000
2.500000	1	-0.084500
2.516667	1	-0.084750
2.533333	1	-0.085500
2.550000	1	-0.085500
2.566667	1	-0.085625
2.583333	1	-0.086000
2.600000	1	-0.085750
2.616667	1	-0.086250
2.633333	1	-0.086125
2.650000	1	-0.086375
2.666667	1	-0.086250
2.683333	1	-0.086250
2.700000	1	-0.085375
2.716667	1	-0.085375
2.733333	1	-0.085000
2.750000	1	-0.084500
2.766667	1	-0.084375
2.783333	1	-0.083375
2.800000	1	-0.082875
2.816667	1	-0.081750
2.833333	1	-0.081250
2.850000	1	-0.080000
2.866667	1	-0.079000
2.883333	1	-0.078000
2.900000	1	-0.076875
2.916667	1	-0.075875
2.933333	1	-0.074500
2.950000	1	-0.073375
2.966667	1	-0.071625
2.983333	1	-0.069875
3.000000	1	-0.068125
3.016667	1	-0.066875
3.033333	1	-0.065125
3.050000	1	-0.064375
3.066667	1	-0.062625
3.083333	1	-0.061000
3.100000	1	-0.059750
3.116667	1	-0.058125
3.133333	1	-0.056875
3.150000	1	-0.055625
3.166667	1	-0.054000
3.183333	1	-0.052250
3.200000	1	-0.050375
3.216667	1	-0.048125
3.233333	1	-0.045625
3.250000	1	-0.044625
3.266667	1	-0.042750
3.283333	1	-0.041000
3.300000	1	-0.039375
3.316667	1	-0.037875
3.333333	1	-0.036375
3.350000	1	-0.034750
3.366667	1	-0.033375
3.383333	1	-0.031375
3.400000	1	-0.029500
3.416667	1	-0.027500
3.433333	1	-0.025750
3.450000	1	-0.023375
3.466667	1	-0.021625
3.483333	1	-0.019875
3.500000	1	-0.018000
3.516667	1	-0.016375
3.533333	1	-0.014875
3.550000	1	-0.013125
3.566667	1	-0.011500
3.583333	1	-0.009875
3.600000	1	-0.008625
3.616667	1	-0.006875
3.633333	1	-0.005500
3.650000	1	-0.003875
3.666667	1	-0.002625
3.683333	1	-0.001500
3.700000	1	-0.000250
3.716667	1	0.000750
3.733333	1	0.001625
3.750000	1	0.002625
3.766667	1	0.003250
3.783333	1	0.004125
3.800000	1	0.004750
3.816667	1	0.005500
3.833333	1	0.006375
3.850000	1	0.007250
3.866667	1	0.007500
3.883333	1	0.008250
3.900000	1	0.008625
3.916667	1	0.009750
3.933333	1	0.010750
3.950000	1	0.011375
3.966667	1	0.011875
3.983333	1	0.012000
4.000000	1	0.012875
4.016667	1	0.013500
4.033333	1	0.014500
4.050000	1	0.015500
4.066667	1	0.016375
4.083333	1	0.016875
4.100000	1	0.017500
4.116667	1	0.018125
4.133333	1	0.019000
4.150000	1	0.014375
4.166667	1	0.020500
4.183333	1	0.020875
4.200000	1	0.021250
4.216667	1	0.021750
4.233333	1	0.023000
4.250000	1	0.023750
4.266667	1	0.024250
4.283333	1	0.025125
4.300000	1	0.025875
4.316667	1	0.026750
4.333333	1	0.027000
4.350000	1	0.026750
4.366667	1	0.026875
4.383333	1	0.026625
4.400000	1	0.027500
4.416667	1	0.028125
4.433333	1	0.027375
4.450000	1	0.027500
4.466667	1	0.027250
4.483333	1	0.027625
4.500000	1	0.027625
4.516667	1	0.027625
4.533333	1	0.027500
4.550000	1	0.027125
4.566667	1	0.026875
4.583333	1	0.026125
4.600000	1	0.026000
4.616667	1	0.025500
4.633333	1	0.024750
4.650000	1	0.024875
4.666667	1	0.024625
4.683333	1	0.024500
4.700000	1	0.024250
4.716667	1	0.023750
4.733333	1	0.023750
4.750000	1	0.023750
4.766667	1	0.023250
4.783333	1	0.022625
4.800000	1	0.022250
4.816667	1	0.022500
4.833333	1	0.022125
4.850000	1	0.021500
4.866667	1	0.021750
4.883333	1	0.021125
4.900000	1	0.021000
4.916667	1	0.020125
4.933333	1	0.019250
4.950000	1	0.018875
4.966667	1	0.018500
4.983333	1	0.018500
5.000000	1	0.018250
5.016667	1	0.018125
5.033333	1	0.017000
5.050000	1	0.016125
5.066667	1	0.015750
5.083333	1	0.015375
5.100000	1	0.015250
5.116667	1	0.014750
5.133333	1	0.014500
5.150000	1	0.014000
5.166667	1	0.013125
5.183333	1	0.012875
5.200000	1	0.012500
5.216667	1	0.012750
5.233333	1	0.012750
5.250000	1	0.012250
5.266667	1	0.011875
5.283333	1	0.011875
5.300000	1	0.011875
5.316667	1	0.011875
5.333333	1	0.011500
5.350000	1	0.011250
5.366667	1	0.011625
5.383333	1	0.012250
5.400000	1	0.012000
5.416667	1	0.012875
5.433333	1	0.013375
5.450000	1	0.013500
5.466667	1	0.014125
5.483333	1	0.014500
5.500000	1	0.015750
5.516667	1	0.016250
5.533333	1	0.017000
5.550000	1	0.017750
5.566667	1	0.018250
5.583333	1	0.019250
5.600000	1	0.019875
5.616667	1	0.021625
5.633333	1	0.023000
5.650000	1	0.025250
5.666667	1	0.026875
5.683333	1	0.028250
5.700000	1	0.030125
5.716667	1	0.032250
5.733333	1	0.034125
5.750000	1	0.035750
5.766667	1	0.037750
5.783333	1	0.039875
5.800000	1	0.042250
5.816667	1	0.045125
5.833333	1	0.047750
5.850000	1	0.050125
5.866667	1	0.052000
5.883333	1	0.054625
5.900000	1	0.056750
5.916667	1	0.059125
5.933333	1	0.061375
5.950000	1	0.063375
5.966667	1	0.065875
5.983333	1	0.067500
6.000000	1	0.069875
6.016667	1	0.071750
6.033333	1	0.073625
6.050000	1	0.074875
6.066667	1	0.077000
6.083333	1	0.078875
6.100000	1	0.080875
6.116667	1	0.083000
6.133333	1	0.084375
6.150000	1	0.085750
6.166667	1	0.087375
6.183333	1	0.089000
6.200000	1	0.090375
6.216667	1	0.091500
6.233333	1	0.092875
6.250000	1	0.093750
6.266667	1	0.095250
6.283333	1	0.096375
6.300000	1	0.096875
6.316667	1	0.098125
6.333333	1	0.098875
6.350000	1	0.100250
6.366667	1	0.100875
6.383333	1	0.101625
6.400000	1	0.102625
6.416667	1	0.103250
6.433333	1	0.104500
6.450000	1	0.104625
6.466667	1	0.105250
6.483333	1	0.105500
6.500000	1	0.105875
6.516667	1	0.106500
6.533333	1	0.107125
6.550000	1	0.107500
6.566667	1	0.107875
6.583333	1	0.108375
6.600000	1	0.108875
6.616667	1	0.108750
6.633333	1	0.108500
6.650000	1	0.108125
6.666667	1	0.108250
6.683333	1	0.108375
6.700000	1	0.108250
6.716667	1	0.107625
6.733333	1	0.107625
6.750000	1	0.107000
6.766667	1	0.106500
6.783333	1	0.106500
6.800000	1	0.106000
6.816667	1	0.105750
6.833333	1	0.105125
6.850000	1	0.104750
6.866667	1	0.104875
6.883333	1	0.104250
6.900000	1	0.103375
6.916667	1	0.102625
6.933333	1	0.102500
6.950000	1	0.103000
6.966667	1	0.102875
6.983333	1	0.103000
7.000000	1	0.103125
7.016667	1	0.103500
7.033333	1	0.104000
7.050000	1	0.104375
7.066667	1	0.105000
7.083333	1	0.105500
7.100000	1	0.106000
7.116667	1	0.107500
7.133333	1	0.108250
7.150000	1	0.109250
7.166667	1	0.110750
7.183333	1	0.111875
7.200000	1	0.113250
7.216667	1	0.114250
7.233333	1	0.116125
7.250000	1	0.118500
7.266667	1	0.120125
7.283333	1	0.122125
7.300000	1	0.124375
7.316667	1	0.125125
7.333333	1	0.127125
7.350000	1	0.128750
7.366667	1	0.129875
7.383333	1	0.131250
7.400000	1	0.133250
7.416667	1	0.135375
7.433333	1	0.137000
7.450000	1	0.138875
7.466667	1	0.140375
7.483333	1	0.142500
7.500000	1	0.144375
7.516667	1	0.146125
7.533333	1	0.147500
7.550000	1	0.148750
7.566667	1	0.149750
7.583333	1	0.151250
7.600000	1	0.152375
7.616667	1	0.153500
7.633333	1	0.155250
7.650000	1	0.156375
7.666667	1	0.157250
7.683333	1	0.158500
7.700000	1	0.159125
7.716667	1	0.159875
7.733333	1	0.160375
7.750000	1	0.160250
7.766667	1	0.160375
7.783333	1	0.161500
7.800000	1	0.162750
7.816667	1	0.163250
7.833333	1	0.164000
7.850000	1	0.164750
7.866667	1	0.164375
7.883333	1	0.164500
7.900000	1	0.164500
7.916667	1	0.164375
7.933333	1	0.163750
7.950000	1	0.164000
7.966667	1	0.164500
7.983333	1	0.164375
8.000000	1	0.164625
8.016667	1	0.164000
8.033333	1	0.164000
8.050000	1	0.163250
8.066667	1	0.163375
