#
# 230718_glu3_mal1_scfa1
# ------------------------------
# Acquired: 7/19/2023 7:02:07 PM
# Converted: 07/20/2023 01:07:24 PM
# Vial: 2
# Injection Volume: 20 uL
# Sample ID: 001
#
# Detector B
# ---------------------
# Acquisition Interval: 500 ms
# Intensity Units: mV
# Intensity Multiplier: 0.001
#
time_min,intensity_mV,detector
0.0,0,B
0.00833,0,B
0.01667,0,B
0.025,0,B
0.03333,0,B
0.04167,1,B
0.05,1,B
0.05833,1,B
0.06667,1,B
0.075,2,B
0.08333,2,B
0.09167,2,B
0.1,1,B
0.10833,1,B
0.11667,1,B
0.125,1,B
0.13333,0,B
0.14167,0,B
0.15,0,B
0.15833,0,B
0.16667,0,B
0.175,0,B
0.18333,0,B
0.19167,0,B
0.2,0,B
0.20833,1,B
0.21667,1,B
0.225,1,B
0.23333,1,B
0.24167,1,B
0.25,1,B
0.25833,1,B
0.26667,0,B
0.275,1,B
0.28333,1,B
0.29167,1,B
0.3,1,B
0.30833,1,B
0.31667,1,B
0.325,1,B
0.33333,1,B
0.34167,1,B
0.35,1,B
0.35833,1,B
0.36667,1,B
0.375,0,B
0.38333,0,B
0.39167,0,B
0.4,0,B
0.40833,0,B
0.41667,0,B
0.425,0,B
0.43333,0,B
0.44167,-1,B
0.45,-1,B
0.45833,-1,B
0.46667,-1,B
0.475,-1,B
0.48333,0,B
0.49167,0,B
0.5,0,B
0.50833,0,B
0.51667,0,B
0.525,1,B
0.53333,1,B
0.54167,0,B
0.55,0,B
0.55833,0,B
0.56667,0,B
0.575,0,B
0.58333,1,B
0.59167,1,B
0.6,1,B
0.60833,1,B
0.61667,1,B
0.625,1,B
0.63333,1,B
0.64167,1,B
0.65,1,B
0.65833,1,B
0.66667,1,B
0.675,1,B
0.68333,1,B
0.69167,1,B
0.7,1,B
0.70833,1,B
0.71667,1,B
0.725,1,B
0.73333,0,B
0.74167,0,B
0.75,0,B
0.75833,0,B
0.76667,0,B
0.775,0,B
0.78333,0,B
0.79167,0,B
0.8,1,B
0.80833,1,B
0.81667,1,B
0.825,1,B
0.83333,1,B
0.84167,1,B
0.85,1,B
0.85833,1,B
0.86667,1,B
0.875,1,B
0.88333,1,B
0.89167,1,B
0.9,1,B
0.90833,1,B
0.91667,0,B
0.925,0,B
0.93333,0,B
0.94167,0,B
0.95,1,B
0.95833,1,B
0.96667,2,B
0.975,2,B
