File Path	chrom://marshall/Chromeleon7/HPLC_Ultimate_3000/Users/markusar/20230531_CMO_stabTest _FP08_FP09.seq/223.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	Chromeleon7
Injection	STD_02.1_Glu_Malt_FP_04
Injection Number	97
Position	BG7
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Injection Date	04.06.2023
Injection Time	08:13:47
Injection Volume (µl)	20.000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.2.5.9507
Exporting Data System	Chromeleon 7.2.5.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-5.966000
Signal Max.	81.031000
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	0.004875
0.016667	1	0.004375
0.033333	1	0.003875
0.050000	1	0.004000
0.066667	1	0.004375
0.083333	1	0.005125
0.100000	1	0.005750
0.116667	1	0.005625
0.133333	1	0.005500
0.150000	1	0.005625
0.166667	1	0.005500
0.183333	1	0.005125
0.200000	1	0.005500
0.216667	1	0.006000
0.233333	1	0.005250
0.250000	1	0.005875
0.266667	1	0.006125
0.283333	1	0.005500
0.300000	1	0.003000
0.316667	1	0.000500
0.333333	1	-0.001375
0.350000	1	-0.001625
0.366667	1	0.001375
0.383333	1	0.004750
0.400000	1	0.008375
0.416667	1	0.010875
0.433333	1	0.011625
0.450000	1	0.010750
0.466667	1	0.009125
0.483333	1	0.007250
0.500000	1	0.005625
0.516667	1	0.004500
0.533333	1	0.003875
0.550000	1	0.002875
0.566667	1	0.002125
0.583333	1	0.001000
0.600000	1	0.000375
0.616667	1	0.000125
0.633333	1	-0.000500
0.650000	1	-0.000500
0.666667	1	-0.000750
0.683333	1	-0.000875
0.700000	1	-0.001250
0.716667	1	-0.001125
0.733333	1	-0.001375
0.750000	1	-0.001375
0.766667	1	-0.001125
0.783333	1	-0.001125
0.800000	1	-0.001250
0.816667	1	-0.000750
0.833333	1	-0.000625
0.850000	1	-0.000250
0.866667	1	0.000125
0.883333	1	0.000625
0.900000	1	0.000750
0.916667	1	0.001750
0.933333	1	0.002375
0.950000	1	0.003500
0.966667	1	0.004000
0.983333	1	0.004375
1.000000	1	0.005125
1.016667	1	0.005875
1.033333	1	0.007000
1.050000	1	0.007875
1.066667	1	0.008750
1.083333	1	0.009375
1.100000	1	0.010750
1.116667	1	0.011500
1.133333	1	0.013250
1.150000	1	0.014500
1.166667	1	0.015125
1.183333	1	0.016125
1.200000	1	0.016750
1.216667	1	0.017125
1.233333	1	0.018500
1.250000	1	0.019375
1.266667	1	0.020125
1.283333	1	0.020125
1.300000	1	0.021125
1.316667	1	0.021625
1.333333	1	0.022250
1.350000	1	0.022625
1.366667	1	0.022500
1.383333	1	0.021875
1.400000	1	0.021875
1.416667	1	0.022375
1.433333	1	0.022125
1.450000	1	0.022250
1.466667	1	0.022000
1.483333	1	0.021625
1.500000	1	0.021250
1.516667	1	0.020500
1.533333	1	0.020125
1.550000	1	0.019000
1.566667	1	0.017875
1.583333	1	0.016750
1.600000	1	0.015125
1.616667	1	0.013875
1.633333	1	0.013125
1.650000	1	0.012500
1.666667	1	0.011250
1.683333	1	0.009625
1.700000	1	0.008250
1.716667	1	0.006875
1.733333	1	0.005375
1.750000	1	0.003875
1.766667	1	0.002000
1.783333	1	0.000500
1.800000	1	-0.001500
1.816667	1	-0.003125
1.833333	1	-0.004375
1.850000	1	-0.006375
1.866667	1	-0.008500
1.883333	1	-0.010125
1.900000	1	-0.012500
1.916667	1	-0.014250
1.933333	1	-0.015875
1.950000	1	-0.018250
1.966667	1	-0.019625
1.983333	1	-0.021000
2.000000	1	-0.022500
2.016667	1	-0.024250
2.033333	1	-0.025500
2.050000	1	-0.026875
2.066667	1	-0.028625
2.083333	1	-0.030125
2.100000	1	-0.031875
2.116667	1	-0.033000
2.133333	1	-0.034500
2.150000	1	-0.035375
2.166667	1	-0.036000
2.183333	1	-0.036750
2.200000	1	-0.038375
2.216667	1	-0.039000
2.233333	1	-0.039750
2.250000	1	-0.040125
2.266667	1	-0.040250
2.283333	1	-0.040250
2.300000	1	-0.040375
2.316667	1	-0.040625
2.333333	1	-0.041500
2.350000	1	-0.041000
2.366667	1	-0.040250
2.383333	1	-0.040375
2.400000	1	-0.040125
2.416667	1	-0.039250
2.433333	1	-0.038500
2.450000	1	-0.037375
2.466667	1	-0.036125
2.483333	1	-0.035250
2.500000	1	-0.034875
2.516667	1	-0.033500
2.533333	1	-0.032625
2.550000	1	-0.031125
2.566667	1	-0.030000
2.583333	1	-0.028750
2.600000	1	-0.027000
2.616667	1	-0.025500
2.633333	1	-0.023250
2.650000	1	-0.021875
2.666667	1	-0.019625
2.683333	1	-0.018125
2.700000	1	-0.016250
2.716667	1	-0.014625
2.733333	1	-0.013500
2.750000	1	-0.011375
2.766667	1	-0.009875
2.783333	1	-0.008375
2.800000	1	-0.007250
2.816667	1	-0.005000
2.833333	1	-0.002750
2.850000	1	-0.001125
2.866667	1	0.000375
2.883333	1	0.001875
2.900000	1	0.003500
2.916667	1	0.004750
2.933333	1	0.006375
2.950000	1	0.007125
2.966667	1	0.008500
2.983333	1	0.009875
3.000000	1	0.010625
3.016667	1	0.012125
3.033333	1	0.013375
3.050000	1	0.014000
3.066667	1	0.014875
3.083333	1	0.015500
3.100000	1	0.016125
3.116667	1	0.016875
3.133333	1	0.017125
3.150000	1	0.017125
3.166667	1	0.018125
3.183333	1	0.018375
3.200000	1	0.019250
3.216667	1	0.020250
3.233333	1	0.020625
3.250000	1	0.020625
3.266667	1	0.020625
3.283333	1	0.020750
3.300000	1	0.020875
3.316667	1	0.020750
3.333333	1	0.020500
3.350000	1	0.020125
3.366667	1	0.020500
3.383333	1	0.020625
3.400000	1	0.020750
3.416667	1	0.020000
3.433333	1	0.020125
3.450000	1	0.019375
3.466667	1	0.018625
3.483333	1	0.018125
3.500000	1	0.018125
3.516667	1	0.017500
3.533333	1	0.016750
3.550000	1	0.016375
3.566667	1	0.016125
3.583333	1	0.015375
3.600000	1	0.013750
3.616667	1	0.013375
3.633333	1	0.012875
3.650000	1	0.011875
3.666667	1	0.011375
3.683333	1	0.011625
3.700000	1	0.010125
3.716667	1	0.009250
3.733333	1	0.008250
3.750000	1	0.006875
3.766667	1	0.006250
3.783333	1	0.005750
3.800000	1	0.004625
3.816667	1	0.004250
3.833333	1	0.003250
3.850000	1	0.002875
3.866667	1	0.001375
3.883333	1	0.000500
3.900000	1	0.000000
3.916667	1	-0.000500
3.933333	1	-0.001500
3.950000	1	-0.002625
3.966667	1	-0.003750
3.983333	1	-0.004375
4.000000	1	-0.004750
4.016667	1	-0.005250
4.033333	1	-0.005750
4.050000	1	-0.005875
4.066667	1	-0.006375
4.083333	1	-0.007500
4.100000	1	-0.007875
4.116667	1	-0.009250
4.133333	1	-0.009500
4.150000	1	-0.010750
4.166667	1	-0.011125
4.183333	1	-0.011250
4.200000	1	-0.011125
4.216667	1	-0.011000
4.233333	1	-0.011625
4.250000	1	-0.012250
4.266667	1	-0.011625
4.283333	1	-0.011875
4.300000	1	-0.012375
4.316667	1	-0.012375
4.333333	1	-0.012500
4.350000	1	-0.012875
4.366667	1	-0.012875
4.383333	1	-0.012500
4.400000	1	-0.012000
4.416667	1	-0.012125
4.433333	1	-0.012625
4.450000	1	-0.012375
4.466667	1	-0.012250
4.483333	1	-0.012250
4.500000	1	-0.012250
4.516667	1	-0.012500
4.533333	1	-0.012625
4.550000	1	-0.012500
4.566667	1	-0.012375
4.583333	1	-0.012625
4.600000	1	-0.012750
4.616667	1	-0.012500
4.633333	1	-0.012375
4.650000	1	-0.012500
4.666667	1	-0.012625
4.683333	1	-0.013000
4.700000	1	-0.013000
4.716667	1	-0.012500
4.733333	1	-0.012875
4.750000	1	-0.012875
4.766667	1	-0.013125
4.783333	1	-0.013125
4.800000	1	-0.013125
4.816667	1	-0.012250
4.833333	1	-0.011125
4.850000	1	-0.010875
4.866667	1	-0.011375
4.883333	1	-0.011375
4.900000	1	-0.011375
4.916667	1	-0.011125
4.933333	1	-0.011750
4.950000	1	-0.012125
4.966667	1	-0.011750
4.983333	1	-0.011000
5.000000	1	-0.010375
5.016667	1	-0.010000
5.033333	1	-0.010000
5.050000	1	-0.009625
5.066667	1	-0.009500
5.083333	1	-0.009875
5.100000	1	-0.009875
5.116667	1	-0.009250
5.133333	1	-0.008875
5.150000	1	-0.008375
5.166667	1	-0.008375
5.183333	1	-0.007750
5.200000	1	-0.007750
5.216667	1	-0.007375
5.233333	1	-0.006750
5.250000	1	-0.007250
5.266667	1	-0.007375
5.283333	1	-0.007250
5.300000	1	-0.006875
5.316667	1	-0.006500
5.333333	1	-0.006250
5.350000	1	-0.005625
5.366667	1	-0.005500
5.383333	1	-0.005500
5.400000	1	-0.004500
5.416667	1	-0.004250
5.433333	1	-0.004750
5.450000	1	-0.004625
5.466667	1	-0.004375
5.483333	1	-0.004625
5.500000	1	-0.005000
5.516667	1	-0.004875
5.533333	1	-0.004000
5.550000	1	-0.003750
5.566667	1	-0.003625
5.583333	1	-0.003250
5.600000	1	-0.003375
5.616667	1	-0.003625
5.633333	1	-0.003625
5.650000	1	-0.004125
5.666667	1	-0.004250
5.683333	1	-0.004250
5.700000	1	-0.004000
5.716667	1	-0.004500
5.733333	1	-0.005000
5.750000	1	-0.005750
5.766667	1	-0.006125
5.783333	1	-0.006625
5.800000	1	-0.007625
5.816667	1	-0.007500
5.833333	1	-0.007375
5.850000	1	-0.008125
5.866667	1	-0.008375
5.883333	1	-0.009000
5.900000	1	-0.009250
5.916667	1	-0.010125
5.933333	1	-0.010625
5.950000	1	-0.010750
5.966667	1	-0.011375
5.983333	1	-0.011500
6.000000	1	-0.012250
6.016667	1	-0.012500
6.033333	1	-0.013375
6.050000	1	-0.013875
6.066667	1	-0.014500
6.083333	1	-0.015125
6.100000	1	-0.015375
6.116667	1	-0.016000
6.133333	1	-0.016000
6.150000	1	-0.016500
6.166667	1	-0.016500
6.183333	1	-0.016750
6.200000	1	-0.017000
6.216667	1	-0.016625
6.233333	1	-0.016250
6.250000	1	-0.016500
6.266667	1	-0.016375
6.283333	1	-0.015875
6.300000	1	-0.015250
6.316667	1	-0.014875
6.333333	1	-0.014750
6.350000	1	-0.013875
6.366667	1	-0.013250
6.383333	1	-0.012500
6.400000	1	-0.011125
6.416667	1	-0.010250
6.433333	1	-0.010125
6.450000	1	-0.009625
6.466667	1	-0.008875
6.483333	1	-0.007000
6.500000	1	-0.006000
6.516667	1	-0.005125
6.533333	1	-0.004125
6.550000	1	-0.002625
6.566667	1	-0.001500
6.583333	1	-0.000500
6.600000	1	0.000500
6.616667	1	0.001250
6.633333	1	0.002000
6.650000	1	0.001875
6.666667	1	0.002375
6.683333	1	0.003000
6.700000	1	0.004000
6.716667	1	0.004625
6.733333	1	0.004875
6.750000	1	0.005875
6.766667	1	0.006125
6.783333	1	0.006750
6.800000	1	0.006375
6.816667	1	0.006500
6.833333	1	0.007125
6.850000	1	0.006625
6.866667	1	0.006500
6.883333	1	0.006500
6.900000	1	0.006750
6.916667	1	0.007000
6.933333	1	0.006875
6.950000	1	0.007000
6.966667	1	0.006500
6.983333	1	0.006375
7.000000	1	0.006250
7.016667	1	0.005375
7.033333	1	0.005625
7.050000	1	0.005375
7.066667	1	0.004875
7.083333	1	0.003625
7.100000	1	0.002625
7.116667	1	0.003125
7.133333	1	0.002875
7.150000	1	0.002875
7.166667	1	0.002500
7.183333	1	0.002500
7.200000	1	0.001875
7.216667	1	0.001500
7.233333	1	0.000750
7.250000	1	0.000125
7.266667	1	-0.000375
7.283333	1	-0.000375
7.300000	1	0.000000
7.316667	1	-0.000375
7.333333	1	0.000000
7.350000	1	0.000250
7.366667	1	0.000375
7.383333	1	0.000625
7.400000	1	0.000375
7.416667	1	0.000625
7.433333	1	0.000750
7.450000	1	0.001125
7.466667	1	0.001125
7.483333	1	0.001500
7.500000	1	0.001500
7.516667	1	0.001875
7.533333	1	0.002125
7.550000	1	0.002375
7.566667	1	0.003000
7.583333	1	0.003125
7.600000	1	0.003375
7.616667	1	0.003500
7.633333	1	0.003625
7.650000	1	0.003625
7.666667	1	0.003750
7.683333	1	0.004375
7.700000	1	0.004375
7.716667	1	0.004875
7.733333	1	0.005500
7.750000	1	0.005875
7.766667	1	0.005875
7.783333	1	0.006375
7.800000	1	0.006750
7.816667	1	0.007000
7.833333	1	0.006875
7.850000	1	0.007250
7.866667	1	0.007375
7.883333	1	0.008000
7.900000	1	0.008000
7.916667	1	0.008625
7.933333	1	0.009250
7.950000	1	0.010375
7.966667	1	0.010750
7.983333	1	0.011000
8.000000	1	0.011125
8.016667	1	0.011375
8.033333	1	0.011625
8.050000	1	0.012000
8.066667	1	0.012125
8.083333	1	0.013125
8.100000	1	0.013125
8.116667	1	0.013875
8.133333	1	0.014375
8.150000	1	0.015500
8.166667	1	0.015875
8.183333	1	0.016875
8.200000	1	0.017125
8.216667	1	0.016625
8.233333	1	0.017000
8.250000	1	0.017000
8.266667	1	0.016875
8.283333	1	0.017625
8.300000	1	0.018500
8.316667	1	0.019375
8.333333	1	0.019500
8.350000	1	0.019750
8.366667	1	0.020000
8.383333	1	0.020250
8.400000	1	0.020250
8.416667	1	0.020000
8.433333	1	0.020250
8.450000	1	0.020000
8.466667	1	0.020250
8.483333	1	0.020250
8.500000	1	0.019625
8.516667	1	0.019250
8.533333	1	0.019375
8.550000	1	0.019125
8.566667	1	0.018750
8.583333	1	0.018875
8.600000	1	0.018500
8.616667	1	0.017875
8.633333	1	0.017500
8.650000	1	0.017500
8.666667	1	0.017000
8.683333	1	0.016500
8.700000	1	0.016000
8.716667	1	0.016000
8.733333	1	0.015625
8.750000	1	0.016000
8.766667	1	0.015375
8.783333	1	0.014875
8.800000	1	0.014250
8.816667	1	0.014250
8.833333	1	0.013875
8.850000	1	0.014000
8.866667	1	0.013625
8.883333	1	0.013250
8.900000	1	0.012875
8.916667	1	0.012750
8.933333	1	0.012875
8.950000	1	0.012875
8.966667	1	0.012875
8.983333	1	0.013125
9.000000	1	0.013000
9.016667	1	0.012750
9.033333	1	0.013125
9.050000	1	0.013750
9.066667	1	0.014500
9.083333	1	0.013875
9.100000	1	0.014250
9.116667	1	0.015250
9.133333	1	0.015875
9.150000	1	0.017125
9.166667	1	0.017375
9.183333	1	0.018000
9.200000	1	0.018750
9.216667	1	0.018750
9.233333	1	0.020000
9.250000	1	0.020375
9.266667	1	0.021625
9.283333	1	0.022250
9.300000	1	0.022750
9.316667	1	0.023625
9.333333	1	0.024375
9.350000	1	0.025625
9.366667	1	0.026625
9.383333	1	0.027000
9.400000	1	0.028000
9.416667	1	0.028750
9.433333	1	0.029625
9.450000	1	0.030875
9.466667	1	0.031625
9.483333	1	0.032500
9.500000	1	0.033625
9.516667	1	0.034750
9.533333	1	0.035500
9.550000	1	0.036500
9.566667	1	0.037125
9.583333	1	0.037625
9.600000	1	0.037625
9.616667	1	0.037625
9.633333	1	0.037375
9.650000	1	0.036750
9.666667	1	0.036500
9.683333	1	0.036000
9.700000	1	0.035500
9.716667	1	0.035250
9.733333	1	0.034500
9.750000	1	0.034250
9.766667	1	0.033250
9.783333	1	0.031375
9.800000	1	0.029250
9.816667	1	0.026125
9.833333	1	0.021125
9.850000	1	0.014125
9.866667	1	0.003875
9.883333	1	-0.012375
9.900000	1	-0.036125
9.916667	1	-0.069875
9.933333	1	-0.119250
9.950000	1	-0.189625
9.966667	1	-0.289750
9.983333	1	-0.432500
10.000000	1	-0.631750
10.016667	1	-0.904125
10.033333	1	-1.264875
10.050000	1	-1.719750
10.066667	1	-2.265125
10.083333	1	-2.881500
10.100000	1	-3.534500
10.116667	1	-4.179625
10.133333	1	-4.770125
10.150000	1	-5.266750
10.166667	1	-5.639750
10.183333	1	-5.873375
10.200000	1	-5.966000
10.216667	1	-5.926500
10.233333	1	-5.772125
10.250000	1	-5.524500
10.266667	1	-5.206625
10.283333	1	-4.840625
10.300000	1	-4.447500
10.316667	1	-4.046875
10.333333	1	-3.652500
10.350000	1	-3.275500
10.366667	1	-2.923250
10.383333	1	-2.600250
10.400000	1	-2.306875
10.416667	1	-2.043375
10.433333	1	-1.807625
10.450000	1	-1.597750
10.466667	1	-1.410250
10.483333	1	-1.242500
10.500000	1	-1.092250
10.516667	1	-0.957625
10.533333	1	-0.835625
10.550000	1	-0.726250
10.566667	1	-0.628625
10.583333	1	-0.541875
10.600000	1	-0.464750
10.616667	1	-0.396250
10.633333	1	-0.336500
10.650000	1	-0.283375
10.666667	1	-0.238625
10.683333	1	-0.199750
10.700000	1	-0.165625
10.716667	1	-0.135000
10.733333	1	-0.107375
10.750000	1	-0.082250
10.766667	1	-0.058750
10.783333	1	-0.036375
10.800000	1	-0.015250
10.816667	1	0.005375
10.833333	1	0.025250
10.850000	1	0.044500
10.866667	1	0.061250
10.883333	1	0.076000
10.900000	1	0.089000
10.916667	1	0.099500
10.933333	1	0.108250
10.950000	1	0.114000
10.966667	1	0.116875
10.983333	1	0.117375
11.000000	1	0.116000
11.016667	1	0.113125
11.033333	1	0.109250
11.050000	1	0.105250
11.066667	1	0.100750
11.083333	1	0.096500
11.100000	1	0.091750
11.116667	1	0.087125
11.133333	1	0.083250
11.150000	1	0.080500
11.166667	1	0.078625
11.183333	1	0.077500
11.200000	1	0.076500
11.216667	1	0.077375
11.233333	1	0.079500
11.250000	1	0.083000
11.266667	1	0.087750
11.283333	1	0.094750
11.300000	1	0.104500
11.316667	1	0.116625
11.333333	1	0.131375
11.350000	1	0.149625
11.366667	1	0.170500
11.383333	1	0.194250
11.400000	1	0.220875
11.416667	1	0.249000
11.433333	1	0.276500
11.450000	1	0.303500
11.466667	1	0.328500
11.483333	1	0.349250
11.500000	1	0.365500
11.516667	1	0.376000
11.533333	1	0.380625
11.550000	1	0.379000
11.566667	1	0.372625
11.583333	1	0.361750
11.600000	1	0.346875
11.616667	1	0.328750
11.633333	1	0.308625
11.650000	1	0.288000
11.666667	1	0.266750
11.683333	1	0.246625
11.700000	1	0.226000
11.716667	1	0.207375
11.733333	1	0.190000
11.750000	1	0.174375
11.766667	1	0.159125
11.783333	1	0.146000
11.800000	1	0.134750
11.816667	1	0.124375
11.833333	1	0.115625
11.850000	1	0.108500
11.866667	1	0.102875
11.883333	1	0.098875
11.900000	1	0.096500
11.916667	1	0.096000
11.933333	1	0.097125
11.950000	1	0.101125
11.966667	1	0.107875
11.983333	1	0.117000
12.000000	1	0.131500
12.016667	1	0.150875
12.033333	1	0.175500
12.050000	1	0.208125
12.066667	1	0.248875
12.083333	1	0.300625
12.100000	1	0.365375
12.116667	1	0.445375
12.133333	1	0.543125
12.150000	1	0.662000
12.166667	1	0.805750
12.183333	1	0.977250
12.200000	1	1.181625
12.216667	1	1.424250
12.233333	1	1.710750
12.250000	1	2.047125
12.266667	1	2.443000
12.283333	1	2.911250
12.300000	1	3.467000
12.316667	1	4.134000
12.333333	1	4.943000
12.350000	1	5.935750
12.366667	1	7.166375
12.383333	1	8.700375
12.400000	1	10.615250
12.416667	1	12.992125
12.433333	1	15.912125
12.450000	1	19.446000
12.466667	1	23.639250
12.483333	1	28.498625
12.500000	1	33.981125
12.516667	1	39.981500
12.533333	1	46.332875
12.550000	1	52.816625
12.566667	1	59.174000
12.583333	1	65.129750
12.600000	1	70.414500
12.616667	1	74.791750
12.633333	1	78.082375
12.650000	1	80.175875
12.666667	1	81.031000
12.683333	1	80.677125
12.700000	1	79.204375
12.716667	1	76.754250
12.733333	1	73.500250
12.750000	1	69.630750
12.766667	1	65.326750
12.783333	1	60.755125
12.800000	1	56.068500
12.816667	1	51.391500
12.833333	1	46.822625
12.850000	1	42.434500
12.866667	1	38.280250
12.883333	1	34.392625
12.900000	1	30.790250
12.916667	1	27.482375
12.933333	1	24.465500
12.950000	1	21.732375
12.966667	1	19.269625
12.983333	1	17.060250
13.000000	1	15.088375
13.016667	1	13.334625
13.033333	1	11.780125
13.050000	1	10.405375
13.066667	1	9.193500
13.083333	1	8.126000
13.100000	1	7.190125
13.116667	1	6.370125
13.133333	1	5.652875
13.150000	1	5.027500
13.166667	1	4.481875
13.183333	1	4.005750
13.200000	1	3.590875
13.216667	1	3.228750
13.233333	1	2.911250
13.250000	1	2.633125
13.266667	1	2.388500
13.283333	1	2.172750
13.300000	1	1.981000
13.316667	1	1.810875
13.333333	1	1.659375
13.350000	1	1.523625
13.366667	1	1.401750
13.383333	1	1.291500
13.400000	1	1.192625
13.416667	1	1.103000
13.433333	1	1.022000
13.450000	1	0.947875
13.466667	1	0.880375
13.483333	1	0.819125
13.500000	1	0.762625
13.516667	1	0.710750
13.533333	1	0.663750
13.550000	1	0.620125
13.566667	1	0.580125
13.583333	1	0.543375
13.600000	1	0.510250
13.616667	1	0.479000
13.633333	1	0.450750
13.650000	1	0.424500
13.666667	1	0.401125
13.683333	1	0.379125
13.700000	1	0.359375
13.716667	1	0.340500
13.733333	1	0.323750
13.750000	1	0.308750
13.766667	1	0.294625
13.783333	1	0.281250
13.800000	1	0.269750
13.816667	1	0.258875
13.833333	1	0.248625
13.850000	1	0.238750
13.866667	1	0.230500
13.883333	1	0.222375
13.900000	1	0.215125
13.916667	1	0.207750
13.933333	1	0.201625
13.950000	1	0.196375
13.966667	1	0.191625
13.983333	1	0.187000
14.000000	1	0.183125
14.016667	1	0.179250
14.033333	1	0.175875
14.050000	1	0.173000
14.066667	1	0.171000
14.083333	1	0.169125
14.100000	1	0.167625
14.116667	1	0.166500
14.133333	1	0.165875
14.150000	1	0.165750
14.166667	1	0.166375
14.183333	1	0.168250
14.200000	1	0.170750
14.216667	1	0.175000
14.233333	1	0.180000
14.250000	1	0.186875
14.266667	1	0.195375
14.283333	1	0.206250
14.300000	1	0.220250
14.316667	1	0.237875
14.333333	1	0.258500
14.350000	1	0.284375
14.366667	1	0.315750
14.383333	1	0.353375
14.400000	1	0.399125
14.416667	1	0.453125
14.433333	1	0.517625
14.450000	1	0.593375
14.466667	1	0.682500
14.483333	1	0.786000
14.500000	1	0.906250
14.516667	1	1.046625
14.533333	1	1.209625
14.550000	1	1.398250
14.566667	1	1.617250
14.583333	1	1.873000
14.600000	1	2.171625
14.616667	1	2.524625
14.633333	1	2.944500
14.650000	1	3.448000
14.666667	1	4.056625
14.683333	1	4.794500
14.700000	1	5.687375
14.716667	1	6.763500
14.733333	1	8.049500
14.750000	1	9.571125
14.766667	1	11.341250
14.783333	1	13.361125
14.800000	1	15.620625
14.816667	1	18.091125
14.833333	1	20.724875
14.850000	1	23.456750
14.866667	1	26.205250
14.883333	1	28.875750
14.900000	1	31.371875
14.916667	1	33.596500
14.933333	1	35.466125
14.950000	1	36.912375
14.966667	1	37.888750
14.983333	1	38.374375
15.000000	1	38.371500
15.016667	1	37.905500
15.033333	1	37.018625
15.050000	1	35.764125
15.066667	1	34.205750
15.083333	1	32.412125
15.100000	1	30.454125
15.116667	1	28.395250
15.133333	1	26.292125
15.150000	1	24.192875
15.166667	1	22.140625
15.183333	1	20.167000
15.200000	1	18.291375
15.216667	1	16.530250
15.233333	1	14.889750
15.250000	1	13.374500
15.266667	1	11.983500
15.283333	1	10.715625
15.300000	1	9.564750
15.316667	1	8.524875
15.333333	1	7.590375
15.350000	1	6.753375
15.366667	1	6.006375
15.383333	1	5.341750
15.400000	1	4.752500
15.416667	1	4.230750
15.433333	1	3.770000
15.450000	1	3.364125
15.466667	1	3.007000
15.483333	1	2.693500
15.500000	1	2.418250
15.516667	1	2.177375
15.533333	1	1.965375
15.550000	1	1.780000
15.566667	1	1.617375
15.583333	1	1.474125
15.600000	1	1.347500
15.616667	1	1.236125
15.633333	1	1.137875
15.650000	1	1.050375
15.666667	1	0.972125
15.683333	1	0.901750
15.700000	1	0.838750
15.716667	1	0.782750
15.733333	1	0.732375
15.750000	1	0.686375
15.766667	1	0.645375
15.783333	1	0.607250
15.800000	1	0.573875
15.816667	1	0.543125
15.833333	1	0.515500
15.850000	1	0.490625
15.866667	1	0.467875
15.883333	1	0.447000
15.900000	1	0.427250
15.916667	1	0.410000
15.933333	1	0.394750
15.950000	1	0.380750
15.966667	1	0.367875
15.983333	1	0.356500
16.000000	1	0.345500
16.016667	1	0.337000
16.033333	1	0.329250
16.050000	1	0.322000
16.066667	1	0.315000
16.083333	1	0.308500
16.100000	1	0.303000
16.116667	1	0.298500
16.133333	1	0.294625
16.150000	1	0.291125
16.166667	1	0.288125
16.183333	1	0.285125
16.200000	1	0.282875
16.216667	1	0.280500
16.233333	1	0.278625
16.250000	1	0.277000
16.266667	1	0.275500
16.283333	1	0.274375
16.300000	1	0.273250
16.316667	1	0.271750
16.333333	1	0.270500
16.350000	1	0.269625
16.366667	1	0.269125
16.383333	1	0.268375
16.400000	1	0.267500
16.416667	1	0.266875
16.433333	1	0.266250
16.450000	1	0.265500
16.466667	1	0.264625
16.483333	1	0.264125
16.500000	1	0.263375
16.516667	1	0.263250
16.533333	1	0.263000
16.550000	1	0.262500
16.566667	1	0.262125
16.583333	1	0.261750
16.600000	1	0.261125
16.616667	1	0.261000
16.633333	1	0.260375
16.650000	1	0.259750
16.666667	1	0.259125
16.683333	1	0.258250
16.700000	1	0.257750
16.716667	1	0.256875
16.733333	1	0.256750
16.750000	1	0.256375
16.766667	1	0.255750
16.783333	1	0.255375
16.800000	1	0.255000
16.816667	1	0.254500
16.833333	1	0.254625
16.850000	1	0.254500
16.866667	1	0.254000
16.883333	1	0.253875
16.900000	1	0.253750
16.916667	1	0.253625
16.933333	1	0.253250
16.950000	1	0.252625
16.966667	1	0.252250
16.983333	1	0.252000
17.000000	1	0.252125
17.016667	1	0.251375
17.033333	1	0.251375
17.050000	1	0.251000
17.066667	1	0.250875
17.083333	1	0.250500
17.100000	1	0.250875
17.116667	1	0.250125
17.133333	1	0.249750
17.150000	1	0.249500
17.166667	1	0.248875
17.183333	1	0.248375
17.200000	1	0.248250
17.216667	1	0.248250
17.233333	1	0.247375
17.250000	1	0.246500
17.266667	1	0.246125
17.283333	1	0.245875
17.300000	1	0.245125
17.316667	1	0.244875
17.333333	1	0.244125
17.350000	1	0.243875
17.366667	1	0.242875
17.383333	1	0.242500
17.400000	1	0.242125
17.416667	1	0.242000
17.433333	1	0.241500
17.450000	1	0.241125
17.466667	1	0.240000
17.483333	1	0.239250
