time_min,step,intensity_mV
0.016667,1.0,-0.013375
0.033333,1.0,-0.012625
0.05,1.0,-0.013625
0.066667,1.0,-0.013625
0.083333,1.0,-0.012625
0.1,1.0,-0.01275
0.116667,1.0,-0.01275
0.133333,1.0,-0.0125
0.15,1.0,-0.01275
0.166667,1.0,-0.01275
0.183333,1.0,-0.013125
0.2,1.0,-0.013125
0.216667,1.0,-0.013
0.233333,1.0,-0.013
0.25,1.0,-0.013125
0.266667,1.0,-0.013375
0.283333,1.0,-0.0145
0.3,1.0,-0.016375
0.316667,1.0,-0.018625
0.333333,1.0,-0.019875
0.35,1.0,-0.018375
0.366667,1.0,-0.015125
0.383333,1.0,-0.011625
0.4,1.0,-0.0085
0.416667,1.0,-0.006375
0.433333,1.0,-0.005625
0.45,1.0,-0.00525
0.466667,1.0,-0.00625
0.483333,1.0,-0.007375
0.5,1.0,-0.00825
0.516667,1.0,-0.009125
0.533333,1.0,-0.00925
0.55,1.0,-0.010125
0.566667,1.0,-0.0105
0.583333,1.0,-0.011125
0.6,1.0,-0.011
0.616667,1.0,-0.0115
0.633333,1.0,-0.011125
0.65,1.0,-0.010625
0.666667,1.0,-0.010375
0.683333,1.0,-0.01
0.7,1.0,-0.009625
0.716667,1.0,-0.009
0.733333,1.0,-0.00825
0.75,1.0,-0.008
0.766667,1.0,-0.008
0.783333,1.0,-0.007625
0.8,1.0,-0.006875
0.816667,1.0,-0.006
0.833333,1.0,-0.005625
0.85,1.0,-0.005
0.866667,1.0,-0.004625
0.883333,1.0,-0.003875
0.9,1.0,-0.0035
0.916667,1.0,-0.002
0.933333,1.0,-0.001375
0.95,1.0,-0.001
0.966667,1.0,0.0
0.983333,1.0,-0.00025
1.0,1.0,0.00025
1.016667,1.0,0.00125
1.033333,1.0,0.003
1.05,1.0,0.003375
1.066667,1.0,0.0035
1.083333,1.0,0.004125
1.1,1.0,0.004125
1.116667,1.0,0.00525
1.133333,1.0,0.005125
1.15,1.0,0.004625
1.166667,1.0,0.005
1.183333,1.0,0.005375
1.2,1.0,0.005375
1.216667,1.0,0.005625
1.233333,1.0,0.006375
1.25,1.0,0.00575
1.266667,1.0,0.005875
1.283333,1.0,0.005875
1.3,1.0,0.0055
1.316667,1.0,0.005625
1.333333,1.0,0.005625
1.35,1.0,0.004625
1.366667,1.0,0.00375
1.383333,1.0,0.003875
1.4,1.0,0.00375
1.416667,1.0,0.00375
1.433333,1.0,0.00375
1.45,1.0,0.004
1.466667,1.0,0.00325
1.483333,1.0,0.002625
1.5,1.0,0.00175
1.516667,1.0,0.00125
1.533333,1.0,0.001125
1.55,1.0,0.001
