[Header]
Application Name,LabSolutions
Version,5.97 SP1
Data File Name,C:\Users\cremerlab\Desktop\Richa\Aug 2nd 2023 lac suc cal in water\lac suc cal water 2.5mM_822023_001_006.lcd
Output Date,8/2/2023
Output Time,4:07:16 PM

[File Information]
Type,Data File
Generated,8/2/2023 3:36:55 PM
Generated by,System Administrator
Modified,8/2/2023 4:07:16 PM
Modified by,System Administrator

[Sample Information]
Operator Name,System Administrator
Acquired,8/2/2023 3:37:16 PM
Sample Type,1:Standard
Level,1
Sample Name,230802_lactate_10mM001
Sample ID,001
ISTD Amount1,1
ISTD Amount2,1
ISTD Amount3,1
ISTD Amount4,1
ISTD Amount5,1
ISTD Amount6,1
ISTD Amount7,1
ISTD Amount8,1
ISTD Amount9,1
ISTD Amount10,1
ISTD Amount11,1
ISTD Amount12,1
ISTD Amount13,1
ISTD Amount14,1
ISTD Amount15,1
ISTD Amount16,1
ISTD Amount17,1
ISTD Amount18,1
ISTD Amount19,1
ISTD Amount20,1
ISTD Amount21,1
ISTD Amount22,1
ISTD Amount23,1
ISTD Amount24,1
ISTD Amount25,1
ISTD Amount26,1
ISTD Amount27,1
ISTD Amount28,1
ISTD Amount29,1
ISTD Amount30,1
ISTD Amount31,1
ISTD Amount32,1
Sample Amount,1
Dilution Factor,1
Vial#,5
Injection Volume,20

[Original Files]
Data File,C:\Users\cremerlab\Desktop\Richa\Aug 2nd 2023 lac suc cal in water\lac suc cal water 2.5mM_822023_001_006.lcd
Method File,C:\Users\cremerlab\Desktop\Richa\organic_acids_excretion.lcm
Batch File,C:\Users\cremerlab\Desktop\Richa\Aug 2nd 2023 lac suc cal in water\lac suc cal water 2.5mM.lcb
Report Format File,c:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name,HPLC-PC-Instrument1
Instrument #,1
Line #,1
# of Detectors,2
Detector ID,Detector A,Detector B
Detector Name,Detector A,Detector B
# of Channels,1,1

[LC Chromatogram(Detector A-Ch1)]
Interval(msec),500
# of Points,3601
Start Time(min),0.000
End Time(min),30.000
Intensity Units,mV
Intensity Multiplier,0.001
