#
# 230802_lactate_1mM001
# ------------------------------
# Acquired: 8/2/2023 1:35:43 PM
# Converted: 08/03/2023 07:08:36 AM
# Vial: 1
# Injection Volume: 20 uL
# Sample ID: 001
#
# Detector B
# ---------------------
# Acquisition Interval: 500 ms
# Intensity Units: mV
# Intensity Multiplier: 0.001
#
time_min,intensity_mV,detector
0.0,1,B
0.00833,1,B
0.01667,1,B
0.025,1,B
0.03333,1,B
0.04167,1,B
0.05,1,B
0.05833,0,B
0.06667,0,B
0.075,0,B
0.08333,1,B
0.09167,1,B
0.1,1,B
0.10833,1,B
0.11667,2,B
0.125,2,B
0.13333,2,B
0.14167,2,B
0.15,2,B
0.15833,2,B
0.16667,2,B
0.175,2,B
0.18333,2,B
0.19167,2,B
0.2,2,B
0.20833,2,B
0.21667,2,B
0.225,3,B
0.23333,3,B
0.24167,2,B
0.25,2,B
0.25833,2,B
0.26667,2,B
0.275,2,B
0.28333,2,B
0.29167,2,B
0.3,2,B
0.30833,2,B
0.31667,2,B
0.325,2,B
0.33333,2,B
0.34167,2,B
0.35,2,B
0.35833,2,B
0.36667,3,B
0.375,3,B
0.38333,4,B
0.39167,4,B
0.4,4,B
0.40833,4,B
0.41667,4,B
0.425,4,B
0.43333,4,B
0.44167,4,B
0.45,4,B
0.45833,4,B
0.46667,4,B
0.475,4,B
0.48333,4,B
0.49167,4,B
0.5,4,B
0.50833,4,B
0.51667,4,B
0.525,4,B
0.53333,3,B
0.54167,4,B
0.55,4,B
0.55833,4,B
0.56667,4,B
0.575,5,B
0.58333,5,B
0.59167,5,B
0.6,5,B
0.60833,5,B
0.61667,5,B
0.625,5,B
0.63333,5,B
0.64167,5,B
0.65,5,B
0.65833,5,B
0.66667,5,B
0.675,6,B
0.68333,6,B
0.69167,7,B
0.7,7,B
0.70833,7,B
0.71667,7,B
0.725,7,B
0.73333,7,B
0.74167,7,B
0.75,6,B
0.75833,6,B
0.76667,7,B
0.775,7,B
0.78333,7,B
0.79167,6,B
0.8,6,B
0.80833,6,B
0.81667,6,B
0.825,7,B
0.83333,7,B
0.84167,7,B
0.85,7,B
0.85833,8,B
0.86667,8,B
0.875,8,B
0.88333,8,B
0.89167,8,B
0.9,8,B
0.90833,9,B
0.91667,9,B
0.925,9,B
0.93333,8,B
0.94167,8,B
0.95,9,B
0.95833,9,B
0.96667,9,B
0.975,9,B
0.98333,9,B
0.99167,9,B
1.0,10,B
1.00833,10,B
1.01667,10,B
1.025,10,B
1.03333,10,B
1.04167,10,B
1.05,10,B
1.05833,10,B
1.06667,10,B
1.075,10,B
1.08333,10,B
1.09167,10,B
1.1,10,B
1.10833,10,B
1.11667,10,B
1.125,10,B
1.13333,10,B
1.14167,10,B
1.15,10,B
1.15833,10,B
1.16667,10,B
1.175,10,B
1.18333,11,B
1.19167,11,B
1.2,11,B
1.20833,12,B
1.21667,12,B
1.225,12,B
1.23333,13,B
1.24167,13,B
1.25,13,B
1.25833,13,B
1.26667,12,B
1.275,12,B
1.28333,12,B
1.29167,12,B
1.3,12,B
1.30833,12,B
1.31667,13,B
1.325,13,B
1.33333,13,B
1.34167,13,B
1.35,13,B
1.35833,13,B
1.36667,13,B
1.375,14,B
1.38333,14,B
1.39167,14,B
1.4,14,B
1.40833,14,B
1.41667,14,B
1.425,14,B
1.43333,14,B
1.44167,14,B
1.45,15,B
1.45833,15,B
1.46667,15,B
1.475,15,B
1.48333,15,B
1.49167,14,B
1.5,14,B
1.50833,14,B
1.51667,14,B
1.525,14,B
1.53333,15,B
1.54167,15,B
1.55,15,B
1.55833,15,B
1.56667,15,B
1.575,15,B
1.58333,15,B
1.59167,15,B
1.6,15,B
1.60833,16,B
1.61667,16,B
1.625,16,B
1.63333,15,B
1.64167,15,B
1.65,15,B
1.65833,15,B
1.66667,15,B
1.675,15,B
1.68333,15,B
1.69167,15,B
1.7,15,B
1.70833,14,B
1.71667,14,B
1.725,15,B
1.73333,15,B
1.74167,15,B
1.75,15,B
1.75833,15,B
1.76667,15,B
1.775,15,B
1.78333,15,B
1.79167,15,B
1.8,15,B
1.80833,15,B
1.81667,15,B
1.825,15,B
1.83333,15,B
1.84167,15,B
1.85,15,B
1.85833,15,B
1.86667,15,B
1.875,15,B
1.88333,15,B
1.89167,15,B
1.9,15,B
1.90833,15,B
1.91667,15,B
1.925,15,B
1.93333,15,B
1.94167,15,B
1.95,14,B
1.95833,14,B
1.96667,15,B
1.975,15,B
1.98333,15,B
1.99167,15,B
2.0,15,B
2.00833,15,B
2.01667,14,B
2.025,14,B
2.03333,14,B
2.04167,14,B
2.05,14,B
2.05833,14,B
2.06667,14,B
2.075,13,B
2.08333,13,B
2.09167,14,B
2.1,13,B
2.10833,13,B
2.11667,13,B
2.125,13,B
2.13333,12,B
2.14167,12,B
2.15,12,B
2.15833,12,B
2.16667,12,B
2.175,12,B
2.18333,12,B
2.19167,12,B
2.2,12,B
2.20833,12,B
2.21667,12,B
2.225,12,B
2.23333,12,B
2.24167,11,B
2.25,11,B
2.25833,11,B
2.26667,11,B
2.275,10,B
2.28333,10,B
2.29167,10,B
2.3,10,B
2.30833,10,B
2.31667,10,B
2.325,9,B
2.33333,9,B
2.34167,9,B
2.35,9,B
2.35833,9,B
2.36667,9,B
2.375,9,B
2.38333,8,B
2.39167,7,B
2.4,7,B
2.40833,6,B
2.41667,6,B
2.425,6,B
2.43333,5,B
2.44167,5,B
2.45,5,B
2.45833,5,B
2.46667,5,B
2.475,5,B
2.48333,5,B
2.49167,5,B
2.5,4,B
2.50833,4,B
2.51667,4,B
2.525,5,B
2.53333,4,B
2.54167,4,B
2.55,4,B
2.55833,4,B
2.56667,3,B
2.575,2,B
2.58333,2,B
2.59167,2,B
2.6,1,B
2.60833,1,B
2.61667,1,B
2.625,1,B
2.63333,1,B
2.64167,1,B
2.65,0,B
2.65833,0,B
2.66667,0,B
2.675,0,B
2.68333,1,B
2.69167,1,B
2.7,1,B
2.70833,1,B
2.71667,0,B
2.725,0,B
2.73333,0,B
2.74167,0,B
2.75,-1,B
2.75833,-1,B
2.76667,-1,B
2.775,-1,B
2.78333,-1,B
2.79167,-1,B
2.8,-1,B
2.80833,-2,B
2.81667,-2,B
2.825,-2,B
2.83333,-2,B
2.84167,-3,B
2.85,-3,B
2.85833,-3,B
2.86667,-3,B
2.875,-3,B
2.88333,-4,B
2.89167,-4,B
2.9,-3,B
2.90833,-3,B
2.91667,-4,B
2.925,-4,B
2.93333,-4,B
2.94167,-4,B
2.95,-4,B
2.95833,-4,B
2.96667,-4,B
2.975,-5,B
2.98333,-5,B
2.99167,-5,B
3.0,-5,B
3.00833,-5,B
3.01667,-6,B
3.025,-6,B
3.03333,-6,B
3.04167,-7,B
3.05,-7,B
3.05833,-7,B
3.06667,-8,B
3.075,-7,B
3.08333,-7,B
3.09167,-7,B
3.1,-7,B
3.10833,-7,B
3.11667,-7,B
3.125,-7,B
3.13333,-7,B
3.14167,-8,B
3.15,-8,B
3.15833,-8,B
3.16667,-8,B
3.175,-9,B
3.18333,-9,B
3.19167,-9,B
3.2,-9,B
3.20833,-9,B
3.21667,-9,B
3.225,-9,B
3.23333,-9,B
3.24167,-9,B
3.25,-9,B
3.25833,-9,B
3.26667,-9,B
3.275,-9,B
3.28333,-9,B
3.29167,-9,B
3.3,-10,B
3.30833,-10,B
3.31667,-10,B
3.325,-11,B
3.33333,-11,B
3.34167,-11,B
3.35,-12,B
3.35833,-12,B
3.36667,-12,B
3.375,-12,B
3.38333,-12,B
3.39167,-12,B
3.4,-12,B
3.40833,-12,B
3.41667,-12,B
3.425,-13,B
3.43333,-13,B
3.44167,-13,B
3.45,-13,B
3.45833,-13,B
3.46667,-13,B
3.475,-13,B
3.48333,-13,B
3.49167,-13,B
3.5,-13,B
3.50833,-13,B
3.51667,-13,B
3.525,-14,B
3.53333,-14,B
3.54167,-15,B
3.55,-15,B
3.55833,-15,B
3.56667,-15,B
3.575,-15,B
3.58333,-15,B
3.59167,-15,B
3.6,-15,B
3.60833,-16,B
3.61667,-15,B
3.625,-16,B
3.63333,-16,B
3.64167,-16,B
3.65,-16,B
3.65833,-15,B
3.66667,-16,B
3.675,-16,B
3.68333,-16,B
3.69167,-16,B
3.7,-16,B
3.70833,-16,B
3.71667,-16,B
3.725,-16,B
3.73333,-16,B
3.74167,-16,B
3.75,-16,B
3.75833,-16,B
3.76667,-16,B
3.775,-17,B
3.78333,-17,B
3.79167,-17,B
3.8,-17,B
3.80833,-18,B
3.81667,-18,B
3.825,-19,B
3.83333,-18,B
3.84167,-18,B
3.85,-18,B
3.85833,-18,B
3.86667,-18,B
3.875,-19,B
3.88333,-19,B
3.89167,-19,B
3.9,-19,B
3.90833,-20,B
3.91667,-20,B
3.925,-20,B
