URL	chrom://bioreactor/micro_cm7/HPLC_Ultimate_3000/Users/markusar/20240727_MA_EsirYCA.seq/370.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	micro_cm7
Sequence	20240727_MA_EsirYCA
Name	Es2_4
Number	9
Position	BA9
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Inject Time	29.07.2024 19:05:26 +02:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-1.047125
Signal Max.	58.235375
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	0.003000
0.016667	1	0.003000
0.033333	1	0.002750
0.050000	1	0.002875
0.066667	1	0.003625
0.083333	1	0.004625
0.100000	1	0.004625
0.116667	1	0.004875
0.133333	1	0.004875
0.150000	1	0.005375
0.166667	1	0.005750
0.183333	1	0.005625
0.200000	1	0.005375
0.216667	1	0.005500
0.233333	1	0.005250
0.250000	1	0.004750
0.266667	1	0.005625
0.283333	1	0.006000
0.300000	1	0.005125
0.316667	1	0.005000
0.333333	1	0.004625
0.350000	1	0.004750
0.366667	1	0.004250
0.383333	1	0.003500
0.400000	1	0.003000
0.416667	1	0.003625
0.433333	1	0.005375
0.450000	1	0.007250
0.466667	1	0.009750
0.483333	1	0.011750
0.500000	1	0.013500
0.516667	1	0.014875
0.533333	1	0.016625
0.550000	1	0.017500
0.566667	1	0.017375
0.583333	1	0.016875
0.600000	1	0.014875
0.616667	1	0.013250
0.633333	1	0.012625
0.650000	1	0.012750
0.666667	1	0.013500
0.683333	1	0.013875
0.700000	1	0.015000
0.716667	1	0.016000
0.733333	1	0.017000
0.750000	1	0.018375
0.766667	1	0.019625
0.783333	1	0.020500
0.800000	1	0.020625
0.816667	1	0.021250
0.833333	1	0.021375
0.850000	1	0.022250
0.866667	1	0.022750
0.883333	1	0.023000
0.900000	1	0.022750
0.916667	1	0.022625
0.933333	1	0.022750
0.950000	1	0.022000
0.966667	1	0.021500
0.983333	1	0.020625
1.000000	1	0.019500
1.016667	1	0.018875
1.033333	1	0.017500
1.050000	1	0.016375
1.066667	1	0.015000
1.083333	1	0.013875
1.100000	1	0.012875
1.116667	1	0.011625
1.133333	1	0.009750
1.150000	1	0.007750
1.166667	1	0.005375
1.183333	1	0.002750
1.200000	1	0.001000
1.216667	1	-0.001250
1.233333	1	-0.002875
1.250000	1	-0.004875
1.266667	1	-0.007750
1.283333	1	-0.010750
1.300000	1	-0.014000
1.316667	1	-0.017500
1.333333	1	-0.021125
1.350000	1	-0.024625
1.366667	1	-0.028125
1.383333	1	-0.031875
1.400000	1	-0.034750
1.416667	1	-0.038000
1.433333	1	-0.041250
1.450000	1	-0.044500
1.466667	1	-0.048125
1.483333	1	-0.051750
1.500000	1	-0.054125
1.516667	1	-0.056625
1.533333	1	-0.059125
1.550000	1	-0.061875
1.566667	1	-0.063750
1.583333	1	-0.065375
1.600000	1	-0.066875
1.616667	1	-0.068250
