URL	chrom://bioreactor/micro_cm7/HPLC_Ultimate_3000/Users/markusar/20240716_MA_pHrange2.seq/672.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	micro_cm7
Sequence	20240716_MA_pHrange2
Name	Pv1_40H_3
Number	16
Position	BB4
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Inject Time	17.07.2024 04:21:02 +02:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.217750
Signal Max.	105.720875
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	0.036125
0.016667	1	0.036250
0.033333	1	0.036750
0.050000	1	0.037125
0.066667	1	0.037750
0.083333	1	0.038125
0.100000	1	0.038625
0.116667	1	0.039250
0.133333	1	0.040375
0.150000	1	0.041125
0.166667	1	0.042500
0.183333	1	0.043250
0.200000	1	0.044500
0.216667	1	0.045375
0.233333	1	0.046500
0.250000	1	0.048750
0.266667	1	0.050625
0.283333	1	0.052250
0.300000	1	0.054250
0.316667	1	0.056250
0.333333	1	0.058625
0.350000	1	0.060500
0.366667	1	0.062250
0.383333	1	0.063875
0.400000	1	0.065000
0.416667	1	0.067000
0.433333	1	0.069375
0.450000	1	0.071875
0.466667	1	0.075250
0.483333	1	0.078375
0.500000	1	0.080625
0.516667	1	0.082000
0.533333	1	0.082500
0.550000	1	0.081750
0.566667	1	0.081750
0.583333	1	0.080125
0.600000	1	0.078125
0.616667	1	0.076500
0.633333	1	0.074375
0.650000	1	0.072625
0.666667	1	0.070750
0.683333	1	0.068750
0.700000	1	0.066375
0.716667	1	0.063625
0.733333	1	0.061250
0.750000	1	0.059000
0.766667	1	0.056250
0.783333	1	0.053000
0.800000	1	0.049875
0.816667	1	0.046750
0.833333	1	0.044000
0.850000	1	0.041000
0.866667	1	0.037500
0.883333	1	0.034000
0.900000	1	0.031125
0.916667	1	0.027875
0.933333	1	0.024375
0.950000	1	0.021750
0.966667	1	0.019375
0.983333	1	0.016375
1.000000	1	0.014000
1.016667	1	0.012250
1.033333	1	0.010375
1.050000	1	0.008625
1.066667	1	0.006500
1.083333	1	0.004375
1.100000	1	0.002875
1.116667	1	0.001250
1.133333	1	0.000500
1.150000	1	-0.000375
1.166667	1	-0.001375
1.183333	1	-0.002000
1.200000	1	-0.002500
1.216667	1	-0.003500
1.233333	1	-0.003750
1.250000	1	-0.004000
1.266667	1	-0.003875
1.283333	1	-0.004125
1.300000	1	-0.004000
1.316667	1	-0.003375
1.333333	1	-0.003500
1.350000	1	-0.002500
1.366667	1	-0.001625
1.383333	1	-0.001000
1.400000	1	-0.000375
1.416667	1	0.000250
1.433333	1	0.001125
1.450000	1	0.001375
1.466667	1	0.002125
1.483333	1	0.002875
1.500000	1	0.003500
1.516667	1	0.004750
1.533333	1	0.006125
1.550000	1	0.007375
1.566667	1	0.007750
1.583333	1	0.007875
1.600000	1	0.008750
1.616667	1	0.009625
1.633333	1	0.010875
1.650000	1	0.011625
1.666667	1	0.011875
1.683333	1	0.012500
1.700000	1	0.013500
1.716667	1	0.014000
1.733333	1	0.014625
1.750000	1	0.015000
1.766667	1	0.015125
1.783333	1	0.015750
1.800000	1	0.016500
1.816667	1	0.017625
1.833333	1	0.017750
1.850000	1	0.017625
1.866667	1	0.017875
1.883333	1	0.018250
1.900000	1	0.019375
1.916667	1	0.019375
1.933333	1	0.019750
1.950000	1	0.019500
1.966667	1	0.019625
1.983333	1	0.020125
2.000000	1	0.020625
2.016667	1	0.020625
2.033333	1	0.021000
2.050000	1	0.021375
2.066667	1	0.021125
2.083333	1	0.021375
2.100000	1	0.021750
2.116667	1	0.020750
2.133333	1	0.020125
2.150000	1	0.020000
2.166667	1	0.020000
2.183333	1	0.019750
2.200000	1	0.019500
2.216667	1	0.019375
2.233333	1	0.019000
2.250000	1	0.018875
2.266667	1	0.018750
2.283333	1	0.018500
2.300000	1	0.018625
2.316667	1	0.018375
2.333333	1	0.018375
2.350000	1	0.017625
2.366667	1	0.017500
2.383333	1	0.016875
2.400000	1	0.016375
2.416667	1	0.016000
2.433333	1	0.016000
2.450000	1	0.016375
2.466667	1	0.016250
2.483333	1	0.016875
2.500000	1	0.016625
2.516667	1	0.016750
2.533333	1	0.016000
2.550000	1	0.016375
2.566667	1	0.015875
2.583333	1	0.016375
2.600000	1	0.016875
2.616667	1	0.017125
2.633333	1	0.017375
2.650000	1	0.017875
2.666667	1	0.017750
2.683333	1	0.018250
2.700000	1	0.019250
2.716667	1	0.019500
2.733333	1	0.020375
2.750000	1	0.020750
2.766667	1	0.020750
2.783333	1	0.021000
2.800000	1	0.021625
2.816667	1	0.022000
2.833333	1	0.022250
2.850000	1	0.023125
2.866667	1	0.023500
2.883333	1	0.024000
2.900000	1	0.024125
2.916667	1	0.024375
2.933333	1	0.025250
2.950000	1	0.025625
2.966667	1	0.026000
2.983333	1	0.026750
3.000000	1	0.026875
3.016667	1	0.027375
3.033333	1	0.027625
3.050000	1	0.027625
3.066667	1	0.027625
3.083333	1	0.028125
3.100000	1	0.028375
3.116667	1	0.028125
3.133333	1	0.028250
3.150000	1	0.028750
3.166667	1	0.029375
3.183333	1	0.029500
3.200000	1	0.030500
3.216667	1	0.030625
3.233333	1	0.030750
3.250000	1	0.030750
3.266667	1	0.031500
3.283333	1	0.032375
3.300000	1	0.032875
3.316667	1	0.033750
3.333333	1	0.034125
3.350000	1	0.034625
3.366667	1	0.035250
3.383333	1	0.035500
3.400000	1	0.037000
3.416667	1	0.038625
3.433333	1	0.040000
3.450000	1	0.041375
3.466667	1	0.043125
3.483333	1	0.044750
3.500000	1	0.045375
3.516667	1	0.046750
3.533333	1	0.048750
3.550000	1	0.049875
3.566667	1	0.051500
3.583333	1	0.054125
3.600000	1	0.056125
3.616667	1	0.058250
3.633333	1	0.060375
3.650000	1	0.062625
3.666667	1	0.065250
3.683333	1	0.067625
3.700000	1	0.069875
3.716667	1	0.071875
3.733333	1	0.075250
3.750000	1	0.077375
3.766667	1	0.080375
3.783333	1	0.082875
3.800000	1	0.085625
3.816667	1	0.088625
3.833333	1	0.091125
3.850000	1	0.093875
3.866667	1	0.096250
3.883333	1	0.098375
3.900000	1	0.100500
3.916667	1	0.102625
3.933333	1	0.104750
3.950000	1	0.106500
3.966667	1	0.108500
3.983333	1	0.109750
4.000000	1	0.110750
4.016667	1	0.112125
4.033333	1	0.113375
4.050000	1	0.113625
4.066667	1	0.114625
4.083333	1	0.116375
4.100000	1	0.117000
4.116667	1	0.117250
4.133333	1	0.117375
4.150000	1	0.117625
4.166667	1	0.118125
4.183333	1	0.118500
4.200000	1	0.118375
4.216667	1	0.118875
4.233333	1	0.119250
4.250000	1	0.119125
4.266667	1	0.119500
4.283333	1	0.119250
4.300000	1	0.119125
4.316667	1	0.119125
4.333333	1	0.119500
4.350000	1	0.119250
4.366667	1	0.119625
4.383333	1	0.119375
4.400000	1	0.120000
4.416667	1	0.120625
4.433333	1	0.120875
4.450000	1	0.121125
4.466667	1	0.121750
4.483333	1	0.122625
4.500000	1	0.123125
4.516667	1	0.124125
4.533333	1	0.125125
4.550000	1	0.125750
4.566667	1	0.127000
4.583333	1	0.127250
4.600000	1	0.128750
4.616667	1	0.129750
4.633333	1	0.130875
4.650000	1	0.132500
4.666667	1	0.133125
4.683333	1	0.134125
4.700000	1	0.135750
4.716667	1	0.137125
4.733333	1	0.138875
4.750000	1	0.140625
4.766667	1	0.142750
4.783333	1	0.144750
4.800000	1	0.147000
4.816667	1	0.149000
4.833333	1	0.151625
4.850000	1	0.153875
4.866667	1	0.156625
4.883333	1	0.159750
4.900000	1	0.163125
4.916667	1	0.166125
4.933333	1	0.169500
4.950000	1	0.173375
4.966667	1	0.176875
4.983333	1	0.180750
5.000000	1	0.184250
5.016667	1	0.188375
5.033333	1	0.192750
5.050000	1	0.196375
5.066667	1	0.200250
5.083333	1	0.204625
5.100000	1	0.208500
5.116667	1	0.212625
5.133333	1	0.216375
5.150000	1	0.220625
5.166667	1	0.225500
5.183333	1	0.229625
5.200000	1	0.232750
5.216667	1	0.236625
5.233333	1	0.240625
5.250000	1	0.243875
5.266667	1	0.246125
5.283333	1	0.249250
5.300000	1	0.252500
5.316667	1	0.254750
5.333333	1	0.256875
5.350000	1	0.258125
5.366667	1	0.259750
5.383333	1	0.261125
5.400000	1	0.262375
5.416667	1	0.262500
5.433333	1	0.261625
5.450000	1	0.260625
5.466667	1	0.259000
5.483333	1	0.257125
5.500000	1	0.255375
5.516667	1	0.253375
5.533333	1	0.250625
5.550000	1	0.247500
5.566667	1	0.243500
5.583333	1	0.239625
5.600000	1	0.236125
5.616667	1	0.232250
5.633333	1	0.227875
5.650000	1	0.223000
5.666667	1	0.218125
5.683333	1	0.212625
5.700000	1	0.206875
5.716667	1	0.201500
5.733333	1	0.196250
5.750000	1	0.190875
5.766667	1	0.185500
5.783333	1	0.179125
5.800000	1	0.173000
5.816667	1	0.166875
5.833333	1	0.162250
5.850000	1	0.156500
5.866667	1	0.151500
5.883333	1	0.146250
5.900000	1	0.140250
5.916667	1	0.135125
5.933333	1	0.130125
5.950000	1	0.125375
5.966667	1	0.121250
5.983333	1	0.117375
6.000000	1	0.113250
6.016667	1	0.109500
6.033333	1	0.106125
6.050000	1	0.102500
6.066667	1	0.099000
6.083333	1	0.096750
6.100000	1	0.094500
6.116667	1	0.091875
6.133333	1	0.089125
6.150000	1	0.086750
6.166667	1	0.084375
6.183333	1	0.083000
6.200000	1	0.082000
6.216667	1	0.081000
6.233333	1	0.079500
6.250000	1	0.078125
6.266667	1	0.077500
6.283333	1	0.076750
6.300000	1	0.076250
6.316667	1	0.075500
6.333333	1	0.076000
6.350000	1	0.076250
6.366667	1	0.076750
6.383333	1	0.076625
6.400000	1	0.077125
6.416667	1	0.077250
6.433333	1	0.078500
6.450000	1	0.078500
6.466667	1	0.078625
6.483333	1	0.079625
6.500000	1	0.080000
6.516667	1	0.080250
6.533333	1	0.080750
6.550000	1	0.082000
6.566667	1	0.083000
6.583333	1	0.084000
6.600000	1	0.085000
6.616667	1	0.085875
6.633333	1	0.086500
6.650000	1	0.087625
6.666667	1	0.088875
6.683333	1	0.090250
6.700000	1	0.091750
6.716667	1	0.092375
6.733333	1	0.093750
6.750000	1	0.094750
6.766667	1	0.095875
6.783333	1	0.097625
6.800000	1	0.099125
6.816667	1	0.100625
6.833333	1	0.101750
6.850000	1	0.104125
6.866667	1	0.106125
6.883333	1	0.108125
6.900000	1	0.110000
6.916667	1	0.112000
6.933333	1	0.114250
6.950000	1	0.115750
6.966667	1	0.117250
6.983333	1	0.119500
7.000000	1	0.122500
7.016667	1	0.124375
7.033333	1	0.126375
7.050000	1	0.128625
7.066667	1	0.130375
7.083333	1	0.132125
7.100000	1	0.134125
7.116667	1	0.136500
7.133333	1	0.138750
7.150000	1	0.140375
7.166667	1	0.141750
7.183333	1	0.143500
7.200000	1	0.145375
7.216667	1	0.146250
7.233333	1	0.147000
7.250000	1	0.148250
7.266667	1	0.148500
7.283333	1	0.149125
7.300000	1	0.149000
7.316667	1	0.149000
7.333333	1	0.148625
7.350000	1	0.148125
7.366667	1	0.147875
7.383333	1	0.146750
7.400000	1	0.146375
7.416667	1	0.145875
7.433333	1	0.144000
7.450000	1	0.141875
7.466667	1	0.139250
7.483333	1	0.137625
7.500000	1	0.135625
7.516667	1	0.133500
7.533333	1	0.131500
7.550000	1	0.129125
7.566667	1	0.127500
7.583333	1	0.125000
7.600000	1	0.122000
7.616667	1	0.119375
7.633333	1	0.116000
7.650000	1	0.112875
7.666667	1	0.109750
7.683333	1	0.106125
7.700000	1	0.103125
7.716667	1	0.099750
7.733333	1	0.097000
7.750000	1	0.093500
7.766667	1	0.090000
7.783333	1	0.086750
7.800000	1	0.083625
7.816667	1	0.080375
