URL	chrom://bioreactor/micro_cm7/HPLC_Ultimate_3000/Users/markusar/20240517_CMO_FP23_FP25_MarkusDeplate.seq/214.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	micro_cm7
Sequence	20240517_CMO_FP23_FP25_MarkusDeplate
Name	FP28_22.1_s5
Number	140
Position	BA6
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Inject Time	31.05.2024 18:43:36 +02:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-1.159250
Signal Max.	49.107375
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	0.050750
0.016667	1	0.052500
0.033333	1	0.053250
0.050000	1	0.054125
0.066667	1	0.054625
0.083333	1	0.055500
0.100000	1	0.056000
0.116667	1	0.056250
0.133333	1	0.056375
0.150000	1	0.056375
0.166667	1	0.055375
0.183333	1	0.054500
0.200000	1	0.054375
0.216667	1	0.052625
0.233333	1	0.052125
0.250000	1	0.051000
0.266667	1	0.050000
0.283333	1	0.048125
0.300000	1	0.047625
0.316667	1	0.047000
0.333333	1	0.045875
0.350000	1	0.044875
0.366667	1	0.043375
0.383333	1	0.041750
0.400000	1	0.039875
0.416667	1	0.038250
0.433333	1	0.036625
0.450000	1	0.035750
0.466667	1	0.034500
0.483333	1	0.033750
0.500000	1	0.032375
0.516667	1	0.031250
0.533333	1	0.029875
0.550000	1	0.028375
0.566667	1	0.026375
0.583333	1	0.024625
0.600000	1	0.023375
0.616667	1	0.022250
0.633333	1	0.020750
0.650000	1	0.018750
0.666667	1	0.017000
0.683333	1	0.016000
0.700000	1	0.015125
0.716667	1	0.013875
0.733333	1	0.012375
0.750000	1	0.012125
0.766667	1	0.011000
0.783333	1	0.010375
0.800000	1	0.009750
0.816667	1	0.009625
0.833333	1	0.009375
0.850000	1	0.008625
0.866667	1	0.008500
0.883333	1	0.008000
0.900000	1	0.008000
0.916667	1	0.007750
0.933333	1	0.007750
0.950000	1	0.008250
0.966667	1	0.008375
0.983333	1	0.008125
1.000000	1	0.007875
1.016667	1	0.007375
1.033333	1	0.007625
1.050000	1	0.007750
1.066667	1	0.008000
1.083333	1	0.007375
1.100000	1	0.007625
1.116667	1	0.007750
1.133333	1	0.007625
1.150000	1	0.007500
1.166667	1	0.007625
1.183333	1	0.007250
1.200000	1	0.006250
1.216667	1	0.005625
1.233333	1	0.005250
1.250000	1	0.005875
1.266667	1	0.004875
1.283333	1	0.005500
1.300000	1	0.005000
1.316667	1	0.004625
1.333333	1	0.003875
1.350000	1	0.004250
1.366667	1	0.004375
1.383333	1	0.004000
1.400000	1	0.003375
1.416667	1	0.003375
1.433333	1	0.003375
1.450000	1	0.003625
1.466667	1	0.004125
1.483333	1	0.004000
1.500000	1	0.004375
1.516667	1	0.004375
1.533333	1	0.004500
1.550000	1	0.003875
1.566667	1	0.004125
1.583333	1	0.003625
1.600000	1	0.003875
1.616667	1	0.002750
1.633333	1	0.003125
1.650000	1	0.003000
1.666667	1	0.002500
1.683333	1	0.001375
1.700000	1	0.000375
1.716667	1	0.000250
1.733333	1	-0.001000
1.750000	1	-0.002125
1.766667	1	-0.003250
1.783333	1	-0.005000
1.800000	1	-0.006250
1.816667	1	-0.007250
1.833333	1	-0.008500
1.850000	1	-0.009250
1.866667	1	-0.010000
1.883333	1	-0.011625
1.900000	1	-0.013375
1.916667	1	-0.015000
1.933333	1	-0.016125
1.950000	1	-0.017125
1.966667	1	-0.018250
1.983333	1	-0.019000
2.000000	1	-0.019875
2.016667	1	-0.020500
2.033333	1	-0.021375
2.050000	1	-0.022125
2.066667	1	-0.022625
2.083333	1	-0.022375
2.100000	1	-0.022750
2.116667	1	-0.022625
2.133333	1	-0.023000
2.150000	1	-0.022875
2.166667	1	-0.022250
2.183333	1	-0.021625
2.200000	1	-0.021000
2.216667	1	-0.019875
2.233333	1	-0.018625
2.250000	1	-0.017750
2.266667	1	-0.016250
2.283333	1	-0.015250
2.300000	1	-0.013500
2.316667	1	-0.010875
2.333333	1	-0.008375
2.350000	1	-0.006750
2.366667	1	-0.005125
2.383333	1	-0.003250
2.400000	1	-0.001250
2.416667	1	0.000375
2.433333	1	0.003125
2.450000	1	0.005500
2.466667	1	0.009000
2.483333	1	0.011375
2.500000	1	0.013250
2.516667	1	0.016625
2.533333	1	0.019375
2.550000	1	0.022000
2.566667	1	0.024500
2.583333	1	0.027875
2.600000	1	0.030500
2.616667	1	0.033750
2.633333	1	0.036375
2.650000	1	0.039875
2.666667	1	0.042625
2.683333	1	0.046000
2.700000	1	0.049000
2.716667	1	0.052375
2.733333	1	0.055250
2.750000	1	0.057750
2.766667	1	0.060250
2.783333	1	0.062250
2.800000	1	0.064750
2.816667	1	0.066875
2.833333	1	0.068500
2.850000	1	0.070250
2.866667	1	0.071875
2.883333	1	0.072125
2.900000	1	0.072875
2.916667	1	0.073000
2.933333	1	0.073250
2.950000	1	0.072875
2.966667	1	0.072750
2.983333	1	0.071750
3.000000	1	0.071000
3.016667	1	0.069750
3.033333	1	0.068625
3.050000	1	0.067500
3.066667	1	0.066250
3.083333	1	0.064375
3.100000	1	0.063125
3.116667	1	0.061250
3.133333	1	0.059250
3.150000	1	0.057500
3.166667	1	0.056250
3.183333	1	0.054625
3.200000	1	0.053000
3.216667	1	0.050875
3.233333	1	0.049375
3.250000	1	0.048625
3.266667	1	0.047625
3.283333	1	0.046625
3.300000	1	0.045125
3.316667	1	0.044250
3.333333	1	0.044125
3.350000	1	0.044500
3.366667	1	0.043875
3.383333	1	0.044125
3.400000	1	0.044000
3.416667	1	0.044375
3.433333	1	0.044875
3.450000	1	0.044750
3.466667	1	0.045250
3.483333	1	0.045000
3.500000	1	0.046000
3.516667	1	0.046375
3.533333	1	0.046875
3.550000	1	0.048000
3.566667	1	0.049500
3.583333	1	0.050500
3.600000	1	0.051250
3.616667	1	0.052375
3.633333	1	0.053375
3.650000	1	0.054875
3.666667	1	0.057000
3.683333	1	0.058000
3.700000	1	0.059625
3.716667	1	0.061500
3.733333	1	0.062750
3.750000	1	0.064875
3.766667	1	0.066750
3.783333	1	0.069000
3.800000	1	0.070750
3.816667	1	0.073375
3.833333	1	0.075625
3.850000	1	0.077375
3.866667	1	0.079500
3.883333	1	0.082375
3.900000	1	0.085125
3.916667	1	0.087000
3.933333	1	0.089125
3.950000	1	0.090625
3.966667	1	0.092000
3.983333	1	0.094250
4.000000	1	0.096250
4.016667	1	0.097750
4.033333	1	0.099500
4.050000	1	0.100875
4.066667	1	0.102250
4.083333	1	0.103250
4.100000	1	0.103750
4.116667	1	0.104500
4.133333	1	0.105375
4.150000	1	0.105750
4.166667	1	0.106125
4.183333	1	0.106250
4.200000	1	0.105875
4.216667	1	0.106250
4.233333	1	0.106250
4.250000	1	0.106250
4.266667	1	0.106375
4.283333	1	0.106000
4.300000	1	0.105750
4.316667	1	0.105625
4.333333	1	0.105000
4.350000	1	0.105250
4.366667	1	0.105125
4.383333	1	0.105625
4.400000	1	0.105750
4.416667	1	0.106500
4.433333	1	0.106875
4.450000	1	0.107875
4.466667	1	0.108500
4.483333	1	0.108875
4.500000	1	0.109750
4.516667	1	0.110625
4.533333	1	0.111625
4.550000	1	0.113500
4.566667	1	0.114750
4.583333	1	0.117125
4.600000	1	0.118500
4.616667	1	0.120500
4.633333	1	0.123000
4.650000	1	0.124750
4.666667	1	0.126500
4.683333	1	0.128250
4.700000	1	0.130000
4.716667	1	0.132125
4.733333	1	0.133625
4.750000	1	0.136250
4.766667	1	0.138750
4.783333	1	0.141250
4.800000	1	0.142875
4.816667	1	0.145625
4.833333	1	0.147750
4.850000	1	0.149625
4.866667	1	0.152000
4.883333	1	0.155000
4.900000	1	0.157000
4.916667	1	0.159625
4.933333	1	0.162375
4.950000	1	0.164875
4.966667	1	0.167875
4.983333	1	0.171250
5.000000	1	0.173500
5.016667	1	0.176000
5.033333	1	0.179000
5.050000	1	0.182000
5.066667	1	0.184875
5.083333	1	0.187375
5.100000	1	0.190500
5.116667	1	0.192250
5.133333	1	0.194750
5.150000	1	0.196625
5.166667	1	0.199625
5.183333	1	0.202250
5.200000	1	0.204875
5.216667	1	0.207750
5.233333	1	0.210250
5.250000	1	0.212375
5.266667	1	0.214625
5.283333	1	0.215625
5.300000	1	0.218125
5.316667	1	0.219750
5.333333	1	0.221500
5.350000	1	0.223750
5.366667	1	0.226000
5.383333	1	0.227875
5.400000	1	0.230000
5.416667	1	0.231625
5.433333	1	0.233875
5.450000	1	0.235625
