URL	chrom://bioreactor/micro_cm7/HPLC_Ultimate_3000/Users/markusar/20240708_MA_pHrange1.seq/284.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	micro_cm7
Sequence	20240708_MA_pHrange1
Name	Fp1_5.7_1
Number	59
Position	BF1
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Inject Time	10.07.2024 07:10:54 +02:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.101500
Signal Max.	85.086125
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	-0.039250
0.016667	1	-0.039500
0.033333	1	-0.039250
0.050000	1	-0.039500
0.066667	1	-0.038250
0.083333	1	-0.037875
0.100000	1	-0.036750
0.116667	1	-0.036500
0.133333	1	-0.036125
0.150000	1	-0.035000
0.166667	1	-0.033375
0.183333	1	-0.032125
0.200000	1	-0.030625
0.216667	1	-0.030375
0.233333	1	-0.029250
0.250000	1	-0.028500
0.266667	1	-0.026625
0.283333	1	-0.026125
0.300000	1	-0.025000
0.316667	1	-0.023750
0.333333	1	-0.022500
0.350000	1	-0.022000
0.366667	1	-0.021500
0.383333	1	-0.021250
0.400000	1	-0.021250
0.416667	1	-0.020750
0.433333	1	-0.019125
0.450000	1	-0.017375
0.466667	1	-0.015125
0.483333	1	-0.013000
0.500000	1	-0.011875
0.516667	1	-0.010625
0.533333	1	-0.009875
0.550000	1	-0.009375
0.566667	1	-0.010500
0.583333	1	-0.011500
0.600000	1	-0.013375
0.616667	1	-0.015875
0.633333	1	-0.018250
0.650000	1	-0.019625
0.666667	1	-0.021125
0.683333	1	-0.022250
0.700000	1	-0.023250
0.716667	1	-0.023500
0.733333	1	-0.024000
0.750000	1	-0.024625
0.766667	1	-0.025375
0.783333	1	-0.026375
0.800000	1	-0.026750
0.816667	1	-0.027750
0.833333	1	-0.028000
0.850000	1	-0.028375
0.866667	1	-0.028875
0.883333	1	-0.029750
0.900000	1	-0.030750
0.916667	1	-0.032125
0.933333	1	-0.033375
0.950000	1	-0.033375
0.966667	1	-0.034250
0.983333	1	-0.034750
1.000000	1	-0.035500
1.016667	1	-0.036375
1.033333	1	-0.036875
1.050000	1	-0.037750
1.066667	1	-0.038375
1.083333	1	-0.038250
1.100000	1	-0.039125
1.116667	1	-0.040250
1.133333	1	-0.040625
1.150000	1	-0.041125
1.166667	1	-0.041125
1.183333	1	-0.041500
1.200000	1	-0.041750
1.216667	1	-0.041000
1.233333	1	-0.041250
1.250000	1	-0.040375
1.266667	1	-0.040250
1.283333	1	-0.040500
1.300000	1	-0.039750
1.316667	1	-0.039125
1.333333	1	-0.038250
1.350000	1	-0.037625
1.366667	1	-0.036375
1.383333	1	-0.034875
1.400000	1	-0.032875
1.416667	1	-0.032250
1.433333	1	-0.030500
1.450000	1	-0.028875
1.466667	1	-0.027250
1.483333	1	-0.026250
1.500000	1	-0.025125
1.516667	1	-0.023375
1.533333	1	-0.022625
1.550000	1	-0.021750
1.566667	1	-0.020500
1.583333	1	-0.018875
1.600000	1	-0.017625
1.616667	1	-0.016500
1.633333	1	-0.015375
1.650000	1	-0.015000
1.666667	1	-0.014250
1.683333	1	-0.013125
1.700000	1	-0.012250
1.716667	1	-0.011875
1.733333	1	-0.011250
1.750000	1	-0.010250
1.766667	1	-0.009750
1.783333	1	-0.009625
1.800000	1	-0.009250
1.816667	1	-0.008750
1.833333	1	-0.008500
1.850000	1	-0.008250
1.866667	1	-0.008625
1.883333	1	-0.008500
1.900000	1	-0.008625
1.916667	1	-0.008750
1.933333	1	-0.009125
1.950000	1	-0.008750
1.966667	1	-0.008750
1.983333	1	-0.008875
2.000000	1	-0.008500
2.016667	1	-0.008750
2.033333	1	-0.009750
2.050000	1	-0.010125
2.066667	1	-0.010125
2.083333	1	-0.010625
2.100000	1	-0.011250
2.116667	1	-0.011750
2.133333	1	-0.012500
2.150000	1	-0.012875
2.166667	1	-0.013375
2.183333	1	-0.014750
2.200000	1	-0.015750
2.216667	1	-0.016375
2.233333	1	-0.016375
2.250000	1	-0.017375
2.266667	1	-0.018125
2.283333	1	-0.019250
2.300000	1	-0.020250
2.316667	1	-0.021125
2.333333	1	-0.021875
2.350000	1	-0.023375
2.366667	1	-0.024875
2.383333	1	-0.025875
2.400000	1	-0.026750
2.416667	1	-0.027750
2.433333	1	-0.029250
2.450000	1	-0.029500
2.466667	1	-0.029875
2.483333	1	-0.030375
2.500000	1	-0.031250
2.516667	1	-0.032125
2.533333	1	-0.033125
2.550000	1	-0.033750
2.566667	1	-0.033875
2.583333	1	-0.035250
2.600000	1	-0.035750
2.616667	1	-0.036125
2.633333	1	-0.036375
2.650000	1	-0.036625
2.666667	1	-0.037000
2.683333	1	-0.037875
2.700000	1	-0.037625
2.716667	1	-0.038125
2.733333	1	-0.039000
2.750000	1	-0.038750
2.766667	1	-0.038625
2.783333	1	-0.038625
2.800000	1	-0.038500
2.816667	1	-0.037500
2.833333	1	-0.037125
2.850000	1	-0.037125
2.866667	1	-0.036875
2.883333	1	-0.036250
2.900000	1	-0.035375
2.916667	1	-0.035000
2.933333	1	-0.034500
2.950000	1	-0.034000
2.966667	1	-0.033625
2.983333	1	-0.032750
3.000000	1	-0.031625
3.016667	1	-0.030625
3.033333	1	-0.029375
3.050000	1	-0.028750
3.066667	1	-0.027000
3.083333	1	-0.025375
3.100000	1	-0.023875
3.116667	1	-0.022375
3.133333	1	-0.020625
3.150000	1	-0.019000
3.166667	1	-0.017375
3.183333	1	-0.015000
3.200000	1	-0.012375
3.216667	1	-0.010250
3.233333	1	-0.008375
3.250000	1	-0.006625
3.266667	1	-0.003875
3.283333	1	-0.001500
3.300000	1	0.000500
3.316667	1	0.002250
3.333333	1	0.004375
3.350000	1	0.006500
3.366667	1	0.008625
3.383333	1	0.010750
3.400000	1	0.012125
3.416667	1	0.014250
3.433333	1	0.016250
3.450000	1	0.018250
3.466667	1	0.020000
3.483333	1	0.021250
3.500000	1	0.022500
3.516667	1	0.023375
3.533333	1	0.024875
3.550000	1	0.024750
3.566667	1	0.025125
3.583333	1	0.026000
3.600000	1	0.026500
3.616667	1	0.027000
3.633333	1	0.027375
3.650000	1	0.027250
3.666667	1	0.027250
3.683333	1	0.026875
3.700000	1	0.026625
