URL	chrom://bioreactor/micro_cm7/HPLC_Ultimate_3000/Users/markusar/20240708_MA_pHrange1.seq/429.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	micro_cm7
Sequence	20240708_MA_pHrange1
Name	Pv1_20H_3
Number	34
Position	BC10
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Inject Time	09.07.2024 14:06:35 +02:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.093375
Signal Max.	84.149250
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	0.044750
0.016667	1	0.043875
0.033333	1	0.042875
0.050000	1	0.042500
0.066667	1	0.041875
0.083333	1	0.041125
0.100000	1	0.039750
0.116667	1	0.038250
0.133333	1	0.037000
0.150000	1	0.036000
0.166667	1	0.034875
0.183333	1	0.034375
0.200000	1	0.033875
0.216667	1	0.033250
0.233333	1	0.032000
0.250000	1	0.032000
0.266667	1	0.030750
0.283333	1	0.029750
0.300000	1	0.029125
0.316667	1	0.028500
0.333333	1	0.027750
0.350000	1	0.026875
0.366667	1	0.025125
0.383333	1	0.023750
0.400000	1	0.022250
0.416667	1	0.021750
0.433333	1	0.022500
0.450000	1	0.023375
0.466667	1	0.024375
0.483333	1	0.024125
0.500000	1	0.024125
0.516667	1	0.024500
0.533333	1	0.023750
0.550000	1	0.022750
0.566667	1	0.020625
0.583333	1	0.018000
0.600000	1	0.015250
0.616667	1	0.013000
0.633333	1	0.011000
0.650000	1	0.009000
0.666667	1	0.007750
0.683333	1	0.006875
0.700000	1	0.006250
0.716667	1	0.005375
0.733333	1	0.005000
0.750000	1	0.004000
0.766667	1	0.003250
0.783333	1	0.002625
0.800000	1	0.001625
0.816667	1	0.001125
0.833333	1	0.000500
0.850000	1	0.000000
0.866667	1	0.000000
0.883333	1	0.000375
0.900000	1	0.000750
0.916667	1	0.000375
0.933333	1	0.000750
0.950000	1	0.000500
0.966667	1	0.000875
0.983333	1	0.002125
1.000000	1	0.003500
1.016667	1	0.004500
1.033333	1	0.006125
1.050000	1	0.007875
1.066667	1	0.009500
1.083333	1	0.011250
1.100000	1	0.012375
1.116667	1	0.014125
1.133333	1	0.016000
1.150000	1	0.017000
1.166667	1	0.018875
1.183333	1	0.020125
1.200000	1	0.021125
1.216667	1	0.022625
1.233333	1	0.025125
1.250000	1	0.026875
1.266667	1	0.028625
1.283333	1	0.029750
1.300000	1	0.030750
1.316667	1	0.031250
1.333333	1	0.032000
1.350000	1	0.032750
1.366667	1	0.033750
1.383333	1	0.033875
1.400000	1	0.034500
1.416667	1	0.034250
1.433333	1	0.035000
1.450000	1	0.035625
1.466667	1	0.034750
1.483333	1	0.034875
1.500000	1	0.034625
1.516667	1	0.034875
1.533333	1	0.034500
1.550000	1	0.034750
1.566667	1	0.034375
1.583333	1	0.034500
1.600000	1	0.035000
1.616667	1	0.034500
1.633333	1	0.033750
1.650000	1	0.033250
1.666667	1	0.032750
1.683333	1	0.032250
1.700000	1	0.031625
1.716667	1	0.030875
1.733333	1	0.029625
1.750000	1	0.029250
1.766667	1	0.028500
1.783333	1	0.028000
1.800000	1	0.027625
1.816667	1	0.026875
1.833333	1	0.026625
1.850000	1	0.026000
1.866667	1	0.024750
1.883333	1	0.024375
1.900000	1	0.023625
1.916667	1	0.023500
1.933333	1	0.022625
1.950000	1	0.021875
1.966667	1	0.021625
1.983333	1	0.021500
2.000000	1	0.021375
2.016667	1	0.021125
2.033333	1	0.020750
2.050000	1	0.020500
2.066667	1	0.020375
2.083333	1	0.020500
2.100000	1	0.020125
2.116667	1	0.020000
2.133333	1	0.020125
2.150000	1	0.020375
2.166667	1	0.020125
2.183333	1	0.020125
2.200000	1	0.019625
2.216667	1	0.019750
2.233333	1	0.020250
2.250000	1	0.020750
2.266667	1	0.021125
2.283333	1	0.021750
2.300000	1	0.022250
2.316667	1	0.022625
2.333333	1	0.023000
2.350000	1	0.023625
2.366667	1	0.024250
2.383333	1	0.025000
2.400000	1	0.025875
2.416667	1	0.026625
2.433333	1	0.027500
2.450000	1	0.028125
2.466667	1	0.028875
2.483333	1	0.030250
2.500000	1	0.031375
2.516667	1	0.032750
2.533333	1	0.033250
2.550000	1	0.034125
2.566667	1	0.035500
2.583333	1	0.036625
2.600000	1	0.036875
2.616667	1	0.037750
2.633333	1	0.039000
2.650000	1	0.039750
2.666667	1	0.041250
2.683333	1	0.041875
2.700000	1	0.042875
2.716667	1	0.043750
2.733333	1	0.045000
2.750000	1	0.045375
2.766667	1	0.046375
2.783333	1	0.047375
2.800000	1	0.047750
2.816667	1	0.047875
2.833333	1	0.048500
2.850000	1	0.048750
2.866667	1	0.049000
2.883333	1	0.049500
2.900000	1	0.050125
2.916667	1	0.050250
2.933333	1	0.050000
2.950000	1	0.049875
2.966667	1	0.050000
2.983333	1	0.050000
3.000000	1	0.049500
3.016667	1	0.049625
3.033333	1	0.049500
3.050000	1	0.050000
3.066667	1	0.049625
3.083333	1	0.048875
3.100000	1	0.048750
3.116667	1	0.047875
3.133333	1	0.047250
3.150000	1	0.047000
3.166667	1	0.046750
3.183333	1	0.046625
3.200000	1	0.046125
3.216667	1	0.045750
3.233333	1	0.045875
3.250000	1	0.045375
3.266667	1	0.045125
3.283333	1	0.044875
3.300000	1	0.044750
3.316667	1	0.044750
3.333333	1	0.044875
3.350000	1	0.045000
3.366667	1	0.045125
3.383333	1	0.045250
3.400000	1	0.044875
3.416667	1	0.044750
3.433333	1	0.045375
3.450000	1	0.044750
3.466667	1	0.044500
3.483333	1	0.044125
3.500000	1	0.044625
3.516667	1	0.044625
3.533333	1	0.044625
3.550000	1	0.044500
3.566667	1	0.045250
3.583333	1	0.044750
3.600000	1	0.044375
3.616667	1	0.044750
3.633333	1	0.045125
3.650000	1	0.045625
3.666667	1	0.045750
3.683333	1	0.046000
3.700000	1	0.046375
3.716667	1	0.047125
3.733333	1	0.047125
3.750000	1	0.047875
3.766667	1	0.048375
3.783333	1	0.049750
3.800000	1	0.050875
3.816667	1	0.051375
3.833333	1	0.052250
3.850000	1	0.053250
3.866667	1	0.055500
3.883333	1	0.056500
3.900000	1	0.057750
3.916667	1	0.058625
3.933333	1	0.059625
3.950000	1	0.062125
3.966667	1	0.064250
3.983333	1	0.066000
4.000000	1	0.067625
4.016667	1	0.070250
4.033333	1	0.072125
4.050000	1	0.073250
4.066667	1	0.075250
4.083333	1	0.077125
4.100000	1	0.079875
4.116667	1	0.081875
4.133333	1	0.083500
4.150000	1	0.084875
4.166667	1	0.087500
4.183333	1	0.089125
4.200000	1	0.091250
4.216667	1	0.094000
4.233333	1	0.096000
4.250000	1	0.098125
4.266667	1	0.100250
4.283333	1	0.102000
4.300000	1	0.104000
4.316667	1	0.105500
4.333333	1	0.107750
4.350000	1	0.109500
4.366667	1	0.111375
4.383333	1	0.113625
4.400000	1	0.115875
4.416667	1	0.118500
4.433333	1	0.120250
4.450000	1	0.122375
4.466667	1	0.124000
4.483333	1	0.126125
4.500000	1	0.127750
4.516667	1	0.129250
4.533333	1	0.129250
4.550000	1	0.131375
4.566667	1	0.134000
4.583333	1	0.136500
4.600000	1	0.138750
4.616667	1	0.140625
4.633333	1	0.143000
4.650000	1	0.144625
4.666667	1	0.147500
4.683333	1	0.149625
4.700000	1	0.151375
4.716667	1	0.154000
4.733333	1	0.156875
4.750000	1	0.158875
4.766667	1	0.162125
4.783333	1	0.164875
4.800000	1	0.167500
4.816667	1	0.170500
4.833333	1	0.173625
4.850000	1	0.177250
4.866667	1	0.181750
4.883333	1	0.184375
4.900000	1	0.188625
4.916667	1	0.193125
4.933333	1	0.196625
4.950000	1	0.200125
4.966667	1	0.204250
4.983333	1	0.208250
5.000000	1	0.212500
5.016667	1	0.216625
5.033333	1	0.220125
5.050000	1	0.224125
5.066667	1	0.228000
5.083333	1	0.232125
5.100000	1	0.235750
5.116667	1	0.239500
5.133333	1	0.243375
5.150000	1	0.247250
5.166667	1	0.251250
5.183333	1	0.255125
5.200000	1	0.258750
5.216667	1	0.261875
5.233333	1	0.265125
5.250000	1	0.268250
5.266667	1	0.270875
5.283333	1	0.274125
5.300000	1	0.276875
5.316667	1	0.280125
5.333333	1	0.283375
5.350000	1	0.286125
5.366667	1	0.288625
5.383333	1	0.291500
5.400000	1	0.294375
5.416667	1	0.296250
5.433333	1	0.298125
5.450000	1	0.300000
5.466667	1	0.301500
5.483333	1	0.303375
5.500000	1	0.304125
5.516667	1	0.304625
5.533333	1	0.305000
5.550000	1	0.305625
5.566667	1	0.307250
5.583333	1	0.307625
5.600000	1	0.307750
5.616667	1	0.307375
5.633333	1	0.306750
5.650000	1	0.305375
5.666667	1	0.304500
5.683333	1	0.303500
5.700000	1	0.302000
5.716667	1	0.300375
5.733333	1	0.298125
5.750000	1	0.295625
5.766667	1	0.293500
5.783333	1	0.290875
5.800000	1	0.288500
5.816667	1	0.285375
5.833333	1	0.282875
5.850000	1	0.279625
5.866667	1	0.276000
5.883333	1	0.272500
5.900000	1	0.269000
5.916667	1	0.264750
5.933333	1	0.260500
5.950000	1	0.256000
5.966667	1	0.252125
5.983333	1	0.248250
6.000000	1	0.244125
6.016667	1	0.239125
6.033333	1	0.235000
6.050000	1	0.230875
6.066667	1	0.225875
6.083333	1	0.221250
6.100000	1	0.216750
6.116667	1	0.212250
6.133333	1	0.207000
6.150000	1	0.202000
6.166667	1	0.197625
6.183333	1	0.193750
6.200000	1	0.189250
6.216667	1	0.185125
6.233333	1	0.180250
6.250000	1	0.176000
6.266667	1	0.172625
6.283333	1	0.168500
6.300000	1	0.164875
6.316667	1	0.161625
6.333333	1	0.158000
6.350000	1	0.155125
6.366667	1	0.152875
6.383333	1	0.149875
6.400000	1	0.147750
6.416667	1	0.145125
6.433333	1	0.143375
6.450000	1	0.141125
6.466667	1	0.139500
6.483333	1	0.138000
6.500000	1	0.136250
6.516667	1	0.134500
6.533333	1	0.132750
6.550000	1	0.131000
6.566667	1	0.130375
6.583333	1	0.128750
6.600000	1	0.127500
6.616667	1	0.126875
6.633333	1	0.125500
6.650000	1	0.123750
6.666667	1	0.122375
6.683333	1	0.121250
6.700000	1	0.119875
6.716667	1	0.118375
6.733333	1	0.117250
6.750000	1	0.116250
6.766667	1	0.114625
6.783333	1	0.113000
6.800000	1	0.111625
6.816667	1	0.110250
6.833333	1	0.108625
6.850000	1	0.106625
6.866667	1	0.104750
6.883333	1	0.102875
6.900000	1	0.101500
6.916667	1	0.099500
6.933333	1	0.098375
6.950000	1	0.097625
6.966667	1	0.097000
6.983333	1	0.095875
7.000000	1	0.095000
7.016667	1	0.095000
7.033333	1	0.094625
7.050000	1	0.095250
7.066667	1	0.096625
7.083333	1	0.096750
7.100000	1	0.097625
7.116667	1	0.098875
7.133333	1	0.099875
7.150000	1	0.101125
7.166667	1	0.103250
7.183333	1	0.105000
7.200000	1	0.106250
7.216667	1	0.108250
7.233333	1	0.110375
7.250000	1	0.113375
7.266667	1	0.115500
7.283333	1	0.117875
7.300000	1	0.120250
7.316667	1	0.122625
7.333333	1	0.125375
7.350000	1	0.128000
7.366667	1	0.130500
7.383333	1	0.132750
7.400000	1	0.135250
7.416667	1	0.138125
7.433333	1	0.139875
7.450000	1	0.142250
7.466667	1	0.144500
7.483333	1	0.146000
7.500000	1	0.147125
7.516667	1	0.147375
7.533333	1	0.147750
7.550000	1	0.148250
7.566667	1	0.148625
7.583333	1	0.148250
7.600000	1	0.146875
7.616667	1	0.145625
7.633333	1	0.144375
7.650000	1	0.142625
7.666667	1	0.140250
7.683333	1	0.137750
7.700000	1	0.135125
7.716667	1	0.133000
7.733333	1	0.130250
7.750000	1	0.127000
7.766667	1	0.124000
7.783333	1	0.120625
7.800000	1	0.116500
7.816667	1	0.112500
7.833333	1	0.108750
7.850000	1	0.104875
7.866667	1	0.100750
7.883333	1	0.096250
7.900000	1	0.091875
7.916667	1	0.088250
7.933333	1	0.084125
7.950000	1	0.080000
7.966667	1	0.077000
7.983333	1	0.073625
8.000000	1	0.070125
8.016667	1	0.067125
8.033333	1	0.064375
8.050000	1	0.061125
8.066667	1	0.057500
8.083333	1	0.054875
8.100000	1	0.052000
8.116667	1	0.049375
8.133333	1	0.047500
8.150000	1	0.045125
8.166667	1	0.043125
8.183333	1	0.040625
8.200000	1	0.039000
8.216667	1	0.037625
8.233333	1	0.036000
8.250000	1	0.033875
8.266667	1	0.032250
8.283333	1	0.030875
8.300000	1	0.028625
8.316667	1	0.027000
8.333333	1	0.025500
8.350000	1	0.024250
8.366667	1	0.023375
8.383333	1	0.022125
8.400000	1	0.019625
8.416667	1	0.018750
8.433333	1	0.017875
8.450000	1	0.016875
8.466667	1	0.016375
8.483333	1	0.015625
8.500000	1	0.015125
8.516667	1	0.014875
8.533333	1	0.015125
8.550000	1	0.014500
8.566667	1	0.014625
8.583333	1	0.014375
8.600000	1	0.014125
8.616667	1	0.014125
8.633333	1	0.015125
8.650000	1	0.016125
8.666667	1	0.017000
8.683333	1	0.018125
8.700000	1	0.018500
8.716667	1	0.019250
8.733333	1	0.020625
8.750000	1	0.022750
8.766667	1	0.023750
8.783333	1	0.024750
8.800000	1	0.026500
8.816667	1	0.028125
8.833333	1	0.029125
8.850000	1	0.031000
8.866667	1	0.032375
8.883333	1	0.034375
8.900000	1	0.036250
8.916667	1	0.037750
8.933333	1	0.039625
8.950000	1	0.041750
8.966667	1	0.043750
8.983333	1	0.045250
9.000000	1	0.047625
9.016667	1	0.049500
9.033333	1	0.051750
9.050000	1	0.053500
9.066667	1	0.055250
9.083333	1	0.057250
9.100000	1	0.058875
9.116667	1	0.060750
9.133333	1	0.062625
9.150000	1	0.064250
9.166667	1	0.066125
9.183333	1	0.068125
9.200000	1	0.069625
9.216667	1	0.070875
9.233333	1	0.071750
9.250000	1	0.073000
9.266667	1	0.073875
9.283333	1	0.075250
9.300000	1	0.076625
9.316667	1	0.077750
9.333333	1	0.078000
9.350000	1	0.078625
9.366667	1	0.079000
9.383333	1	0.079000
9.400000	1	0.079250
9.416667	1	0.079250
9.433333	1	0.079500
9.450000	1	0.079125
9.466667	1	0.078625
9.483333	1	0.078250
9.500000	1	0.077625
9.516667	1	0.077375
9.533333	1	0.076750
9.550000	1	0.076000
9.566667	1	0.075000
9.583333	1	0.074375
9.600000	1	0.073625
9.616667	1	0.072125
9.633333	1	0.071125
9.650000	1	0.070750
9.666667	1	0.070000
9.683333	1	0.069500
9.700000	1	0.069375
9.716667	1	0.068875
9.733333	1	0.068000
9.750000	1	0.068000
9.766667	1	0.067375
9.783333	1	0.066500
9.800000	1	0.066500
9.816667	1	0.066250
9.833333	1	0.066375
9.850000	1	0.066000
9.866667	1	0.065750
9.883333	1	0.065500
9.900000	1	0.065625
9.916667	1	0.065875
9.933333	1	0.065625
9.950000	1	0.065625
9.966667	1	0.066125
9.983333	1	0.066625
10.000000	1	0.066750
10.016667	1	0.067000
10.033333	1	0.067500
10.050000	1	0.067875
10.066667	1	0.068750
10.083333	1	0.070625
10.100000	1	0.072375
10.116667	1	0.074875
10.133333	1	0.077750
10.150000	1	0.081750
10.166667	1	0.086125
10.183333	1	0.091375
10.200000	1	0.097375
10.216667	1	0.105250
10.233333	1	0.114250
10.250000	1	0.124875
10.266667	1	0.137750
10.283333	1	0.152250
10.300000	1	0.168875
10.316667	1	0.187625
10.333333	1	0.207750
10.350000	1	0.228000
10.366667	1	0.246125
10.383333	1	0.260125
10.400000	1	0.263000
10.416667	1	0.252000
10.433333	1	0.220875
10.450000	1	0.168125
10.466667	1	0.094375
10.483333	1	0.009125
10.500000	1	-0.064875
10.516667	1	-0.093375
10.533333	1	-0.020375
10.550000	1	0.223125
10.566667	1	0.716250
10.583333	1	1.540375
10.600000	1	2.775625
10.616667	1	4.488625
10.633333	1	6.729000
10.650000	1	9.531625
10.666667	1	12.919750
10.683333	1	16.904750
10.700000	1	21.484500
10.716667	1	26.642500
10.733333	1	32.350125
10.750000	1	38.561750
10.766667	1	45.200625
10.783333	1	52.162000
10.800000	1	59.278625
10.816667	1	66.288500
10.833333	1	72.785375
10.850000	1	78.209250
10.866667	1	81.862750
10.883333	1	83.036250
10.900000	1	81.237125
10.916667	1	76.436125
10.933333	1	69.149500
10.950000	1	60.297500
10.966667	1	50.914000
10.983333	1	41.868750
11.000000	1	33.730500
11.016667	1	26.773625
11.033333	1	21.049500
11.050000	1	16.467000
11.066667	1	12.875750
11.083333	1	10.105250
11.100000	1	7.993875
11.116667	1	6.398250
11.133333	1	5.196000
11.150000	1	4.291625
11.166667	1	3.608625
11.183333	1	3.088625
11.200000	1	2.689750
11.216667	1	2.381000
11.233333	1	2.138125
11.250000	1	1.944000
11.266667	1	1.787250
11.283333	1	1.658125
11.300000	1	1.550250
11.316667	1	1.459750
11.333333	1	1.383500
11.350000	1	1.319000
11.366667	1	1.263375
11.383333	1	1.215875
11.400000	1	1.175125
11.416667	1	1.140000
11.433333	1	1.110375
11.450000	1	1.084875
11.466667	1	1.063875
11.483333	1	1.046000
11.500000	1	1.030250
11.516667	1	1.017125
11.533333	1	1.006750
11.550000	1	0.999125
11.566667	1	0.992125
11.583333	1	0.986750
11.600000	1	0.983000
11.616667	1	0.981125
11.633333	1	0.980000
11.650000	1	0.980500
11.666667	1	0.982750
11.683333	1	0.985875
11.700000	1	0.991000
11.716667	1	0.997125
11.733333	1	1.004625
11.750000	1	1.013375
11.766667	1	1.022375
11.783333	1	1.032000
11.800000	1	1.041875
11.816667	1	1.052750
11.833333	1	1.063000
11.850000	1	1.072625
11.866667	1	1.081125
11.883333	1	1.089000
11.900000	1	1.096250
11.916667	1	1.102250
11.933333	1	1.107250
11.950000	1	1.111375
11.966667	1	1.114500
11.983333	1	1.117500
12.000000	1	1.119875
12.016667	1	1.122250
12.033333	1	1.125000
12.050000	1	1.127375
12.066667	1	1.129375
12.083333	1	1.132375
12.100000	1	1.135625
12.116667	1	1.139125
12.133333	1	1.143250
12.150000	1	1.147375
12.166667	1	1.152750
12.183333	1	1.158375
12.200000	1	1.164250
12.216667	1	1.172250
12.233333	1	1.181625
12.250000	1	1.193750
12.266667	1	1.208250
12.283333	1	1.226500
12.300000	1	1.249500
12.316667	1	1.279125
12.333333	1	1.317750
12.350000	1	1.368125
12.366667	1	1.433500
12.383333	1	1.518250
12.400000	1	1.626875
12.416667	1	1.764375
12.433333	1	1.937250
12.450000	1	2.150625
12.466667	1	2.410125
12.483333	1	2.721500
12.500000	1	3.090125
12.516667	1	3.518875
12.533333	1	4.008750
12.550000	1	4.559375
12.566667	1	5.165875
12.583333	1	5.821000
12.600000	1	6.515375
12.616667	1	7.233000
12.633333	1	7.961375
12.650000	1	8.684750
12.666667	1	9.389375
12.683333	1	10.062250
12.700000	1	10.696875
12.716667	1	11.290000
12.733333	1	11.841875
12.750000	1	12.359000
12.766667	1	12.849250
12.783333	1	13.323125
12.800000	1	13.791500
12.816667	1	14.265750
12.833333	1	14.753875
12.850000	1	15.266250
12.866667	1	15.806250
12.883333	1	16.378625
12.900000	1	16.984625
12.916667	1	17.623875
12.933333	1	18.295375
12.950000	1	18.998500
12.966667	1	19.730875
12.983333	1	20.491000
13.000000	1	21.276250
13.016667	1	22.086250
13.033333	1	22.918875
13.050000	1	23.775125
13.066667	1	24.653625
13.083333	1	25.552625
13.100000	1	26.473500
13.116667	1	27.413375
13.133333	1	28.373000
13.150000	1	29.351500
13.166667	1	30.349375
13.183333	1	31.366125
13.200000	1	32.401125
13.216667	1	33.454625
13.233333	1	34.527375
