URL	chrom://bioreactor/micro_cm7/HPLC_Ultimate_3000/Users/markusar/20240708_MA_pHrange1.seq/747.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	micro_cm7
Sequence	20240708_MA_pHrange1
Name	Pv1_6.5_5
Number	6
Position	BA6
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Inject Time	08.07.2024 18:59:17 +02:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	0.001500
Signal Max.	82.798500
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	0.048875
0.016667	1	0.049250
0.033333	1	0.049750
0.050000	1	0.049875
0.066667	1	0.050625
0.083333	1	0.051375
0.100000	1	0.051750
0.116667	1	0.051375
0.133333	1	0.051750
0.150000	1	0.051625
0.166667	1	0.051375
0.183333	1	0.051625
0.200000	1	0.051250
0.216667	1	0.050875
0.233333	1	0.050875
0.250000	1	0.049875
0.266667	1	0.049250
0.283333	1	0.048500
0.300000	1	0.047750
0.316667	1	0.046875
0.333333	1	0.045500
0.350000	1	0.043875
0.366667	1	0.041875
0.383333	1	0.040125
0.400000	1	0.038750
0.416667	1	0.038375
0.433333	1	0.038375
0.450000	1	0.039750
0.466667	1	0.040875
0.483333	1	0.041500
0.500000	1	0.041250
0.516667	1	0.041625
0.533333	1	0.040750
0.550000	1	0.039750
0.566667	1	0.038125
0.583333	1	0.036500
0.600000	1	0.034625
0.616667	1	0.032625
0.633333	1	0.031250
0.650000	1	0.030250
0.666667	1	0.030000
0.683333	1	0.030250
0.700000	1	0.030500
0.716667	1	0.031250
0.733333	1	0.031125
0.750000	1	0.031250
0.766667	1	0.031875
0.783333	1	0.032625
0.800000	1	0.033500
0.816667	1	0.033875
0.833333	1	0.034750
0.850000	1	0.035750
0.866667	1	0.036375
0.883333	1	0.037000
0.900000	1	0.037375
0.916667	1	0.037875
0.933333	1	0.038125
0.950000	1	0.038125
0.966667	1	0.037750
0.983333	1	0.037375
1.000000	1	0.037250
1.016667	1	0.036875
1.033333	1	0.036500
1.050000	1	0.036250
1.066667	1	0.035250
1.083333	1	0.034625
1.100000	1	0.033500
1.116667	1	0.031875
1.133333	1	0.029750
1.150000	1	0.028125
1.166667	1	0.026375
1.183333	1	0.025000
1.200000	1	0.024000
1.216667	1	0.022375
1.233333	1	0.020000
1.250000	1	0.018125
1.266667	1	0.016125
1.283333	1	0.014125
1.300000	1	0.012500
1.316667	1	0.010625
1.333333	1	0.008625
1.350000	1	0.007125
1.366667	1	0.006000
1.383333	1	0.004375
1.400000	1	0.003000
1.416667	1	0.002375
1.433333	1	0.001625
1.450000	1	0.001500
1.466667	1	0.001625
1.483333	1	0.002125
1.500000	1	0.002000
1.516667	1	0.003125
1.533333	1	0.004500
1.550000	1	0.006125
1.566667	1	0.008000
1.583333	1	0.010125
1.600000	1	0.011875
1.616667	1	0.014750
1.633333	1	0.018250
1.650000	1	0.021375
1.666667	1	0.025250
1.683333	1	0.028250
1.700000	1	0.031625
1.716667	1	0.034625
1.733333	1	0.037750
1.750000	1	0.040875
1.766667	1	0.044500
1.783333	1	0.047500
1.800000	1	0.050500
1.816667	1	0.053875
1.833333	1	0.056875
1.850000	1	0.059875
1.866667	1	0.062250
1.883333	1	0.063375
1.900000	1	0.065250
1.916667	1	0.066000
1.933333	1	0.067875
1.950000	1	0.068750
1.966667	1	0.069750
1.983333	1	0.070000
2.000000	1	0.070000
2.016667	1	0.069125
2.033333	1	0.069000
2.050000	1	0.068125
2.066667	1	0.066375
2.083333	1	0.064500
2.100000	1	0.062000
2.116667	1	0.059750
2.133333	1	0.056875
2.150000	1	0.054250
2.166667	1	0.051500
2.183333	1	0.048875
2.200000	1	0.046250
2.216667	1	0.043250
2.233333	1	0.040750
2.250000	1	0.037875
2.266667	1	0.035375
2.283333	1	0.033000
2.300000	1	0.029875
2.316667	1	0.027250
2.333333	1	0.024625
2.350000	1	0.023250
2.366667	1	0.021625
2.383333	1	0.020375
2.400000	1	0.019125
2.416667	1	0.018625
2.433333	1	0.017875
2.450000	1	0.017500
2.466667	1	0.017125
2.483333	1	0.017125
2.500000	1	0.017125
2.516667	1	0.017750
2.533333	1	0.018125
2.550000	1	0.018625
2.566667	1	0.018875
2.583333	1	0.019625
2.600000	1	0.020625
2.616667	1	0.021375
2.633333	1	0.022875
2.650000	1	0.023875
2.666667	1	0.025000
2.683333	1	0.026125
2.700000	1	0.028250
2.716667	1	0.028875
2.733333	1	0.029625
2.750000	1	0.030000
2.766667	1	0.030875
2.783333	1	0.032750
2.800000	1	0.033750
2.816667	1	0.033625
2.833333	1	0.031250
2.850000	1	0.032625
2.866667	1	0.033125
2.883333	1	0.033875
2.900000	1	0.034250
2.916667	1	0.034250
2.933333	1	0.034625
2.950000	1	0.035125
2.966667	1	0.035000
2.983333	1	0.034875
3.000000	1	0.035000
3.016667	1	0.035625
3.033333	1	0.034750
3.050000	1	0.034375
3.066667	1	0.034250
3.083333	1	0.034250
3.100000	1	0.034125
3.116667	1	0.034125
3.133333	1	0.034250
3.150000	1	0.033875
3.166667	1	0.033625
3.183333	1	0.034000
3.200000	1	0.034625
3.216667	1	0.034375
3.233333	1	0.034375
3.250000	1	0.034750
3.266667	1	0.035000
3.283333	1	0.035250
3.300000	1	0.035875
3.316667	1	0.036750
3.333333	1	0.037375
3.350000	1	0.038375
3.366667	1	0.038750
3.383333	1	0.039625
3.400000	1	0.040875
3.416667	1	0.042625
3.433333	1	0.044125
3.450000	1	0.045375
3.466667	1	0.046500
3.483333	1	0.048375
3.500000	1	0.049625
3.516667	1	0.051000
3.533333	1	0.052250
3.550000	1	0.052875
3.566667	1	0.054500
3.583333	1	0.055500
3.600000	1	0.056750
3.616667	1	0.057375
3.633333	1	0.057250
3.650000	1	0.057875
3.666667	1	0.057750
3.683333	1	0.057500
3.700000	1	0.057625
3.716667	1	0.057875
3.733333	1	0.058000
3.750000	1	0.057500
3.766667	1	0.057125
3.783333	1	0.057500
3.800000	1	0.057375
3.816667	1	0.057625
3.833333	1	0.058000
3.850000	1	0.057625
3.866667	1	0.057125
3.883333	1	0.057250
3.900000	1	0.057250
3.916667	1	0.057625
3.933333	1	0.058875
3.950000	1	0.059625
3.966667	1	0.060125
3.983333	1	0.061000
4.000000	1	0.062000
4.016667	1	0.063750
4.033333	1	0.065375
4.050000	1	0.066250
4.066667	1	0.067500
4.083333	1	0.068625
4.100000	1	0.070500
4.116667	1	0.071500
4.133333	1	0.072625
4.150000	1	0.074500
4.166667	1	0.075750
4.183333	1	0.077375
4.200000	1	0.079250
4.216667	1	0.080875
4.233333	1	0.082750
4.250000	1	0.084000
4.266667	1	0.085125
4.283333	1	0.086375
4.300000	1	0.088375
4.316667	1	0.090125
4.333333	1	0.091500
4.350000	1	0.092875
4.366667	1	0.094625
4.383333	1	0.096000
4.400000	1	0.097875
4.416667	1	0.099375
4.433333	1	0.101000
4.450000	1	0.102375
4.466667	1	0.103125
4.483333	1	0.105125
4.500000	1	0.106625
4.516667	1	0.108875
4.533333	1	0.110750
4.550000	1	0.112500
4.566667	1	0.113625
4.583333	1	0.115125
4.600000	1	0.116625
4.616667	1	0.117875
4.633333	1	0.120000
4.650000	1	0.122000
4.666667	1	0.124250
4.683333	1	0.125875
4.700000	1	0.127750
4.716667	1	0.130375
4.733333	1	0.132500
4.750000	1	0.134125
4.766667	1	0.136750
4.783333	1	0.139000
4.800000	1	0.141625
4.816667	1	0.144125
4.833333	1	0.146375
4.850000	1	0.149250
4.866667	1	0.152375
4.883333	1	0.155125
4.900000	1	0.157750
4.916667	1	0.160875
4.933333	1	0.164375
4.950000	1	0.167250
4.966667	1	0.170500
4.983333	1	0.174125
5.000000	1	0.178250
5.016667	1	0.181875
5.033333	1	0.185000
5.050000	1	0.189000
5.066667	1	0.192500
5.083333	1	0.196000
5.100000	1	0.199750
5.116667	1	0.203625
5.133333	1	0.207375
5.150000	1	0.211250
5.166667	1	0.215000
5.183333	1	0.218250
5.200000	1	0.221625
5.216667	1	0.224750
5.233333	1	0.228000
5.250000	1	0.230750
5.266667	1	0.233125
5.283333	1	0.235625
5.300000	1	0.238375
5.316667	1	0.241000
5.333333	1	0.242500
5.350000	1	0.244500
5.366667	1	0.246500
5.383333	1	0.248375
5.400000	1	0.249625
5.416667	1	0.251375
5.433333	1	0.253250
5.450000	1	0.254500
5.466667	1	0.256125
5.483333	1	0.257000
5.500000	1	0.257750
5.516667	1	0.258625
5.533333	1	0.259250
5.550000	1	0.259750
5.566667	1	0.259875
5.583333	1	0.260000
5.600000	1	0.259875
5.616667	1	0.259875
5.633333	1	0.258625
5.650000	1	0.258500
5.666667	1	0.257125
5.683333	1	0.255625
5.700000	1	0.253750
5.716667	1	0.252000
5.733333	1	0.249500
5.750000	1	0.247250
5.766667	1	0.245375
5.783333	1	0.243500
5.800000	1	0.240375
