URL	chrom://bioreactor/micro_cm7/HPLC_Ultimate_3000/Users/markusar/20240517_CMO_FP23_FP25_MarkusDeplate.seq/570.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	micro_cm7
Sequence	20240517_CMO_FP23_FP25_MarkusDeplate
Name	FP28_22.4_s4
Number	159
Position	BC1
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Inject Time	01.06.2024 07:42:04 +02:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.791000
Signal Max.	51.404250
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	0.039000
0.016667	1	0.037500
0.033333	1	0.037000
0.050000	1	0.035625
0.066667	1	0.035250
0.083333	1	0.034500
0.100000	1	0.033500
0.116667	1	0.032875
0.133333	1	0.033125
0.150000	1	0.032875
0.166667	1	0.032125
0.183333	1	0.031125
0.200000	1	0.030250
0.216667	1	0.030000
0.233333	1	0.029250
0.250000	1	0.029125
0.266667	1	0.028250
0.283333	1	0.027000
0.300000	1	0.026625
0.316667	1	0.026125
0.333333	1	0.025625
0.350000	1	0.024000
0.366667	1	0.022750
0.383333	1	0.021625
0.400000	1	0.020625
0.416667	1	0.019625
0.433333	1	0.019500
0.450000	1	0.019000
0.466667	1	0.018625
0.483333	1	0.017875
0.500000	1	0.017125
0.516667	1	0.016750
0.533333	1	0.016375
0.550000	1	0.015125
0.566667	1	0.014625
0.583333	1	0.014375
0.600000	1	0.013250
0.616667	1	0.012250
0.633333	1	0.012000
0.650000	1	0.011625
0.666667	1	0.011125
0.683333	1	0.010875
0.700000	1	0.011375
0.716667	1	0.011375
0.733333	1	0.011500
0.750000	1	0.012250
0.766667	1	0.012625
0.783333	1	0.013250
0.800000	1	0.014000
0.816667	1	0.014750
0.833333	1	0.016000
0.850000	1	0.017000
0.866667	1	0.018000
0.883333	1	0.018750
0.900000	1	0.019500
0.916667	1	0.021000
0.933333	1	0.022250
0.950000	1	0.022750
0.966667	1	0.024125
0.983333	1	0.024875
1.000000	1	0.025875
1.016667	1	0.027250
1.033333	1	0.028750
1.050000	1	0.030000
1.066667	1	0.030875
1.083333	1	0.031625
1.100000	1	0.032250
1.116667	1	0.033125
1.133333	1	0.034000
1.150000	1	0.034625
1.166667	1	0.035250
1.183333	1	0.036000
1.200000	1	0.036250
1.216667	1	0.037125
1.233333	1	0.038250
1.250000	1	0.039500
1.266667	1	0.040500
1.283333	1	0.041500
1.300000	1	0.042375
1.316667	1	0.043375
1.333333	1	0.044375
1.350000	1	0.044875
1.366667	1	0.046500
1.383333	1	0.047875
1.400000	1	0.049000
1.416667	1	0.049125
1.433333	1	0.050250
1.450000	1	0.051000
1.466667	1	0.051375
1.483333	1	0.052125
1.500000	1	0.053375
1.516667	1	0.053625
1.533333	1	0.054250
1.550000	1	0.054625
1.566667	1	0.055000
1.583333	1	0.055125
1.600000	1	0.056125
1.616667	1	0.056000
1.633333	1	0.056750
1.650000	1	0.056875
1.666667	1	0.057875
1.683333	1	0.057375
1.700000	1	0.056625
1.716667	1	0.057125
1.733333	1	0.057500
1.750000	1	0.057875
1.766667	1	0.057250
1.783333	1	0.057000
1.800000	1	0.056250
1.816667	1	0.055875
1.833333	1	0.055625
1.850000	1	0.055375
1.866667	1	0.054500
1.883333	1	0.053875
1.900000	1	0.052875
1.916667	1	0.052000
1.933333	1	0.050125
1.950000	1	0.048750
1.966667	1	0.047250
1.983333	1	0.045750
2.000000	1	0.045000
2.016667	1	0.043500
2.033333	1	0.042000
2.050000	1	0.040375
2.066667	1	0.039125
2.083333	1	0.037500
2.100000	1	0.036250
2.116667	1	0.034250
2.133333	1	0.032375
2.150000	1	0.031000
2.166667	1	0.029250
2.183333	1	0.027625
2.200000	1	0.026125
2.216667	1	0.024625
2.233333	1	0.023500
2.250000	1	0.021875
2.266667	1	0.021125
2.283333	1	0.020250
2.300000	1	0.019250
2.316667	1	0.017875
2.333333	1	0.017125
2.350000	1	0.015375
2.366667	1	0.014250
2.383333	1	0.013750
2.400000	1	0.013500
2.416667	1	0.013000
2.433333	1	0.012875
2.450000	1	0.012500
2.466667	1	0.012625
2.483333	1	0.012000
2.500000	1	0.011250
2.516667	1	0.011500
2.533333	1	0.011250
2.550000	1	0.011250
2.566667	1	0.011000
2.583333	1	0.010750
2.600000	1	0.010875
2.616667	1	0.012000
2.633333	1	0.012875
2.650000	1	0.013625
2.666667	1	0.014375
2.683333	1	0.015125
2.700000	1	0.016125
2.716667	1	0.016250
2.733333	1	0.017375
2.750000	1	0.018625
2.766667	1	0.019625
2.783333	1	0.020500
2.800000	1	0.021500
2.816667	1	0.022250
2.833333	1	0.023250
