URL	chrom://bioreactor/micro_cm7/HPLC_Ultimate_3000/Users/markusar/20240716_MA_pHrange2.seq/632.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	micro_cm7
Sequence	20240716_MA_pHrange2
Name	Fp1_25H_4
Number	49
Position	BE1
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Inject Time	18.07.2024 02:52:57 +02:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.019000
Signal Max.	83.564875
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	0.054375
0.016667	1	0.054125
0.033333	1	0.054000
0.050000	1	0.053625
0.066667	1	0.053625
0.083333	1	0.053000
0.100000	1	0.053375
0.116667	1	0.053125
0.133333	1	0.052750
0.150000	1	0.052500
0.166667	1	0.052000
0.183333	1	0.051375
0.200000	1	0.051125
0.216667	1	0.050750
0.233333	1	0.050625
0.250000	1	0.050125
0.266667	1	0.049750
0.283333	1	0.049375
0.300000	1	0.049125
0.316667	1	0.049125
0.333333	1	0.049000
0.350000	1	0.048625
0.366667	1	0.048125
0.383333	1	0.047125
0.400000	1	0.046625
0.416667	1	0.045875
0.433333	1	0.046625
0.450000	1	0.048125
0.466667	1	0.049875
0.483333	1	0.051625
0.500000	1	0.053250
0.516667	1	0.054500
0.533333	1	0.055125
0.550000	1	0.055750
0.566667	1	0.055125
0.583333	1	0.053500
0.600000	1	0.052500
0.616667	1	0.052000
0.633333	1	0.052250
0.650000	1	0.052500
0.666667	1	0.053000
0.683333	1	0.053000
0.700000	1	0.053625
0.716667	1	0.054250
0.733333	1	0.054625
0.750000	1	0.055125
0.766667	1	0.055875
0.783333	1	0.056875
0.800000	1	0.058000
0.816667	1	0.058875
0.833333	1	0.059750
0.850000	1	0.060500
0.866667	1	0.061250
0.883333	1	0.061625
0.900000	1	0.062125
0.916667	1	0.062750
0.933333	1	0.063375
0.950000	1	0.064500
0.966667	1	0.065125
0.983333	1	0.065625
1.000000	1	0.065875
1.016667	1	0.066000
1.033333	1	0.066750
1.050000	1	0.066625
1.066667	1	0.067750
1.083333	1	0.068500
1.100000	1	0.069625
1.116667	1	0.070375
1.133333	1	0.071250
1.150000	1	0.072250
1.166667	1	0.072750
1.183333	1	0.073625
1.200000	1	0.075000
1.216667	1	0.075875
1.233333	1	0.076500
1.250000	1	0.076875
1.266667	1	0.077250
1.283333	1	0.078375
1.300000	1	0.079375
1.316667	1	0.080125
1.333333	1	0.080875
1.350000	1	0.081750
1.366667	1	0.082250
1.383333	1	0.082625
1.400000	1	0.082625
1.416667	1	0.082000
1.433333	1	0.082625
1.450000	1	0.083000
1.466667	1	0.083250
1.483333	1	0.083500
1.500000	1	0.083375
1.516667	1	0.082875
1.533333	1	0.082250
1.550000	1	0.081250
1.566667	1	0.080250
1.583333	1	0.079750
1.600000	1	0.078750
1.616667	1	0.078375
1.633333	1	0.077375
1.650000	1	0.076500
1.666667	1	0.075375
1.683333	1	0.073875
1.700000	1	0.072875
1.716667	1	0.071875
1.733333	1	0.071000
1.750000	1	0.070750
1.766667	1	0.069500
