URL	chrom://bioreactor/micro_cm7/HPLC_Ultimate_3000/Users/markusar/20240708_MA_pHrange1.seq/612.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	micro_cm7
Sequence	20240708_MA_pHrange1
Name	Pv3_6.5_5
Number	16
Position	BB4
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Inject Time	09.07.2024 01:49:03 +02:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.004125
Signal Max.	82.015625
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	0.031250
0.016667	1	0.031375
0.033333	1	0.031625
0.050000	1	0.032000
0.066667	1	0.032375
0.083333	1	0.032250
0.100000	1	0.033125
0.116667	1	0.033625
0.133333	1	0.033375
0.150000	1	0.033625
0.166667	1	0.034375
0.183333	1	0.034500
0.200000	1	0.034500
0.216667	1	0.034875
0.233333	1	0.035375
0.250000	1	0.035375
0.266667	1	0.036375
0.283333	1	0.037250
0.300000	1	0.037750
0.316667	1	0.038500
0.333333	1	0.039375
0.350000	1	0.040250
0.366667	1	0.040000
0.383333	1	0.039375
0.400000	1	0.039375
0.416667	1	0.040125
0.433333	1	0.042500
0.450000	1	0.045375
0.466667	1	0.047500
0.483333	1	0.050250
0.500000	1	0.051875
0.516667	1	0.052375
0.533333	1	0.053000
0.550000	1	0.053000
0.566667	1	0.052000
0.583333	1	0.051125
0.600000	1	0.050250
0.616667	1	0.048125
0.633333	1	0.045875
0.650000	1	0.044000
0.666667	1	0.043375
0.683333	1	0.043000
0.700000	1	0.042625
0.716667	1	0.042250
0.733333	1	0.041750
0.750000	1	0.041500
0.766667	1	0.041000
