URL	chrom://bioreactor/micro_cm7/HPLC_Ultimate_3000/Users/markusar/20240517_CMO_FP23_FP25_MarkusDeplate.seq/144.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	micro_cm7
Sequence	20240517_CMO_FP23_FP25_MarkusDeplate
Name	FP28_22.3_s3
Number	152
Position	BB6
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Inject Time	01.06.2024 02:55:16 +02:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-1.020500
Signal Max.	58.831375
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	-0.020750
0.016667	1	-0.022875
0.033333	1	-0.024500
0.050000	1	-0.026250
0.066667	1	-0.027250
0.083333	1	-0.028125
0.100000	1	-0.029125
0.116667	1	-0.029250
0.133333	1	-0.029500
0.150000	1	-0.029875
0.166667	1	-0.030375
0.183333	1	-0.030000
0.200000	1	-0.030000
0.216667	1	-0.029625
0.233333	1	-0.029000
0.250000	1	-0.027875
0.266667	1	-0.027375
0.283333	1	-0.025750
0.300000	1	-0.024750
0.316667	1	-0.022750
0.333333	1	-0.021125
0.350000	1	-0.019000
0.366667	1	-0.017125
0.383333	1	-0.015500
0.400000	1	-0.014125
0.416667	1	-0.012250
0.433333	1	-0.010125
0.450000	1	-0.008250
0.466667	1	-0.006625
0.483333	1	-0.004250
0.500000	1	-0.002625
0.516667	1	-0.000375
0.533333	1	0.001375
0.550000	1	0.002500
0.566667	1	0.004000
0.583333	1	0.004750
0.600000	1	0.005500
0.616667	1	0.006625
0.633333	1	0.007125
0.650000	1	0.008375
0.666667	1	0.008875
0.683333	1	0.009250
0.700000	1	0.010125
0.716667	1	0.011000
0.733333	1	0.012000
0.750000	1	0.013000
0.766667	1	0.013375
0.783333	1	0.013875
0.800000	1	0.014500
0.816667	1	0.015750
0.833333	1	0.017125
0.850000	1	0.017750
0.866667	1	0.018250
0.883333	1	0.019625
0.900000	1	0.020625
0.916667	1	0.020875
0.933333	1	0.021375
0.950000	1	0.021500
0.966667	1	0.021875
0.983333	1	0.022000
1.000000	1	0.021250
1.016667	1	0.021625
1.033333	1	0.021750
1.050000	1	0.021625
1.066667	1	0.021000
1.083333	1	0.020750
1.100000	1	0.020125
1.116667	1	0.019750
1.133333	1	0.018750
1.150000	1	0.017750
1.166667	1	0.017375
1.183333	1	0.016500
1.200000	1	0.016250
1.216667	1	0.015250
1.233333	1	0.015500
1.250000	1	0.014750
1.266667	1	0.014125
1.283333	1	0.014125
1.300000	1	0.014250
1.316667	1	0.013625
1.333333	1	0.013250
1.350000	1	0.012875
1.366667	1	0.013000
1.383333	1	0.012500
1.400000	1	0.012750
1.416667	1	0.013250
1.433333	1	0.013500
1.450000	1	0.014250
1.466667	1	0.015125
1.483333	1	0.015750
1.500000	1	0.016375
1.516667	1	0.017250
1.533333	1	0.018375
1.550000	1	0.019000
1.566667	1	0.019625
1.583333	1	0.021250
1.600000	1	0.022250
1.616667	1	0.023375
1.633333	1	0.024750
1.650000	1	0.025750
1.666667	1	0.027250
1.683333	1	0.028375
1.700000	1	0.029750
1.716667	1	0.031000
1.733333	1	0.032125
1.750000	1	0.032875
1.766667	1	0.033875
1.783333	1	0.034750
1.800000	1	0.035125
1.816667	1	0.035875
1.833333	1	0.036500
1.850000	1	0.036500
1.866667	1	0.036250
1.883333	1	0.036000
