URL	chrom://bioreactor/micro_cm7/HPLC_Ultimate_3000/Users/markusar/20240716_MA_pHrange2.seq/693.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	micro_cm7
Sequence	20240716_MA_pHrange2
Name	Fp1_40H_4
Number	43
Position	BD7
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Inject Time	17.07.2024 22:47:11 +02:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.081875
Signal Max.	82.150125
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	-0.012875
0.016667	1	-0.012750
0.033333	1	-0.011875
0.050000	1	-0.011125
0.066667	1	-0.011250
0.083333	1	-0.010875
0.100000	1	-0.010000
0.116667	1	-0.009000
0.133333	1	-0.008250
0.150000	1	-0.007875
0.166667	1	-0.007750
0.183333	1	-0.007500
0.200000	1	-0.006750
0.216667	1	-0.006750
0.233333	1	-0.006750
0.250000	1	-0.006500
0.266667	1	-0.006500
0.283333	1	-0.006125
0.300000	1	-0.005500
0.316667	1	-0.005250
0.333333	1	-0.005250
0.350000	1	-0.004625
0.366667	1	-0.004750
0.383333	1	-0.004875
0.400000	1	-0.005250
0.416667	1	-0.005000
0.433333	1	-0.004000
0.450000	1	-0.002375
0.466667	1	-0.001000
0.483333	1	0.000875
0.500000	1	0.002625
0.516667	1	0.004250
0.533333	1	0.005750
0.550000	1	0.006375
0.566667	1	0.005750
0.583333	1	0.005125
0.600000	1	0.004500
0.616667	1	0.004375
0.633333	1	0.004500
0.650000	1	0.004500
0.666667	1	0.005625
0.683333	1	0.005625
0.700000	1	0.006000
0.716667	1	0.006250
