URL	chrom://bioreactor/micro_cm7/HPLC_Ultimate_3000/Users/markusar/20240708_MA_pHrange1.seq/654.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	micro_cm7
Sequence	20240708_MA_pHrange1
Name	Pv2_5.7_4
Number	25
Position	BC1
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Inject Time	09.07.2024 07:57:49 +02:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.062125
Signal Max.	84.246750
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	-0.034625
0.016667	1	-0.034250
0.033333	1	-0.033625
0.050000	1	-0.032750
0.066667	1	-0.032000
0.083333	1	-0.030500
0.100000	1	-0.029500
0.116667	1	-0.028000
0.133333	1	-0.026625
0.150000	1	-0.025375
0.166667	1	-0.023875
0.183333	1	-0.022625
0.200000	1	-0.020750
0.216667	1	-0.018750
0.233333	1	-0.017625
0.250000	1	-0.015875
0.266667	1	-0.015125
0.283333	1	-0.014250
0.300000	1	-0.012250
0.316667	1	-0.010750
0.333333	1	-0.009125
0.350000	1	-0.008250
0.366667	1	-0.008625
0.383333	1	-0.008750
0.400000	1	-0.008375
0.416667	1	-0.007250
0.433333	1	-0.005250
0.450000	1	-0.003125
0.466667	1	-0.000375
0.483333	1	0.001125
0.500000	1	0.003000
0.516667	1	0.004000
0.533333	1	0.004625
0.550000	1	0.004750
0.566667	1	0.003875
0.583333	1	0.002125
0.600000	1	-0.000625
0.616667	1	-0.002500
0.633333	1	-0.003375
0.650000	1	-0.004000
0.666667	1	-0.004375
