URL	chrom://bioreactor/micro_cm7/HPLC_Ultimate_3000/Users/markusar/20240708_MA_pHrange1.seq/235.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	micro_cm7
Sequence	20240708_MA_pHrange1
Name	Pv2_20H_2
Number	38
Position	BD2
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Inject Time	09.07.2024 16:50:29 +02:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.065625
Signal Max.	83.417375
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	0.068875
0.016667	1	0.068875
0.033333	1	0.068250
0.050000	1	0.067750
0.066667	1	0.067500
0.083333	1	0.067250
0.100000	1	0.067125
0.116667	1	0.067375
0.133333	1	0.066500
0.150000	1	0.065250
0.166667	1	0.065000
0.183333	1	0.064000
0.200000	1	0.063000
0.216667	1	0.062500
0.233333	1	0.061750
0.250000	1	0.061250
0.266667	1	0.060750
0.283333	1	0.060000
0.300000	1	0.058625
0.316667	1	0.056875
0.333333	1	0.054875
0.350000	1	0.052750
0.366667	1	0.050500
0.383333	1	0.048125
0.400000	1	0.046375
0.416667	1	0.045625
0.433333	1	0.045000
0.450000	1	0.045250
0.466667	1	0.045750
0.483333	1	0.045750
0.500000	1	0.045375
0.516667	1	0.045125
0.533333	1	0.044250
0.550000	1	0.043000
0.566667	1	0.040375
0.583333	1	0.037500
0.600000	1	0.035250
0.616667	1	0.032875
0.633333	1	0.031000
0.650000	1	0.030250
0.666667	1	0.029500
0.683333	1	0.029250
0.700000	1	0.028500
0.716667	1	0.028125
0.733333	1	0.028000
0.750000	1	0.027750
0.766667	1	0.026250
0.783333	1	0.025875
0.800000	1	0.026375
0.816667	1	0.026375
0.833333	1	0.026625
0.850000	1	0.026375
0.866667	1	0.026500
0.883333	1	0.026875
0.900000	1	0.027750
0.916667	1	0.028125
0.933333	1	0.028125
0.950000	1	0.028500
0.966667	1	0.028875
0.983333	1	0.028625
1.000000	1	0.028750
1.016667	1	0.029125
1.033333	1	0.029375
1.050000	1	0.029625
1.066667	1	0.029625
1.083333	1	0.030000
1.100000	1	0.030500
1.116667	1	0.031500
1.133333	1	0.032375
1.150000	1	0.033000
1.166667	1	0.033500
1.183333	1	0.034000
1.200000	1	0.034375
1.216667	1	0.035250
1.233333	1	0.036625
1.250000	1	0.037500
1.266667	1	0.038375
1.283333	1	0.039000
1.300000	1	0.040000
1.316667	1	0.040875
1.333333	1	0.041500
1.350000	1	0.042125
1.366667	1	0.043000
1.383333	1	0.043500
1.400000	1	0.044000
1.416667	1	0.044875
1.433333	1	0.045125
1.450000	1	0.045500
1.466667	1	0.045875
1.483333	1	0.046375
1.500000	1	0.046500
1.516667	1	0.046250
1.533333	1	0.046500
1.550000	1	0.046875
1.566667	1	0.047625
1.583333	1	0.047750
1.600000	1	0.048125
1.616667	1	0.047500
1.633333	1	0.046625
1.650000	1	0.046875
1.666667	1	0.046500
1.683333	1	0.046500
1.700000	1	0.046750
1.716667	1	0.046000
1.733333	1	0.046125
1.750000	1	0.046125
1.766667	1	0.046750
1.783333	1	0.046625
1.800000	1	0.046500
1.816667	1	0.046875
1.833333	1	0.046625
1.850000	1	0.046625
1.866667	1	0.046750
1.883333	1	0.046750
1.900000	1	0.046250
1.916667	1	0.045500
1.933333	1	0.045000
1.950000	1	0.045375
1.966667	1	0.044500
1.983333	1	0.044125
2.000000	1	0.043500
2.016667	1	0.043750
2.033333	1	0.043375
2.050000	1	0.042375
2.066667	1	0.041500
2.083333	1	0.041375
