URL	chrom://bioreactor/micro_cm7/HPLC_Ultimate_3000/Users/markusar/20240716_MA_pHrange2.seq/647.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	micro_cm7
Sequence	20240716_MA_pHrange2
Name	Pv3_25H_2
Number	11
Position	BA11
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Inject Time	17.07.2024 00:56:11 +02:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.123625
Signal Max.	86.246625
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	0.011375
0.016667	1	0.012250
0.033333	1	0.012250
0.050000	1	0.012750
0.066667	1	0.012875
0.083333	1	0.013125
0.100000	1	0.013750
0.116667	1	0.013875
0.133333	1	0.013625
0.150000	1	0.013625
0.166667	1	0.014000
0.183333	1	0.014000
0.200000	1	0.013625
0.216667	1	0.013500
0.233333	1	0.013500
0.250000	1	0.013500
0.266667	1	0.014250
0.283333	1	0.014250
0.300000	1	0.014125
0.316667	1	0.014250
0.333333	1	0.014375
0.350000	1	0.014250
0.366667	1	0.014500
0.383333	1	0.014375
0.400000	1	0.014500
0.416667	1	0.014500
0.433333	1	0.015625
0.450000	1	0.017250
0.466667	1	0.019875
0.483333	1	0.022500
0.500000	1	0.024375
0.516667	1	0.026000
0.533333	1	0.027500
0.550000	1	0.027875
0.566667	1	0.027000
0.583333	1	0.026250
0.600000	1	0.025125
0.616667	1	0.024750
0.633333	1	0.024500
0.650000	1	0.024500
0.666667	1	0.024375
0.683333	1	0.024500
0.700000	1	0.024875
0.716667	1	0.025750
0.733333	1	0.026125
0.750000	1	0.026500
0.766667	1	0.026500
0.783333	1	0.026125
0.800000	1	0.026500
0.816667	1	0.026625
0.833333	1	0.026125
0.850000	1	0.026000
0.866667	1	0.026250
0.883333	1	0.025750
0.900000	1	0.025875
0.916667	1	0.025875
0.933333	1	0.025625
0.950000	1	0.024875
0.966667	1	0.024625
0.983333	1	0.024250
1.000000	1	0.023750
1.016667	1	0.023375
1.033333	1	0.022875
1.050000	1	0.022250
1.066667	1	0.021750
1.083333	1	0.021375
1.100000	1	0.021125
1.116667	1	0.020875
1.133333	1	0.020750
1.150000	1	0.019750
1.166667	1	0.019250
1.183333	1	0.018375
1.200000	1	0.017500
1.216667	1	0.016625
1.233333	1	0.016250
1.250000	1	0.015375
1.266667	1	0.014625
1.283333	1	0.014125
1.300000	1	0.013375
1.316667	1	0.012375
1.333333	1	0.011375
1.350000	1	0.010000
1.366667	1	0.008875
1.383333	1	0.007375
1.400000	1	0.005875
1.416667	1	0.004625
1.433333	1	0.002875
1.450000	1	0.001625
1.466667	1	0.000625
1.483333	1	-0.000875
1.500000	1	-0.002875
1.516667	1	-0.003875
1.533333	1	-0.005375
1.550000	1	-0.006500
1.566667	1	-0.008500
1.583333	1	-0.010250
1.600000	1	-0.011625
1.616667	1	-0.013125
1.633333	1	-0.013875
1.650000	1	-0.015375
1.666667	1	-0.016375
1.683333	1	-0.018125
1.700000	1	-0.018625
1.716667	1	-0.019375
1.733333	1	-0.020375
1.750000	1	-0.022375
1.766667	1	-0.022625
1.783333	1	-0.023125
1.800000	1	-0.023875
1.816667	1	-0.024125
1.833333	1	-0.024750
1.850000	1	-0.025250
1.866667	1	-0.025625
1.883333	1	-0.025500
1.900000	1	-0.025750
1.916667	1	-0.025750
1.933333	1	-0.026000
1.950000	1	-0.026875
1.966667	1	-0.026750
1.983333	1	-0.026625
2.000000	1	-0.026875
2.016667	1	-0.026625
2.033333	1	-0.025625
2.050000	1	-0.025875
2.066667	1	-0.025250
2.083333	1	-0.025000
2.100000	1	-0.024500
2.116667	1	-0.023750
2.133333	1	-0.023375
2.150000	1	-0.022625
2.166667	1	-0.022250
2.183333	1	-0.021375
2.200000	1	-0.020375
2.216667	1	-0.019625
2.233333	1	-0.018375
2.250000	1	-0.017000
2.266667	1	-0.015875
2.283333	1	-0.014750
2.300000	1	-0.014000
2.316667	1	-0.013250
2.333333	1	-0.011625
2.350000	1	-0.010000
2.366667	1	-0.008500
2.383333	1	-0.006625
2.400000	1	-0.005125
2.416667	1	-0.003875
2.433333	1	-0.001875
2.450000	1	-0.000125
2.466667	1	0.001375
2.483333	1	0.003375
2.500000	1	0.005250
2.516667	1	0.006250
2.533333	1	0.007500
2.550000	1	0.009000
2.566667	1	0.010125
2.583333	1	0.011625
2.600000	1	0.012875
2.616667	1	0.014125
2.633333	1	0.015500
2.650000	1	0.016750
2.666667	1	0.017000
2.683333	1	0.017875
2.700000	1	0.018625
2.716667	1	0.018500
2.733333	1	0.019500
2.750000	1	0.020125
2.766667	1	0.020750
2.783333	1	0.021750
2.800000	1	0.022125
2.816667	1	0.021750
2.833333	1	0.022000
2.850000	1	0.022000
2.866667	1	0.022375
2.883333	1	0.022500
2.900000	1	0.022500
2.916667	1	0.022375
2.933333	1	0.022125
2.950000	1	0.022375
2.966667	1	0.022625
2.983333	1	0.022125
3.000000	1	0.022000
3.016667	1	0.022375
3.033333	1	0.022250
3.050000	1	0.022125
3.066667	1	0.022500
3.083333	1	0.022375
3.100000	1	0.022625
3.116667	1	0.022375
3.133333	1	0.022125
3.150000	1	0.022250
3.166667	1	0.021625
3.183333	1	0.022250
3.200000	1	0.022250
3.216667	1	0.022250
3.233333	1	0.022875
3.250000	1	0.023250
3.266667	1	0.023125
3.283333	1	0.023125
3.300000	1	0.024125
3.316667	1	0.024500
3.333333	1	0.024625
3.350000	1	0.025125
3.366667	1	0.026250
3.383333	1	0.027000
3.400000	1	0.027375
3.416667	1	0.027875
3.433333	1	0.029250
3.450000	1	0.029125
3.466667	1	0.030250
3.483333	1	0.031625
3.500000	1	0.032625
3.516667	1	0.034000
3.533333	1	0.035000
3.550000	1	0.035875
3.566667	1	0.036500
3.583333	1	0.037500
3.600000	1	0.038750
3.616667	1	0.039250
3.633333	1	0.040375
3.650000	1	0.041250
3.666667	1	0.042125
3.683333	1	0.042500
3.700000	1	0.043250
3.716667	1	0.043750
3.733333	1	0.044375
3.750000	1	0.045250
3.766667	1	0.046250
3.783333	1	0.046625
3.800000	1	0.046750
3.816667	1	0.046875
3.833333	1	0.047625
3.850000	1	0.048375
3.866667	1	0.048375
3.883333	1	0.049000
3.900000	1	0.050375
3.916667	1	0.051000
3.933333	1	0.051750
3.950000	1	0.052625
3.966667	1	0.053375
3.983333	1	0.054500
4.000000	1	0.055250
4.016667	1	0.055750
4.033333	1	0.057000
4.050000	1	0.059125
4.066667	1	0.060375
4.083333	1	0.061750
4.100000	1	0.063250
4.116667	1	0.064375
4.133333	1	0.065875
4.150000	1	0.067375
4.166667	1	0.069125
4.183333	1	0.071125
4.200000	1	0.072500
4.216667	1	0.074500
4.233333	1	0.076000
4.250000	1	0.078625
4.266667	1	0.079625
4.283333	1	0.080875
4.300000	1	0.083000
4.316667	1	0.084625
4.333333	1	0.085875
4.350000	1	0.087500
4.366667	1	0.088125
4.383333	1	0.089625
4.400000	1	0.090750
4.416667	1	0.091875
4.433333	1	0.093000
4.450000	1	0.094875
4.466667	1	0.096250
4.483333	1	0.097125
4.500000	1	0.097875
4.516667	1	0.098125
4.533333	1	0.099125
4.550000	1	0.100000
4.566667	1	0.100625
4.583333	1	0.101500
4.600000	1	0.102875
4.616667	1	0.102875
4.633333	1	0.103625
4.650000	1	0.105000
4.666667	1	0.105500
4.683333	1	0.106875
4.700000	1	0.107625
4.716667	1	0.109500
4.733333	1	0.110125
4.750000	1	0.111000
4.766667	1	0.112375
4.783333	1	0.113625
4.800000	1	0.114625
4.816667	1	0.115875
4.833333	1	0.117375
4.850000	1	0.119000
4.866667	1	0.120500
4.883333	1	0.122250
4.900000	1	0.123750
4.916667	1	0.125250
4.933333	1	0.127000
4.950000	1	0.128375
4.966667	1	0.130000
4.983333	1	0.131625
5.000000	1	0.133625
5.016667	1	0.136500
5.033333	1	0.139500
5.050000	1	0.142375
5.066667	1	0.144250
5.083333	1	0.146875
5.100000	1	0.149875
5.116667	1	0.152250
5.133333	1	0.155125
5.150000	1	0.157500
5.166667	1	0.160625
5.183333	1	0.162875
5.200000	1	0.165500
5.216667	1	0.168375
5.233333	1	0.170875
5.250000	1	0.173375
5.266667	1	0.175875
5.283333	1	0.178375
5.300000	1	0.180875
5.316667	1	0.183375
5.333333	1	0.186125
5.350000	1	0.187875
5.366667	1	0.189625
5.383333	1	0.191750
5.400000	1	0.194125
5.416667	1	0.195875
5.433333	1	0.197625
5.450000	1	0.198750
5.466667	1	0.199500
5.483333	1	0.200250
5.500000	1	0.200750
5.516667	1	0.200750
5.533333	1	0.201000
5.550000	1	0.200750
5.566667	1	0.200125
5.583333	1	0.200125
5.600000	1	0.199500
5.616667	1	0.198625
5.633333	1	0.197125
5.650000	1	0.195250
5.666667	1	0.193375
5.683333	1	0.191875
5.700000	1	0.190000
5.716667	1	0.187750
5.733333	1	0.185750
5.750000	1	0.183125
5.766667	1	0.180250
5.783333	1	0.177250
5.800000	1	0.174000
5.816667	1	0.170750
5.833333	1	0.167875
5.850000	1	0.164625
5.866667	1	0.161250
5.883333	1	0.157500
5.900000	1	0.154125
5.916667	1	0.150625
5.933333	1	0.147375
5.950000	1	0.144125
5.966667	1	0.140875
5.983333	1	0.137250
6.000000	1	0.134000
6.016667	1	0.130875
6.033333	1	0.127500
6.050000	1	0.124875
6.066667	1	0.121625
6.083333	1	0.118625
6.100000	1	0.115500
6.116667	1	0.112375
6.133333	1	0.110375
6.150000	1	0.107625
6.166667	1	0.104500
6.183333	1	0.101750
6.200000	1	0.098875
6.216667	1	0.096875
6.233333	1	0.094125
6.250000	1	0.091375
6.266667	1	0.088625
6.283333	1	0.086250
6.300000	1	0.084000
6.316667	1	0.082250
6.333333	1	0.080250
6.350000	1	0.078000
6.366667	1	0.075250
6.383333	1	0.073250
6.400000	1	0.070875
6.416667	1	0.068000
6.433333	1	0.065750
6.450000	1	0.064125
6.466667	1	0.062500
6.483333	1	0.060375
6.500000	1	0.058500
6.516667	1	0.057375
6.533333	1	0.055625
6.550000	1	0.054000
6.566667	1	0.052375
6.583333	1	0.050875
6.600000	1	0.049750
6.616667	1	0.049625
6.633333	1	0.049250
6.650000	1	0.048125
6.666667	1	0.047750
6.683333	1	0.047000
6.700000	1	0.046875
6.716667	1	0.046500
6.733333	1	0.046625
6.750000	1	0.046500
6.766667	1	0.046750
6.783333	1	0.047500
6.800000	1	0.048500
6.816667	1	0.048625
6.833333	1	0.050000
6.850000	1	0.051000
6.866667	1	0.051375
6.883333	1	0.052250
6.900000	1	0.053625
6.916667	1	0.055250
6.933333	1	0.056625
6.950000	1	0.058250
6.966667	1	0.060125
6.983333	1	0.061500
7.000000	1	0.063250
7.016667	1	0.065500
7.033333	1	0.067125
7.050000	1	0.069000
7.066667	1	0.070625
7.083333	1	0.073000
7.100000	1	0.074750
7.116667	1	0.076875
7.133333	1	0.078875
7.150000	1	0.080875
7.166667	1	0.082500
7.183333	1	0.084875
7.200000	1	0.086125
7.216667	1	0.088500
7.233333	1	0.090500
7.250000	1	0.091375
7.266667	1	0.092250
7.283333	1	0.093500
7.300000	1	0.094625
7.316667	1	0.095250
7.333333	1	0.095625
7.350000	1	0.096375
7.366667	1	0.097125
7.383333	1	0.097375
7.400000	1	0.097750
7.416667	1	0.096750
7.433333	1	0.095875
7.450000	1	0.094500
7.466667	1	0.093625
7.483333	1	0.092875
7.500000	1	0.091750
7.516667	1	0.090500
7.533333	1	0.088875
7.550000	1	0.087000
7.566667	1	0.085500
7.583333	1	0.083750
7.600000	1	0.081750
7.616667	1	0.079875
7.633333	1	0.077750
7.650000	1	0.075375
7.666667	1	0.073125
7.683333	1	0.071375
7.700000	1	0.069375
7.716667	1	0.067250
7.733333	1	0.065250
7.750000	1	0.064000
7.766667	1	0.062375
7.783333	1	0.060875
7.800000	1	0.059000
7.816667	1	0.057000
7.833333	1	0.056125
7.850000	1	0.055125
7.866667	1	0.053500
7.883333	1	0.052750
7.900000	1	0.052000
7.916667	1	0.051000
7.933333	1	0.049750
7.950000	1	0.049125
7.966667	1	0.048875
7.983333	1	0.048625
8.000000	1	0.048750
8.016667	1	0.047500
8.033333	1	0.046125
8.050000	1	0.046125
8.066667	1	0.045750
8.083333	1	0.045250
8.100000	1	0.044625
8.116667	1	0.044250
8.133333	1	0.043875
8.150000	1	0.043375
8.166667	1	0.042625
8.183333	1	0.042000
8.200000	1	0.041000
8.216667	1	0.039625
8.233333	1	0.039625
8.250000	1	0.038750
8.266667	1	0.038000
8.283333	1	0.037375
8.300000	1	0.036500
8.316667	1	0.035375
8.333333	1	0.034875
8.350000	1	0.033125
8.366667	1	0.032000
8.383333	1	0.031000
8.400000	1	0.028875
8.416667	1	0.027000
8.433333	1	0.025250
8.450000	1	0.023750
8.466667	1	0.022375
8.483333	1	0.020875
8.500000	1	0.019375
8.516667	1	0.017875
8.533333	1	0.017375
8.550000	1	0.015750
8.566667	1	0.014500
8.583333	1	0.012875
8.600000	1	0.011250
8.616667	1	0.010000
8.633333	1	0.008625
8.650000	1	0.006750
8.666667	1	0.004500
8.683333	1	0.002625
8.700000	1	0.000750
8.716667	1	-0.000125
8.733333	1	-0.001125
8.750000	1	-0.001875
8.766667	1	-0.003250
8.783333	1	-0.004625
8.800000	1	-0.005750
8.816667	1	-0.006500
8.833333	1	-0.007500
8.850000	1	-0.009000
8.866667	1	-0.009750
8.883333	1	-0.010375
8.900000	1	-0.011125
8.916667	1	-0.012250
8.933333	1	-0.013250
8.950000	1	-0.014500
8.966667	1	-0.015000
8.983333	1	-0.016250
9.000000	1	-0.016750
9.016667	1	-0.017375
9.033333	1	-0.019000
9.050000	1	-0.020250
9.066667	1	-0.020750
9.083333	1	-0.022375
9.100000	1	-0.023625
9.116667	1	-0.025000
9.133333	1	-0.026125
9.150000	1	-0.027125
9.166667	1	-0.028750
9.183333	1	-0.029625
9.200000	1	-0.030750
9.216667	1	-0.031875
9.233333	1	-0.033500
9.250000	1	-0.035250
9.266667	1	-0.036625
9.283333	1	-0.038000
9.300000	1	-0.039250
9.316667	1	-0.039875
9.333333	1	-0.041375
9.350000	1	-0.042625
9.366667	1	-0.044125
9.383333	1	-0.044625
9.400000	1	-0.045500
9.416667	1	-0.047125
9.433333	1	-0.048625
9.450000	1	-0.049750
9.466667	1	-0.050625
9.483333	1	-0.051875
9.500000	1	-0.052750
9.516667	1	-0.054125
9.533333	1	-0.054500
9.550000	1	-0.055375
9.566667	1	-0.056500
9.583333	1	-0.057125
9.600000	1	-0.058000
9.616667	1	-0.059125
9.633333	1	-0.059750
9.650000	1	-0.060625
9.666667	1	-0.061000
9.683333	1	-0.060250
9.700000	1	-0.060000
9.716667	1	-0.059375
9.733333	1	-0.059250
9.750000	1	-0.058500
9.766667	1	-0.057250
9.783333	1	-0.055875
9.800000	1	-0.054000
9.816667	1	-0.051875
9.833333	1	-0.049375
9.850000	1	-0.047625
9.866667	1	-0.044750
9.883333	1	-0.041500
9.900000	1	-0.039000
9.916667	1	-0.034750
9.933333	1	-0.030375
9.950000	1	-0.026375
9.966667	1	-0.022250
9.983333	1	-0.017750
10.000000	1	-0.014000
10.016667	1	-0.009250
10.033333	1	-0.004625
10.050000	1	0.000250
10.066667	1	0.004625
10.083333	1	0.009250
10.100000	1	0.014750
10.116667	1	0.019625
10.133333	1	0.024625
10.150000	1	0.029875
10.166667	1	0.034250
10.183333	1	0.040000
10.200000	1	0.046000
10.216667	1	0.052125
10.233333	1	0.059500
10.250000	1	0.067875
10.266667	1	0.077500
10.283333	1	0.088500
10.300000	1	0.101000
10.316667	1	0.115625
10.333333	1	0.131250
10.350000	1	0.147000
10.366667	1	0.161125
10.383333	1	0.171250
10.400000	1	0.172875
10.416667	1	0.161375
10.433333	1	0.132375
10.450000	1	0.083500
10.466667	1	0.017500
10.483333	1	-0.054625
