URL	chrom://bioreactor/micro_cm7/HPLC_Ultimate_3000/Users/markusar/20240716_MA_pHrange2.seq/459.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	micro_cm7
Sequence	20240716_MA_pHrange2
Name	Fp2_40H_2
Number	34
Position	BC10
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Inject Time	17.07.2024 16:38:30 +02:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.068125
Signal Max.	81.596625
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	0.010375
0.016667	1	0.010000
0.033333	1	0.009750
0.050000	1	0.009500
0.066667	1	0.009125
0.083333	1	0.009125
0.100000	1	0.009250
0.116667	1	0.009375
0.133333	1	0.008875
0.150000	1	0.008500
0.166667	1	0.007500
0.183333	1	0.007250
0.200000	1	0.007125
0.216667	1	0.006500
0.233333	1	0.006375
0.250000	1	0.006000
0.266667	1	0.005500
0.283333	1	0.004625
0.300000	1	0.003750
0.316667	1	0.003500
0.333333	1	0.003250
0.350000	1	0.003500
0.366667	1	0.002875
0.383333	1	0.002000
0.400000	1	0.001125
0.416667	1	0.001000
0.433333	1	0.000750
0.450000	1	0.001625
0.466667	1	0.003500
0.483333	1	0.005250
0.500000	1	0.006875
0.516667	1	0.007625
0.533333	1	0.007875
0.550000	1	0.007375
0.566667	1	0.006875
0.583333	1	0.005250
0.600000	1	0.003375
0.616667	1	0.002125
0.633333	1	0.001750
0.650000	1	0.001000
0.666667	1	0.001000
0.683333	1	0.001375
0.700000	1	0.001875
0.716667	1	0.002000
0.733333	1	0.002875
0.750000	1	0.003000
0.766667	1	0.003375
0.783333	1	0.003750
0.800000	1	0.003750
0.816667	1	0.003875
0.833333	1	0.004000
0.850000	1	0.004375
0.866667	1	0.004750
0.883333	1	0.005000
0.900000	1	0.004875
0.916667	1	0.004750
0.933333	1	0.004875
0.950000	1	0.004375
0.966667	1	0.004375
0.983333	1	0.004125
1.000000	1	0.003750
1.016667	1	0.003500
1.033333	1	0.003625
1.050000	1	0.003625
1.066667	1	0.003625
1.083333	1	0.003750
1.100000	1	0.003500
1.116667	1	0.003000
1.133333	1	0.003000
1.150000	1	0.003125
1.166667	1	0.003000
1.183333	1	0.003500
1.200000	1	0.003125
1.216667	1	0.003875
1.233333	1	0.003750
1.250000	1	0.003500
1.266667	1	0.004375
1.283333	1	0.004375
1.300000	1	0.004375
1.316667	1	0.004375
1.333333	1	0.003875
1.350000	1	0.003250
