URL	chrom://bioreactor/micro_cm7/HPLC_Ultimate_3000/Users/markusar/20240708_MA_pHrange1.seq/988.smp/RI_1.channel/RI_1.chm
Channel	RI_1

Injection Information:
Data Vault	micro_cm7
Sequence	20240708_MA_pHrange1
Name	Fp2_6.5_2
Number	52
Position	BE6
Comment	
Processing Method	
Instrument Method	run_25B_method
Type	Unknown
Status	Finished
Inject Time	10.07.2024 02:24:06 +02:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	40.000000
Data Points	2401
Detector	RI
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Refractive 
Signal Unit	µRIU
Signal Min.	-0.061750
Signal Max.	82.656375
Channel	RI_1
Driver Name	RID520Driver.dll
Channel Type	Evaluation
Min. Step (s)	1
Max. Step (s)	1
Average Step (s)	1

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (µRIU)
0.000000	n.a.	0.004750
0.016667	1	0.005875
0.033333	1	0.007000
0.050000	1	0.007875
0.066667	1	0.010500
0.083333	1	0.012750
0.100000	1	0.014250
0.116667	1	0.015375
0.133333	1	0.016875
0.150000	1	0.018500
0.166667	1	0.020125
0.183333	1	0.022125
0.200000	1	0.023375
0.216667	1	0.025500
0.233333	1	0.027250
0.250000	1	0.029625
0.266667	1	0.031250
0.283333	1	0.032625
0.300000	1	0.034000
0.316667	1	0.035625
0.333333	1	0.037750
0.350000	1	0.039125
0.366667	1	0.040625
0.383333	1	0.041875
0.400000	1	0.042750
0.416667	1	0.044000
0.433333	1	0.046875
0.450000	1	0.049750
0.466667	1	0.052000
0.483333	1	0.054625
0.500000	1	0.056375
0.516667	1	0.058125
0.533333	1	0.059875
0.550000	1	0.061125
0.566667	1	0.060500
0.583333	1	0.060125
0.600000	1	0.057875
0.616667	1	0.056125
0.633333	1	0.054750
0.650000	1	0.053625
0.666667	1	0.052875
0.683333	1	0.052625
0.700000	1	0.052375
0.716667	1	0.052000
0.733333	1	0.051625
0.750000	1	0.050875
0.766667	1	0.050125
0.783333	1	0.050125
0.800000	1	0.048750
0.816667	1	0.048250
0.833333	1	0.047000
0.850000	1	0.045750
0.866667	1	0.044125
0.883333	1	0.042750
0.900000	1	0.041000
0.916667	1	0.039625
0.933333	1	0.038375
0.950000	1	0.036750
0.966667	1	0.034750
0.983333	1	0.032875
1.000000	1	0.031375
1.016667	1	0.029875
1.033333	1	0.027375
1.050000	1	0.025500
1.066667	1	0.023625
